round,client_id,update_norm,n_samples,local_epochs
1,0,0.7964796487006116,6049,20
1,1,1.9163419592562398,958,20
2,1,1.7813981367067153,958,20
2,0,0.6057759990052102,6049,20
3,1,1.6256435097032578,958,20
3,0,0.5960732107494165,6049,20
4,0,0.6164221347332056,6049,20
4,1,1.3589679495659626,958,20
5,1,1.3055980836464154,958,20
5,0,0.5436309674108794,6049,20
6,1,1.1739012010184167,958,20
6,0,0.3579999203957757,6049,20
7,0,0.32622418359758465,6049,20
7,1,1.0411329402865157,958,20
8,0,0.2173029702232423,6049,20
8,1,1.0098331518336798,958,20
9,1,0.9519454766183371,958,20
9,0,0.14724290443183327,6049,20
10,0,0.12264589613209333,6049,20
10,1,0.8164010320190874,958,20
11,1,0.737273614231108,958,20
11,0,0.10372226581043803,6049,20
12,0,0.09365563497476247,6049,20
12,1,0.8653276397162817,958,20
13,1,0.6587438728097628,958,20
13,0,0.09462773967927525,6049,20
14,1,1.0392013378761613,958,20
14,0,0.18175725665829273,6049,20
15,1,0.5993534245381715,958,20
15,0,0.11224091571823654,6049,20
16,1,0.5933002731794131,958,20
16,0,0.07607610415294658,6049,20
17,0,0.1050772331443513,6049,20
17,1,0.6416611609694176,958,20
18,0,0.07263938012050306,6049,20
18,1,0.5112461928758787,958,20
19,1,0.5069721300573434,958,20
19,0,0.06503459614954762,6049,20
20,1,0.6309401753763201,958,20
20,0,0.06251953026668357,6049,20
21,1,0.47808107305269615,958,20
21,0,0.12166184623551186,6049,20
22,0,0.06127554477366027,6049,20
22,1,0.7016716663881161,958,20
23,0,0.0749131612099812,6049,20
23,1,0.6023144305619039,958,20
24,0,0.09533697016163473,6049,20
24,1,0.4619291824513017,958,20
25,0,0.08383905553113527,6049,20
25,1,0.7414718253493106,958,20
26,1,0.3743965538781159,958,20
26,0,0.10125386953839832,6049,20
27,0,0.05355337251904074,6049,20
27,1,0.4932946560505388,958,20
28,0,0.05736867064145703,6049,20
28,1,0.41204876913569644,958,20
29,0,0.18472008236662948,6049,20
29,1,0.424550844409649,958,20
30,0,0.055945380173461616,6049,20
30,1,0.6499507995939426,958,20
31,0,0.09060853581429619,6049,20
31,1,0.5972211132111873,958,20
32,0,0.06620418598698913,6049,20
32,1,0.4505840671453425,958,20
33,0,0.058886652568936076,6049,20
33,1,0.5620079198809996,958,20
34,1,0.4768150898473933,958,20
34,0,0.08718023188426076,6049,20
35,0,0.08420109218100086,6049,20
35,1,1.0372383483921246,958,20
36,0,0.13172264381429907,6049,20
36,1,0.3927417728864584,958,20
37,1,0.4532560495350624,958,20
37,0,0.054443910347446924,6049,20
38,0,0.05355649316557688,6049,20
38,1,0.38803636813609765,958,20
39,1,0.738203002651561,958,20
39,0,0.05163802195123373,6049,20
40,0,0.11558880412823325,6049,20
40,1,0.40079000914573104,958,20
41,1,0.7615751557118993,958,20
41,0,0.05230061411053903,6049,20
42,0,0.1402459611765959,6049,20
42,1,0.4565678282364205,958,20
43,0,0.05800444900407921,6049,20
43,1,0.542685261554273,958,20
44,0,0.09576198057370325,6049,20
44,1,0.3144507073510012,958,20
45,0,0.047165353559981416,6049,20
45,1,0.6246205547187591,958,20
46,0,0.07320631454267112,6049,20
46,1,0.35471533883231054,958,20
47,0,0.13319583755527947,6049,20
47,1,0.455558227018906,958,20
48,0,0.07301927745147159,6049,20
48,1,0.732825777198147,958,20
49,0,0.10965845599293138,6049,20
49,1,0.2574843439549622,958,20
50,1,0.6823200853190814,958,20
50,0,0.04456115725594604,6049,20
51,0,0.10065641336999875,6049,20
51,1,0.32022930414671985,958,20
52,1,0.3593265633456703,958,20
52,0,0.04775255808079918,6049,20
53,1,1.2107215695893223,958,20
53,0,0.042284650897940125,6049,20
54,1,0.2789633013738854,958,20
54,0,0.14033194348181155,6049,20
55,1,0.29463909871877325,958,20
55,0,0.04661998003044453,6049,20
56,0,0.04360466801864362,6049,20
56,1,0.4586061493514331,958,20
57,0,0.09666391226843382,6049,20
57,1,0.7340333249614992,958,20
58,0,0.09320498552136562,6049,20
58,1,0.3924389658248475,958,20
59,0,0.04945165620460307,6049,20
59,1,0.4366096605810356,958,20
60,0,0.06337193684378684,6049,20
60,1,0.19580883050319278,958,20
61,0,0.03590592736881346,6049,20
61,1,0.2316500014509614,958,20
62,0,0.037171965503796735,6049,20
62,1,1.1919950960970862,958,20
63,0,0.1543403014889509,6049,20
63,1,0.3314127671810082,958,20
64,1,0.5901280853070691,958,20
64,0,0.045969994315481856,6049,20
65,0,0.06543584295410425,6049,20
65,1,0.1992767272883239,958,20
66,1,0.2811173683026901,958,20
66,0,0.037597277309556525,6049,20
67,1,0.2436172435403867,958,20
67,0,0.038572347042914804,6049,20
68,0,0.035481708712607425,6049,20
68,1,0.40809989966567617,958,20
69,0,0.09205446518683941,6049,20
69,1,0.25171400367405994,958,20
70,0,0.039689936353418276,6049,20
70,1,0.2454396013385908,958,20
71,1,0.31103265810697484,958,20
71,0,0.03744360406191573,6049,20
72,1,0.6737180922869738,958,20
72,0,0.037093161663679694,6049,20
73,1,0.2737108914570889,958,20
73,0,0.09041470673591373,6049,20
