round,client_id,update_norm,n_samples,local_epochs,tau
1,1,3.890364183390836,1001,20,640
1,0,3.920455378297276,1001,20,640
1,2,3.8362894891066253,1001,20,640
1,3,3.807857319414253,1001,20,640
1,5,3.788381058715161,1001,20,640
1,4,3.7630142532945143,1001,20,640
1,6,3.7401060485907336,1001,20,640
2,3,3.224207611617359,1001,20,640
2,2,3.6473953973040043,1001,20,640
2,4,3.2488295685266326,1001,20,640
2,5,3.551784257349679,1001,20,640
2,6,3.245089365953647,1001,20,640
2,1,3.6827953134426377,1001,20,640
2,0,3.8511102010918945,1001,20,640
3,4,3.9772635665903024,1001,20,640
3,2,3.7282522566552223,1001,20,640
3,0,4.140545233104103,1001,20,640
3,1,3.727254477470573,1001,20,640
3,6,3.8357449488628403,1001,20,640
3,3,3.4990369697063435,1001,20,640
3,5,3.928035849598592,1001,20,640
4,4,4.391215670646164,1001,20,640
4,1,4.0231302534001046,1001,20,640
4,6,4.351498305077103,1001,20,640
4,2,4.475154386074179,1001,20,640
4,3,4.3034345864997,1001,20,640
4,5,4.4539691189873425,1001,20,640
4,0,4.306603529787537,1001,20,640
5,0,4.964501636558661,1001,20,640
5,3,4.985169685395042,1001,20,640
5,6,4.878983943595084,1001,20,640
5,4,4.8306453788503605,1001,20,640
5,5,5.107958138161146,1001,20,640
5,2,5.176315962006947,1001,20,640
5,1,4.712412146489356,1001,20,640
6,5,5.312936085029342,1001,20,640
6,3,5.311330270414766,1001,20,640
6,4,5.114446134211915,1001,20,640
6,2,5.41772283444722,1001,20,640
6,0,5.141614538295412,1001,20,640
6,6,5.221060391115507,1001,20,640
6,1,5.134502227826708,1001,20,640
7,4,5.204068946306722,1001,20,640
7,3,5.129745216484101,1001,20,640
7,5,5.28811288618809,1001,20,640
7,1,5.012364545416274,1001,20,640
7,2,4.80233400070224,1001,20,640
7,0,5.3398679788909185,1001,20,640
7,6,5.163950050757146,1001,20,640
8,2,4.771125660496348,1001,20,640
8,0,4.363452030044577,1001,20,640
8,3,4.785614761144011,1001,20,640
8,6,5.007191601745027,1001,20,640
8,4,4.509880179338217,1001,20,640
8,1,4.989913768469415,1001,20,640
8,5,4.186076899434195,1001,20,640
