round,client_id,update_norm,n_samples,local_epochs
1,5,3.134745318745317,1001,20
1,1,3.1961519387496344,1001,20
1,0,3.078072968387742,1001,20
1,4,2.983057411928441,1001,20
1,2,3.032009092255297,1001,20
1,6,3.1529653499547585,1001,20
1,3,2.6853484155366765,1001,20
2,2,2.9513546578742798,1001,20
2,6,2.925633639908692,1001,20
2,4,2.962635071638511,1001,20
2,1,3.027499488519375,1001,20
2,0,2.9704428754892223,1001,20
2,5,3.195435719763571,1001,20
2,3,3.1067460612060733,1001,20
3,3,3.39668138334012,1001,20
3,0,3.2396758765620848,1001,20
3,6,3.2618505419055843,1001,20
3,5,3.5606031641741063,1001,20
3,1,3.3728849038811837,1001,20
3,2,3.3881862778277276,1001,20
3,4,3.333393846595447,1001,20
4,4,4.070490275910315,1001,20
4,2,3.875576617788398,1001,20
4,1,3.8755541363991513,1001,20
4,6,3.8477444684892474,1001,20
4,0,3.936546380104121,1001,20
4,3,3.9095945252627335,1001,20
4,5,4.015002112215387,1001,20
5,0,4.146662702453729,1001,20
5,1,4.36632142753116,1001,20
5,3,4.431419621965875,1001,20
5,5,4.3992083469767085,1001,20
5,6,4.247004666567107,1001,20
5,4,4.531263502250824,1001,20
5,2,4.379196045058247,1001,20
6,0,4.434783815372527,1001,20
6,5,4.446277102184588,1001,20
6,1,4.3592417205133005,1001,20
6,6,4.412500880754331,1001,20
6,3,4.630967998511105,1001,20
6,4,4.851499812446308,1001,20
6,2,4.291914256282174,1001,20
7,2,4.180408796002443,1001,20
7,1,4.370950884664671,1001,20
7,5,4.208056043898155,1001,20
7,6,4.659250165013911,1001,20
7,4,4.478418790944967,1001,20
7,3,4.515113115345448,1001,20
7,0,4.150350594787566,1001,20
8,0,3.113687090445525,1001,20
8,1,4.092408662322713,1001,20
8,6,3.965326492951653,1001,20
8,3,4.016030386083353,1001,20
8,4,4.2158521646327225,1001,20
8,5,4.189453794825275,1001,20
8,2,3.1198610282131125,1001,20
9,1,2.8025743851112823,1001,20
9,6,3.6356410706434295,1001,20
9,4,4.231399660199543,1001,20
9,5,2.687818756650221,1001,20
9,3,4.019990984347007,1001,20
9,2,3.5691421951198947,1001,20
9,0,3.5511432353076144,1001,20
10,6,3.8212042590158926,1001,20
10,2,2.7531435226678127,1001,20
10,3,3.2385554392256997,1001,20
10,5,3.191838221755213,1001,20
10,0,3.944756319476601,1001,20
10,1,3.6015450187343725,1001,20
10,4,3.936767186002312,1001,20
11,4,3.6407834713606686,1001,20
11,5,3.097711313673058,1001,20
11,1,3.580299512209418,1001,20
11,2,3.627663753355575,1001,20
11,3,2.045544797763025,1001,20
11,0,2.863136209481066,1001,20
11,6,2.9601304230231023,1001,20
12,0,2.452921468332167,1001,20
12,4,2.6436050583104134,1001,20
12,3,2.9306402258631246,1001,20
12,2,1.7421509867922684,1001,20
12,5,2.168254460665769,1001,20
12,6,2.15227890041781,1001,20
12,1,2.846702963638421,1001,20
13,6,3.1176535526579108,1001,20
13,1,2.5183839316041055,1001,20
13,0,2.625864740306819,1001,20
13,3,1.9634306328106026,1001,20
13,5,1.82941789760521,1001,20
13,4,1.9749259200114333,1001,20
13,2,2.32343229939154,1001,20
14,1,1.8073951139016085,1001,20
14,5,2.356588543491328,1001,20
14,4,1.9647319566682238,1001,20
14,2,1.8872624791783434,1001,20
14,6,1.671187708170057,1001,20
14,0,2.113063670855882,1001,20
14,3,2.5195452040998907,1001,20
15,0,2.1991617361871887,1001,20
15,4,2.448152770595588,1001,20
15,3,2.4372939456906995,1001,20
15,2,2.2066734101786083,1001,20
15,5,2.3134226980018524,1001,20
15,6,1.8090583180690973,1001,20
15,1,3.644515039580098,1001,20
16,3,2.1045585018039192,1001,20
16,2,2.3502686863430924,1001,20
16,1,1.5885272760987197,1001,20
16,0,2.013875738330358,1001,20
16,4,2.7810724710583665,1001,20
16,5,1.897040304887161,1001,20
16,6,2.217462667816149,1001,20
17,4,1.8578376159276806,1001,20
17,1,1.6065185754580298,1001,20
17,5,1.5653208096068225,1001,20
17,0,2.4120618300281356,1001,20
17,3,1.7916357661580788,1001,20
17,2,1.6764296249441681,1001,20
17,6,2.5245723225488774,1001,20
18,3,2.3503114217550523,1001,20
18,5,1.7678873054631559,1001,20
18,6,1.7284620840732408,1001,20
18,0,1.6664843275709176,1001,20
18,2,1.6297413760485957,1001,20
18,1,1.6932411301860968,1001,20
18,4,1.5902962186554552,1001,20
19,0,1.548850835898065,1001,20
19,5,1.6697980078037185,1001,20
19,6,2.3297467432830827,1001,20
19,2,2.0428425887685404,1001,20
19,4,1.766317394027329,1001,20
19,1,1.884244568960895,1001,20
19,3,1.4138431194185315,1001,20
20,6,1.5667678089514399,1001,20
20,3,1.519775301344016,1001,20
20,4,2.984262235314724,1001,20
20,5,1.6743606376192472,1001,20
20,2,1.798468747593706,1001,20
20,1,1.5431667448924802,1001,20
20,0,1.4324763401214105,1001,20
21,3,1.5891976342035217,1001,20
21,6,1.6158481316839968,1001,20
21,1,1.5381716298692858,1001,20
21,0,1.5666988509635327,1001,20
21,4,1.6390094609803603,1001,20
21,2,1.6135800400508344,1001,20
21,5,2.973438524048344,1001,20
22,0,1.4786230765070845,1001,20
22,1,2.19349039152393,1001,20
22,3,1.8546561911223791,1001,20
22,6,1.7056987599543587,1001,20
22,4,1.8204783229617318,1001,20
22,5,1.7542727229184556,1001,20
22,2,1.5023394808698047,1001,20
23,0,1.537748451850543,1001,20
23,6,1.763148569181444,1001,20
23,2,1.5220375453140755,1001,20
23,4,1.5323572231293419,1001,20
23,1,1.4945330445316236,1001,20
23,3,2.1873861459476367,1001,20
23,5,2.013613954854094,1001,20
24,2,1.4740978306335144,1001,20
24,6,1.4702822633506896,1001,20
24,4,1.499172766496605,1001,20
24,5,1.6938749940056912,1001,20
24,3,1.406621636245605,1001,20
24,0,2.5207997443833428,1001,20
24,1,1.975121325518597,1001,20
25,4,1.8347358643330172,1001,20
25,0,1.7311903770217223,1001,20
25,5,1.8983592269074594,1001,20
25,3,1.582823981773642,1001,20
25,1,1.5263068558091037,1001,20
25,2,1.5138250515877238,1001,20
25,6,1.7911744855685983,1001,20
26,2,1.4671351754750201,1001,20
26,0,1.5770880517369936,1001,20
26,1,1.2663615585842696,1001,20
26,3,1.3800639243898776,1001,20
26,5,1.451704442836511,1001,20
26,6,1.7083169722911316,1001,20
26,4,1.3985928486275043,1001,20
27,1,1.7184967429025682,1001,20
27,0,1.6563143400483629,1001,20
27,6,1.725998125558334,1001,20
27,3,1.6203203923427831,1001,20
27,5,1.5510045791487097,1001,20
27,4,1.597549367984276,1001,20
27,2,1.39063053915924,1001,20
28,4,1.6761164853777217,1001,20
28,5,1.469493153219309,1001,20
28,6,1.624600430113294,1001,20
28,0,2.317756503383349,1001,20
28,3,1.387937510457958,1001,20
28,2,1.5939274239732186,1001,20
28,1,1.434446758005042,1001,20
29,1,1.5869409047205918,1001,20
29,2,1.4418129327767588,1001,20
29,0,1.2800839846580974,1001,20
29,6,1.4603884884993958,1001,20
29,4,2.021038016036555,1001,20
29,3,1.6967604076489329,1001,20
29,5,1.8632850914718322,1001,20
30,0,1.3004482321568906,1001,20
30,1,1.5538830122083773,1001,20
30,4,1.5872122721139443,1001,20
30,5,1.4181314242242287,1001,20
30,6,1.5904754652642528,1001,20
30,2,1.634498684644368,1001,20
30,3,2.092218824762517,1001,20
31,6,1.596395117666212,1001,20
31,2,1.5254389969513003,1001,20
31,3,1.5659890696545558,1001,20
31,4,1.6254665017030332,1001,20
31,5,1.523769152321745,1001,20
31,0,1.035373298700221,1001,20
31,1,1.490241960856441,1001,20
32,4,1.5891609865631404,1001,20
32,3,1.4605733866039694,1001,20
32,1,1.5683723890784393,1001,20
32,6,1.5801640016400695,1001,20
32,0,1.6448589095933186,1001,20
32,5,1.4821976667576264,1001,20
32,2,1.70159623815947,1001,20
33,6,1.55190924949985,1001,20
33,0,1.5376570218762635,1001,20
33,1,1.7063310234340505,1001,20
33,3,1.3529382621792565,1001,20
33,4,1.53115234389862,1001,20
33,5,1.2957022748171234,1001,20
33,2,1.9650465447048802,1001,20
34,4,1.5141235730944471,1001,20
34,3,1.3270476426603293,1001,20
34,0,1.625474226805186,1001,20
34,6,1.896473507718952,1001,20
34,2,1.5118291998051354,1001,20
34,1,1.4889940501934211,1001,20
34,5,1.400763958333264,1001,20
35,6,1.655119601844682,1001,20
35,2,1.2760953700992184,1001,20
35,5,1.3741537852237449,1001,20
35,3,1.4734879853674134,1001,20
35,0,1.5907748194811384,1001,20
35,4,1.5431755522811235,1001,20
35,1,1.4222654811684252,1001,20
36,2,1.7636021086614648,1001,20
36,0,1.5151797560955862,1001,20
36,6,2.067830717271615,1001,20
36,3,1.5350627389270757,1001,20
36,5,1.49242531537432,1001,20
36,4,1.5673785837527507,1001,20
36,1,1.4323249946057122,1001,20
37,3,1.2849398841033883,1001,20
37,4,1.3544083218866505,1001,20
37,6,1.6576791105645812,1001,20
37,2,1.5208891844547685,1001,20
37,1,1.7765335503648247,1001,20
37,5,1.3529046180308624,1001,20
37,0,1.5949775651226052,1001,20
38,5,1.5938217914599855,1001,20
