round,client_id,update_norm,n_samples,local_epochs
1,0,9.532904242616386,6048,20
1,1,3.782330755926454,959,20
2,0,10.27288757857982,6048,20
2,1,4.257599723045424,959,20
3,0,11.36327473880875,6048,20
3,1,5.137803705757367,959,20
4,1,4.255645357203747,959,20
4,0,7.837101376098183,6048,20
5,1,4.323762095538906,959,20
5,0,4.3476079252732065,6048,20
6,1,3.736520795365839,959,20
6,0,0.24408818397294765,6048,20
7,1,4.103625498632747,959,20
7,0,0.20887942539107757,6048,20
8,1,3.599901246800089,959,20
8,0,0.20195006026121748,6048,20
9,0,0.18933596161758484,6048,20
9,1,3.1806888528280397,959,20
10,0,0.17722542846957376,6048,20
10,1,3.29697849729877,959,20
11,1,3.1363570848332345,959,20
11,0,0.1900270949024576,6048,20
12,0,0.1897838193392452,6048,20
12,1,2.9838253628788354,959,20
13,0,0.19142629083208404,6048,20
13,1,3.014001136118776,959,20
14,1,3.0763095513661995,959,20
14,0,0.19147736930124312,6048,20
15,1,3.0323884053174677,959,20
15,0,0.1909383618213137,6048,20
16,1,3.160259883763479,959,20
16,0,0.18283473524704386,6048,20
17,0,2.838447481034957,6048,20
17,1,2.8513439162208285,959,20
18,0,0.18695376960538618,6048,20
18,1,2.6730596256992545,959,20
19,0,0.16678678366204924,6048,20
19,1,2.7741636238979037,959,20
20,0,0.1601874418636706,6048,20
20,1,2.8984978649083533,959,20
21,1,2.9950152583826704,959,20
21,0,0.14729583712238326,6048,20
22,1,2.9533839497560823,959,20
22,0,0.1587718860608731,6048,20
23,1,0.2069739837280037,959,20
23,0,0.16657631691623442,6048,20
24,0,0.1489438908798066,6048,20
24,1,0.26355046259630066,959,20
25,1,0.37715630702511854,959,20
25,0,0.07633416884135495,6048,20
26,0,0.07320391714802929,6048,20
26,1,0.1878187088258948,959,20
27,1,3.154549023284528,959,20
27,0,0.0625309491624945,6048,20
28,0,0.11172940461829844,6048,20
28,1,0.15292923802126235,959,20
29,0,0.08483916478698127,6048,20
29,1,0.11460933381315981,959,20
30,0,0.07123014648273723,6048,20
30,1,0.12360549713936496,959,20
31,0,0.04824895801055229,6048,20
31,1,0.14128091173884083,959,20
32,1,0.15194599146083385,959,20
32,0,0.03964973901279765,6048,20
33,0,0.037917256195862066,6048,20
33,1,0.09528142766508771,959,20
34,0,0.03603254809398269,6048,20
34,1,0.16696607064889207,959,20
35,1,0.116826987127691,959,20
35,0,0.042497345037608984,6048,20
36,0,0.04707179883035781,6048,20
36,1,0.9374796295816292,959,20
37,1,0.06131946058375904,959,20
37,0,0.08709115053428555,6048,20
38,1,0.08373607929457481,959,20
38,0,0.03485614281527445,6048,20
39,1,0.08763003512463309,959,20
39,0,0.04612629688318057,6048,20
40,1,3.6545517855488465,959,20
40,0,0.03472311540777054,6048,20
41,1,0.049006860572098646,959,20
41,0,0.07439503401583793,6048,20
42,0,0.05054732581226125,6048,20
42,1,0.061504951558083505,959,20
43,0,0.03863695132539587,6048,20
43,1,0.05504538875480525,959,20
44,0,0.034657083248846796,6048,20
44,1,0.06104521316437768,959,20
45,0,0.027299504367512478,6048,20
45,1,0.15072029134281764,959,20
46,1,0.09479529224583753,959,20
46,0,0.03127703521517404,6048,20
47,0,0.032414299373656946,6048,20
47,1,0.059529262364884504,959,20
48,1,0.07286052748529678,959,20
48,0,0.02372694878355079,6048,20
49,0,0.021545836491599923,6048,20
49,1,0.04996425346937812,959,20
50,0,0.024736017078733512,6048,20
50,1,0.052457515387126695,959,20
51,1,0.04550851580848662,959,20
51,0,0.028494316966329366,6048,20
52,1,0.06358065729854773,959,20
52,0,0.026905935953453124,6048,20
53,0,0.035354824610040504,6048,20
53,1,0.05811471882694111,959,20
54,1,0.05020062654208936,959,20
54,0,0.024795522296480063,6048,20
55,0,0.03158968302591162,6048,20
55,1,0.055779200308154545,959,20
56,1,0.043697907869791684,959,20
56,0,0.022454633059841602,6048,20
57,0,0.01596374666318668,6048,20
57,1,0.05772338711891404,959,20
58,0,0.027470703889462475,6048,20
58,1,0.09188865927771421,959,20
59,1,0.05286790905061283,959,20
59,0,0.01677908092808817,6048,20
60,1,0.040811976502432595,959,20
60,0,0.020791788240056844,6048,20
61,1,0.04519981992429225,959,20
61,0,0.018621962205000224,6048,20
62,1,0.03004306771678198,959,20
62,0,0.017543854360499142,6048,20
63,0,0.019478783658996614,6048,20
63,1,0.04746926457056705,959,20
64,0,0.014587109787792514,6048,20
64,1,0.036003595777191276,959,20
65,0,0.011391892523267746,6048,20
65,1,0.03782795326242109,959,20
66,1,0.0385793223173827,959,20
66,0,0.011889635435594808,6048,20
67,1,0.03629385076268931,959,20
67,0,0.012491707726029484,6048,20
68,1,0.04725130121166078,959,20
68,0,0.01700390881117605,6048,20
69,0,0.016958691455454873,6048,20
69,1,0.15267444298764732,959,20
70,1,0.05371607412441975,959,20
70,0,0.1596577834764785,6048,20
71,0,0.016847070622848844,6048,20
71,1,0.103331684271825,959,20
72,1,0.10255851645975853,959,20
72,0,0.024130090230247054,6048,20
73,0,0.014595528767613754,6048,20
73,1,0.05732598331939062,959,20
74,0,0.018420980231685945,6048,20
74,1,3.2043037555860243,959,20
75,1,0.02235919009353919,959,20
75,0,0.040843254307620466,6048,20
76,0,0.02288420312123862,6048,20
76,1,0.026107103901592325,959,20
77,1,0.023737446900190515,959,20
77,0,0.021848688362204,6048,20
78,0,0.02302679010792002,6048,20
78,1,0.028002825570242716,959,20
79,0,0.021029095471472695,6048,20
79,1,0.04052550429918791,959,20
80,0,0.09826543127863013,6048,20
80,1,0.03215745060172549,959,20
81,0,0.027616430167076402,6048,20
81,1,0.027702269184824473,959,20
82,0,0.020194744777048024,6048,20
82,1,0.027931292587110475,959,20
83,0,0.01648024632915531,6048,20
83,1,0.032803059054880165,959,20
84,1,0.04843395935065236,959,20
84,0,0.013803917502305679,6048,20
85,0,0.013801970364869496,6048,20
85,1,0.09719511281797077,959,20
86,0,0.020933158960233438,6048,20
86,1,0.03613254207787679,959,20
87,1,0.026268463928000058,959,20
87,0,0.015650590097409385,6048,20
88,0,0.013170978325569026,6048,20
88,1,0.02729901004663815,959,20
89,0,0.016924648628638118,6048,20
89,1,0.022599966889870284,959,20
90,0,0.01301648358273084,6048,20
90,1,0.043535399442951525,959,20
91,1,0.02437765274781398,959,20
91,0,0.024240432650052407,6048,20
92,1,0.061946106891957745,959,20
92,0,0.01956997235199029,6048,20
93,1,0.021065877571867044,959,20
93,0,0.011444347339177836,6048,20
94,1,0.032608054295782334,959,20
94,0,0.012230852288592399,6048,20
95,0,0.011576705925888744,6048,20
95,1,0.034842088523958634,959,20
96,0,0.01953613908084825,6048,20
96,1,0.03566146254731385,959,20
97,1,0.025524035680152237,959,20
97,0,0.010891395626140643,6048,20
98,1,0.11957674674647095,959,20
98,0,0.01821285899615461,6048,20
99,1,0.01956211077105201,959,20
99,0,0.013632836793357443,6048,20
100,0,0.01381942129998733,6048,20
100,1,0.028030956776362508,959,20
101,1,0.02172729101287388,959,20
101,0,0.009734039979308448,6048,20
102,1,0.023505795596476652,959,20
102,0,0.012146272104356303,6048,20
103,0,0.026107163363290855,6048,20
103,1,0.02634162697726629,959,20
104,1,0.0309447992652576,959,20
104,0,0.02301108476053843,6048,20
105,1,0.020949401549353736,959,20
105,0,0.023627097953251,6048,20
106,0,0.01088293832728775,6048,20
106,1,0.023294423122415003,959,20
107,0,0.008740766005293254,6048,20
107,1,0.021687998860801232,959,20
108,0,0.00673245043766232,6048,20
108,1,0.05356065906806725,959,20
109,1,0.01919656229941978,959,20
109,0,0.010635091190842865,6048,20
110,0,0.01746470843804075,6048,20
110,1,0.01918935628539695,959,20
111,1,0.01796723072199464,959,20
111,0,0.012219566581956465,6048,20
112,1,0.021161082188242447,959,20
112,0,0.008351767086345063,6048,20
113,0,0.015844966902034414,6048,20
113,1,0.019832511259676486,959,20
114,1,0.022665036129843587,959,20
114,0,0.012150066157978466,6048,20
115,1,0.02525436907969022,959,20
115,0,0.00992942879809554,6048,20
116,0,0.027368489560910245,6048,20
116,1,0.01907221418327205,959,20
117,0,0.011554007437527833,6048,20
117,1,0.01656106294468526,959,20
118,0,0.008221127726711458,6048,20
118,1,0.011981679534183819,959,20
119,1,0.03738325858729456,959,20
119,0,0.013356482072658356,6048,20
120,1,0.02536266501714627,959,20
120,0,0.011003883826145656,6048,20
121,0,0.014936202428124056,6048,20
121,1,0.01601896775448231,959,20
122,0,0.038292225271407396,6048,20
122,1,0.013686832863320845,959,20
123,0,0.10013566834676081,6048,20
123,1,0.026984634732287918,959,20
124,1,0.020185713535335652,959,20
124,0,0.016388416623531434,6048,20
125,1,0.09792193827313107,959,20
125,0,0.008127085296395362,6048,20
126,1,0.01784975219540709,959,20
126,0,0.008130688921951627,6048,20
127,1,0.032391271360153046,959,20
127,0,0.007320821406224615,6048,20
128,0,0.008022274354737874,6048,20
128,1,0.014623335150066377,959,20
129,1,0.12527903486746597,959,20
129,0,0.019388817267734868,6048,20
130,0,0.011049955730864003,6048,20
130,1,0.019593315529785275,959,20
131,0,0.014418112649110318,6048,20
131,1,0.024823980564712824,959,20
132,0,0.011356966708683315,6048,20
132,1,0.10887890320297273,959,20
133,0,0.010042381207079072,6048,20
133,1,0.013857415190411034,959,20
134,1,0.017006866983289022,959,20
134,0,0.01884169317227271,6048,20
135,0,0.008884096341462477,6048,20
135,1,0.010716251222560392,959,20
136,1,0.023115284120088314,959,20
136,0,0.010064399085532092,6048,20
137,1,0.03645554390247378,959,20
137,0,0.006558012929414512,6048,20
138,0,0.008100164141135511,6048,20
138,1,0.020793671169637006,959,20
139,0,0.005427064074880618,6048,20
139,1,0.013347357697430546,959,20
140,1,0.027895680183451788,959,20
140,0,0.007143686832404712,6048,20
141,1,0.0102717987796972,959,20
141,0,0.008880213635995575,6048,20
142,0,0.005940929632271149,6048,20
142,1,0.013573496842633223,959,20
143,1,0.024991242100358267,959,20
143,0,0.008263190930445235,6048,20
144,0,0.012192382041556914,6048,20
144,1,0.04960057411527664,959,20
145,1,0.023808375389167673,959,20
145,0,0.004781124781832095,6048,20
146,0,0.007742804394216117,6048,20
146,1,0.014528310160064974,959,20
147,1,0.019993538035073474,959,20
147,0,0.010960690815785214,6048,20
148,0,0.005079732355091349,6048,20
148,1,0.015406040478177625,959,20
149,0,0.005400479700600135,6048,20
149,1,0.013978155931526756,959,20
150,0,0.007989067428102273,6048,20
150,1,0.0178548388242577,959,20
