round,client_id,update_norm,n_samples,local_epochs
1,1,3.1388680658406236,959,20
1,0,4.542755304422878,6048,20
2,0,3.656122756208474,6048,20
2,1,3.8443584645843676,959,20
3,0,4.02956058855496,6048,20
3,1,4.264106623201902,959,20
4,1,4.205754683196553,959,20
4,0,4.5547307541182285,6048,20
5,1,3.900562831120537,959,20
5,0,4.636451227579514,6048,20
6,1,3.904828607470134,959,20
6,0,4.319135537548868,6048,20
7,0,3.7656855640005102,6048,20
7,1,3.5167445167307445,959,20
8,0,3.6163190230845594,6048,20
8,1,2.7176809851006802,959,20
9,0,2.003675816196553,6048,20
9,1,3.264220313376198,959,20
10,1,2.268427938594289,959,20
10,0,0.21928229783221584,6048,20
11,1,2.5795212155219276,959,20
11,0,0.14686716366100264,6048,20
12,0,0.14776155744566769,6048,20
12,1,2.0530262207344805,959,20
13,1,2.254080683229784,959,20
13,0,2.71492152374893,6048,20
14,1,1.93842738100363,959,20
14,0,0.3865912097588153,6048,20
15,1,1.7069073472505074,959,20
15,0,0.13441253824080535,6048,20
16,0,0.1019564611119632,6048,20
16,1,1.7492036412213567,959,20
17,0,0.09455199939388723,6048,20
17,1,1.8872728956787639,959,20
18,0,0.08459095182280729,6048,20
18,1,1.8738476145626992,959,20
19,1,2.0509202184884647,959,20
19,0,0.09269002571257737,6048,20
20,0,0.09786891159671046,6048,20
20,1,2.4317108111054417,959,20
21,0,0.12000651629668167,6048,20
21,1,1.8915215323851697,959,20
22,1,1.8800379523971418,959,20
22,0,0.10567119392204954,6048,20
23,1,1.8039933176738778,959,20
23,0,0.10112888308552812,6048,20
24,1,0.20357116905256548,959,20
24,0,0.10305630251674917,6048,20
25,0,0.07034257767750161,6048,20
25,1,1.9411873221982558,959,20
26,0,0.09057183948307448,6048,20
26,1,0.1737815383052855,959,20
27,0,0.06272000510500977,6048,20
27,1,0.16032082503947898,959,20
28,1,0.14890806719327138,959,20
28,0,0.055476068806351184,6048,20
29,1,0.13561983292940225,959,20
29,0,0.04736583386289643,6048,20
30,0,0.040576965135179166,6048,20
30,1,0.22930234216996268,959,20
31,0,0.04745260184733089,6048,20
31,1,0.15154154700094735,959,20
32,1,0.13519272471137125,959,20
32,0,0.03733896555707542,6048,20
33,0,0.0373747373179351,6048,20
33,1,0.11559997573918378,959,20
34,1,0.1046146405034655,959,20
34,0,0.03286204426260058,6048,20
35,1,0.11526812560389106,959,20
35,0,0.031056438575169276,6048,20
36,0,0.02684742501071588,6048,20
36,1,0.10062512876449481,959,20
37,1,0.09438176242355938,959,20
37,0,0.057633937690957524,6048,20
38,1,0.1114868332224964,959,20
38,0,0.026144892314377367,6048,20
39,0,0.022903282684760804,6048,20
39,1,0.09759357119481621,959,20
40,0,0.024674406853138924,6048,20
40,1,0.1014250101573895,959,20
41,0,0.021286945517140644,6048,20
41,1,0.09756390574697967,959,20
42,1,0.09862468706584314,959,20
42,0,0.025133808780949878,6048,20
43,0,0.0189565853249061,6048,20
43,1,0.08303109171307274,959,20
44,1,0.07790818044218234,959,20
44,0,0.01978616399476559,6048,20
45,0,0.022842855411379384,6048,20
45,1,0.08009805240444665,959,20
46,0,0.024854767449297592,6048,20
46,1,0.08247476877885261,959,20
47,0,0.01756442595935575,6048,20
47,1,0.07254676210099789,959,20
48,0,0.017982590814996584,6048,20
48,1,0.08234382848574104,959,20
49,0,0.017783525727191704,6048,20
49,1,0.0668299336057269,959,20
50,0,0.016229740313897255,6048,20
50,1,0.07392764697269272,959,20
51,1,0.06581866508077991,959,20
51,0,0.016459344146720952,6048,20
52,1,0.06477034476801782,959,20
52,0,0.01560568924572669,6048,20
53,0,0.014557301470830921,6048,20
53,1,0.0705992472932628,959,20
54,0,0.013100865505295966,6048,20
54,1,0.07890588995753813,959,20
55,0,0.01583309814313099,6048,20
55,1,0.0650741910273308,959,20
56,1,0.06661521280452391,959,20
56,0,0.01336761222276964,6048,20
57,1,0.06400899870294921,959,20
57,0,0.01634985233501282,6048,20
58,1,0.054672472299262025,959,20
58,0,0.014326401923639978,6048,20
59,1,0.05568829190044276,959,20
59,0,0.017705124241914016,6048,20
60,1,0.05457511469932614,959,20
60,0,0.016761210262026115,6048,20
61,1,0.057682409820231074,959,20
61,0,0.0164700290851948,6048,20
62,1,0.05680626375494387,959,20
62,0,0.013200753725987318,6048,20
63,1,0.05729918685495268,959,20
63,0,0.013774376714822026,6048,20
64,1,0.051160901898990085,959,20
64,0,0.014922126318107635,6048,20
65,1,0.051416488525765,959,20
65,0,0.011755252761748002,6048,20
66,1,0.04382267321036962,959,20
66,0,0.010944841964111052,6048,20
67,1,0.05798564212526208,959,20
67,0,0.012027100799795654,6048,20
68,0,0.011395206524602942,6048,20
68,1,0.04977624078285616,959,20
69,0,0.015292749937883274,6048,20
69,1,0.08544821344035333,959,20
70,0,0.01001650077392582,6048,20
70,1,0.06306075704703162,959,20
71,1,0.046019844827738125,959,20
71,0,0.011109125816159544,6048,20
72,1,0.046781369180488905,959,20
72,0,0.013968169996314242,6048,20
73,1,0.09091176009754486,959,20
73,0,0.009694922719887844,6048,20
74,0,0.013472461101225743,6048,20
74,1,0.048447721240507204,959,20
75,1,0.0453497681515,959,20
75,0,0.011348389468697323,6048,20
76,0,0.012561597560621321,6048,20
76,1,0.039218382231456295,959,20
77,0,0.012228410877491637,6048,20
77,1,0.03980786776917902,959,20
78,1,0.04250100259629914,959,20
78,0,0.009120664233355256,6048,20
79,0,0.011287481645095236,6048,20
79,1,0.03988330694812808,959,20
80,0,0.009405873823175903,6048,20
80,1,0.05676312392605385,959,20
81,1,0.049283855275863694,959,20
81,0,0.009782175732086963,6048,20
82,1,0.041867465124852093,959,20
82,0,0.010114072051938785,6048,20
83,0,0.013096913297499563,6048,20
83,1,0.06473673654220069,959,20
84,1,0.035867053958993096,959,20
84,0,0.008236415627752725,6048,20
85,1,0.03829399546546422,959,20
85,0,0.008275992322045726,6048,20
86,0,0.009319426727369786,6048,20
86,1,0.03652469005567327,959,20
87,1,0.039814042398766604,959,20
87,0,0.009425727972049443,6048,20
88,0,0.01045602385140973,6048,20
88,1,0.036503828912822195,959,20
89,0,0.011622020213771764,6048,20
89,1,0.03896068515092206,959,20
90,0,0.0099659713201719,6048,20
90,1,0.033260877355296724,959,20
91,0,0.008966708576269241,6048,20
91,1,0.03228585752359453,959,20
92,0,0.008932279192861239,6048,20
92,1,0.03429019903474844,959,20
93,0,0.007372411645623977,6048,20
93,1,0.03569170524742033,959,20
94,0,0.008384857204239074,6048,20
94,1,0.04432213576554833,959,20
95,1,0.03215992039785379,959,20
95,0,0.015474213240123325,6048,20
96,0,0.008838364193288461,6048,20
96,1,0.036208936982796085,959,20
97,0,0.009771148367706643,6048,20
97,1,0.036420253364235676,959,20
98,0,0.011069302660285012,6048,20
98,1,0.050553182544995995,959,20
99,0,0.007283385555699625,6048,20
99,1,0.029500672106236154,959,20
100,1,0.03153681364292145,959,20
100,0,0.00784648234617021,6048,20
101,0,0.006237743582974747,6048,20
101,1,0.035705324597604955,959,20
102,1,0.03175445404402435,959,20
102,0,0.010450884850589107,6048,20
103,1,0.041277840911975935,959,20
103,0,0.006444252003345123,6048,20
104,1,0.02759267374457992,959,20
104,0,0.008324774371651687,6048,20
105,1,0.030130571107124044,959,20
105,0,0.014533174859233219,6048,20
106,1,0.029713963539240152,959,20
106,0,0.0071838396854528985,6048,20
107,0,0.010077803398563396,6048,20
107,1,0.037312128779319734,959,20
108,0,0.010353774760123799,6048,20
108,1,0.028426340102154623,959,20
109,0,0.010449868216110256,6048,20
109,1,0.04055949913463588,959,20
110,1,0.028142559611825144,959,20
110,0,0.006006180250112464,6048,20
111,1,0.03806208248483169,959,20
111,0,0.008173770158711756,6048,20
112,1,0.02951849926195163,959,20
112,0,0.007542092985976681,6048,20
113,1,0.030914686359107393,959,20
113,0,0.0062149310651327975,6048,20
114,0,0.006614191729168065,6048,20
114,1,0.032211325648868666,959,20
115,0,0.02267771158930355,6048,20
115,1,0.029473724831696482,959,20
116,1,0.027171049136724825,959,20
116,0,0.0074802597613234075,6048,20
117,0,0.010356319936356363,6048,20
117,1,0.02678210860721467,959,20
118,0,0.020560951725310854,6048,20
118,1,0.060365108595973965,959,20
119,0,0.010340986644279801,6048,20
119,1,0.05487917065913484,959,20
120,0,0.00894903750159249,6048,20
120,1,0.023845277414784843,959,20
121,1,0.022242872327204986,959,20
121,0,0.005913292732447788,6048,20
122,1,0.035964584120191254,959,20
122,0,0.011134817835873225,6048,20
123,0,0.006432484637102713,6048,20
123,1,0.029080347896559753,959,20
124,1,0.025571827877657848,959,20
124,0,0.006660252236531148,6048,20
125,0,0.006180479937909335,6048,20
125,1,0.043315488133419316,959,20
126,1,0.026106208379967175,959,20
126,0,0.006508424154879159,6048,20
127,0,0.008189505324135767,6048,20
127,1,0.0248337465942225,959,20
128,0,0.005911715955473363,6048,20
128,1,0.026585395079982973,959,20
129,1,0.021174161181971737,959,20
129,0,0.005165633510566822,6048,20
130,1,0.022004134916124237,959,20
130,0,0.0067986274505935085,6048,20
131,0,0.005885343357484001,6048,20
131,1,0.023751277901446478,959,20
132,1,0.02577452338901268,959,20
132,0,0.0050230678387414756,6048,20
133,1,0.020446902606407923,959,20
133,0,0.0060026321901493,6048,20
134,0,0.00646625904146482,6048,20
134,1,0.02980996649395623,959,20
135,1,0.024564666154246077,959,20
135,0,0.006602711721108274,6048,20
136,1,0.02538080263116802,959,20
136,0,0.0049570744252717715,6048,20
137,1,0.02299037527057956,959,20
137,0,0.004875370777490342,6048,20
138,0,0.005476105357210533,6048,20
138,1,0.021722526958499307,959,20
139,1,0.026820128615298734,959,20
139,0,0.005001999612220832,6048,20
140,1,0.02322781462799903,959,20
140,0,0.005896196888953319,6048,20
141,1,0.025412019348164637,959,20
141,0,0.006240394492808444,6048,20
142,0,0.00751043122183494,6048,20
142,1,0.025954063075428923,959,20
143,1,0.03372385689989875,959,20
143,0,0.0073935846336494505,6048,20
144,1,0.021087108870605508,959,20
144,0,0.005352086959187566,6048,20
145,1,0.022828956399396107,959,20
145,0,0.005115619074905102,6048,20
146,0,0.007693703761171228,6048,20
146,1,0.024084845542883617,959,20
147,0,0.01711506794628352,6048,20
147,1,0.022533952515388044,959,20
148,1,0.023019857247209164,959,20
148,0,0.006377440979567155,6048,20
149,0,0.0051144279159528,6048,20
149,1,0.026277836711814613,959,20
150,1,0.02264806548704329,959,20
150,0,0.005326335340295334,6048,20
