level,partition,label,js_divergence,algorithm,mu,selected_round,best_val_macro_f1,macro_f1,accuracy,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedavg,0.0,19,0.6139790133801765,0.6083781651587098,0.7855361596009975,0.5889717465369184,0.557519656852496,0.5693430656934306,0.5608465608465608,0.5550239234449761,0.46153846153846156,0.47417840375586856,0.9008746355685131,0.7368421052631579
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedprox,0.01,13,0.6301539536584085,0.6053882403046201,0.7835411471321696,0.5967535677938175,0.5453040361020566,0.582089552238806,0.5756097560975609,0.5450236966824644,0.46153846153846156,0.4858490566037736,0.8990825688073395,0.6885245901639344
L1,two_client_86_14_quantity_only_stratified,Quantity 86/14,0.0,fedavg,0.0,15,0.6540888321750039,0.5880905919627543,0.7845386533665836,0.5715956627063651,0.5367263659034233,0.48739495798319327,0.5233644859813084,0.5949656750572082,0.4090909090909091,0.47381546134663344,0.9007299270072993,0.7272727272727273
L1,two_client_86_14_quantity_only_stratified,Quantity 86/14,0.0,fednova,0.0,6,0.6078279074430336,0.5927494011981063,0.7765586034912718,0.5965764089807094,0.5458318439969816,0.4925373134328358,0.5729166666666666,0.55,0.42857142857142855,0.481651376146789,0.8962962962962963,0.7272727272727273
L1,two_client_86_14_quantity_only_stratified,Quantity 86/14,0.0,fedprox,0.01,56,0.6358174806050724,0.5905620952700735,0.7780548628428927,0.5784377466792723,0.5461521463084814,0.48484848484848486,0.5463414634146342,0.569377990430622,0.43902439024390244,0.4752941176470588,0.8949102892713292,0.7241379310344828
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedavg,0.0,132,0.5581337388275461,0.5489358046089473,0.7685785536159601,0.5423231952340196,0.4767808136697533,0.5196850393700787,0.5145631067961165,0.4823848238482385,0.3829787234042553,0.3806970509383378,0.8955752212389381,0.6666666666666666
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedprox,0.01,126,0.559942210813455,0.5367441930120614,0.7620947630922693,0.5274910887833363,0.4535292554670556,0.496,0.542713567839196,0.46524064171123,0.2857142857142857,0.35356200527704484,0.8926673751328374,0.7213114754098361
L3,two_client_70_30_rare_enriched,Mixed 70/30,0.1206,fedavg,0.0,144,0.5690492180455262,0.5119859930616646,0.7486284289276808,0.5044262054062049,0.4244763073478439,0.4897959183673469,0.5,0.4365781710914454,0.2692307692307692,0.33753148614609574,0.8840989399293286,0.6666666666666666
L3,two_client_70_30_rare_enriched,Mixed 70/30,0.1206,fednova,0.0,98,0.5885643071619401,0.5268946406845013,0.7655860349127181,0.5007369544021005,0.39129210658622426,0.5384615384615384,0.5756097560975609,0.5098039215686274,0.358974358974359,0.22666666666666666,0.8905109489051095,0.5882352941176471
L3,two_client_70_30_rare_enriched,Mixed 70/30,0.1206,fedprox,0.01,150,0.5150483343212966,0.5089874403794757,0.7491271820448878,0.5037424137727965,0.4279117774880487,0.47692307692307695,0.4624277456647399,0.45125348189415043,0.25,0.3557692307692308,0.8885724457102172,0.6779661016949152
L4,two_client_90_10_rare_stress,Severe 86/14,0.3853,fedavg,0.0,97,0.5188157672264077,0.5179682047532733,0.7351620947630922,0.546453352070891,0.3879491270930339,0.4970414201183432,0.5395348837209303,0.5478260869565217,0.0975609756097561,0.3645320197044335,0.8775276611980161,0.7017543859649122
L4,two_client_90_10_rare_stress,Severe 86/14,0.3853,fednova,0.0,121,0.5563245318682876,0.5061880785004599,0.7211970074812968,0.5144900388872691,0.3732105850470269,0.5426356589147286,0.5051546391752577,0.5156794425087108,0.1951219512195122,0.35784313725490197,0.8602150537634409,0.5666666666666667
L4,two_client_90_10_rare_stress,Severe 86/14,0.3853,fedprox,0.01,115,0.48924478700358803,0.4922805538101406,0.7561097256857855,0.4903207800158697,0.31232892017205743,0.5100671140939598,0.5727699530516432,0.5371702637889688,0.10256410256410256,0.35294117647058826,0.8889697852202403,0.48148148148148145
