round,client_id,update_norm,n_samples,local_epochs
1,0,5.409034243294385,6048,20
1,1,2.253549546694526,959,20
2,0,5.734693089553854,6048,20
2,1,2.301847923365013,959,20
3,0,5.791024236962036,6048,20
3,1,2.4935247277850254,959,20
4,1,1.9995489327422615,959,20
4,0,2.594096046482306,6048,20
5,1,2.0940224774320835,959,20
5,0,0.3398322102388384,6048,20
6,0,0.20957562846097075,6048,20
6,1,1.9108962385381627,959,20
7,1,1.8144469578874254,959,20
7,0,0.1745796047493548,6048,20
8,1,1.7555097607576404,959,20
8,0,0.16421519962771025,6048,20
9,1,1.72215578273431,959,20
9,0,0.14914218493076825,6048,20
10,0,0.143255268771423,6048,20
10,1,1.2434533861389854,959,20
11,1,1.5297579295821755,959,20
11,0,0.1274065570556994,6048,20
12,0,0.12869947255226163,6048,20
12,1,1.5368112940705385,959,20
13,1,1.3362145928058657,959,20
13,0,0.12340686394938791,6048,20
14,0,0.12745500757123218,6048,20
14,1,1.0544239860440172,959,20
15,0,0.10476406267150176,6048,20
15,1,1.259178857858122,959,20
16,0,0.10830326950452261,6048,20
16,1,1.2555751220764177,959,20
17,0,0.10690921606442735,6048,20
17,1,1.0453534798372976,959,20
18,1,1.0360270540711456,959,20
18,0,0.0951500088149247,6048,20
19,1,1.2373668511844849,959,20
19,0,0.1027769873640428,6048,20
20,0,0.09439614869969802,6048,20
20,1,1.0379515560227035,959,20
21,1,0.962908093922884,959,20
21,0,0.09836715215041382,6048,20
22,1,0.9940064734236829,959,20
22,0,0.09094944168228483,6048,20
23,0,0.08412702998028879,6048,20
23,1,0.9624762825558538,959,20
24,1,0.9919270468382033,959,20
24,0,0.07684621986651965,6048,20
25,0,0.07805119021674953,6048,20
25,1,1.1412197111936868,959,20
26,1,1.0869769805665421,959,20
26,0,0.08774569120895448,6048,20
27,1,0.9995005301376729,959,20
27,0,0.08130963128260729,6048,20
28,1,1.1195211852436415,959,20
28,0,0.07591519602423714,6048,20
29,1,0.10616426490644264,959,20
29,0,0.08141078169750905,6048,20
30,1,0.9848927676561842,959,20
30,0,0.050584667077771116,6048,20
31,1,0.12087330688988646,959,20
31,0,0.07478834742202534,6048,20
32,0,0.043776626696992366,6048,20
32,1,0.09774676460002868,959,20
33,1,1.1870487206551905,959,20
33,0,0.035634928697849885,6048,20
34,1,0.11801492780678868,959,20
34,0,0.06146005389515015,6048,20
35,0,0.042000078502146945,6048,20
35,1,0.09669827090259155,959,20
36,1,1.1491069748936769,959,20
36,0,0.03504983389564584,6048,20
37,1,0.06214622171129321,959,20
37,0,0.05999534578304895,6048,20
38,0,0.03576424494885259,6048,20
38,1,1.063309713543101,959,20
39,0,0.06254883706001595,6048,20
39,1,0.06326969711354082,959,20
40,1,0.09540618981993072,959,20
40,0,0.04001411933522005,6048,20
41,1,0.07850568172668387,959,20
41,0,0.02964734980950049,6048,20
42,1,0.07984303335289666,959,20
42,0,0.030925132230063407,6048,20
43,1,1.1818703375425779,959,20
43,0,0.023985689331769946,6048,20
44,1,0.06562481541029747,959,20
44,0,0.04989369977006197,6048,20
45,0,0.03025599769531802,6048,20
45,1,0.07505782203867405,959,20
46,0,0.026731732564134542,6048,20
46,1,1.1246358908745102,959,20
47,1,0.06648076873259967,959,20
47,0,0.051687344563905585,6048,20
48,0,0.030496596638989387,6048,20
48,1,0.05556331522644919,959,20
49,1,0.05561093371038743,959,20
49,0,0.025651233743474847,6048,20
50,0,0.024800371453509995,6048,20
50,1,0.07596658134296996,959,20
51,0,0.021206723839341038,6048,20
51,1,0.05377546346768512,959,20
52,0,0.019992487743811103,6048,20
52,1,0.059295405643392675,959,20
53,1,0.05086534427557638,959,20
53,0,0.02573037167389487,6048,20
54,1,0.052942150572068,959,20
54,0,0.017960138326202593,6048,20
55,1,0.05420678300718311,959,20
55,0,0.02697516975439821,6048,20
56,0,0.02231812617942933,6048,20
56,1,0.053561432673828215,959,20
57,1,0.05770067165581116,959,20
57,0,0.018839640112483343,6048,20
58,1,0.04618703454231429,959,20
58,0,0.015497410241389304,6048,20
59,0,0.01883018495266264,6048,20
59,1,0.044952509409415885,959,20
60,0,0.01853559946691419,6048,20
60,1,0.05572351258623067,959,20
61,1,0.053411675236453335,959,20
61,0,0.015028587839920626,6048,20
62,0,0.014069013044670172,6048,20
62,1,0.051415970109879854,959,20
63,1,0.043678410597826206,959,20
63,0,0.015236729777429524,6048,20
64,0,0.01274022035371885,6048,20
64,1,0.04689281923416998,959,20
65,1,0.04604955883676292,959,20
65,0,0.01315145598931966,6048,20
66,0,0.011669487691003282,6048,20
66,1,0.05701045888508467,959,20
67,1,0.047493868266062465,959,20
67,0,0.013102038218057587,6048,20
68,1,0.045570557773289604,959,20
68,0,0.01231916285402799,6048,20
69,1,0.04679135901775198,959,20
69,0,0.014908590191875709,6048,20
70,1,0.05497318101341764,959,20
70,0,0.011095662621690554,6048,20
71,0,0.011465162265194583,6048,20
71,1,0.042245493614267104,959,20
72,1,0.043099418718313416,959,20
72,0,0.012266625373142579,6048,20
73,1,0.042482629152424144,959,20
73,0,0.013214057026601176,6048,20
74,1,0.03739200556420511,959,20
74,0,0.01287938183405095,6048,20
75,0,0.01289170502964842,6048,20
75,1,0.040190953129471185,959,20
76,0,0.010383839514192895,6048,20
76,1,0.0473475390147064,959,20
77,1,0.03518341916964701,959,20
77,0,0.010329857048516073,6048,20
78,1,0.04729527013352573,959,20
78,0,0.011471086654945778,6048,20
79,0,0.009921876050337959,6048,20
79,1,0.03747113529665283,959,20
80,0,0.0170174895418301,6048,20
80,1,0.03339889360669261,959,20
81,1,0.03886849063900944,959,20
81,0,0.009899009690602168,6048,20
82,0,0.012507658647588724,6048,20
82,1,0.032895565009512205,959,20
83,0,0.012110095436366734,6048,20
83,1,0.038155485013297664,959,20
84,1,0.03344094860720065,959,20
84,0,0.010033385667510017,6048,20
85,1,0.039839787674363934,959,20
85,0,0.009732138996928048,6048,20
86,0,0.015507133275057493,6048,20
86,1,0.04176646462793537,959,20
87,1,0.036387417344177775,959,20
87,0,0.010329540497674067,6048,20
88,0,0.010859710568737333,6048,20
88,1,0.032613905378437606,959,20
89,0,0.009529603209186418,6048,20
89,1,0.03345876017736763,959,20
90,0,0.008346910329467333,6048,20
90,1,0.031850980362856544,959,20
91,0,0.01139528570495446,6048,20
91,1,0.035707299475714105,959,20
92,0,0.011565260580280134,6048,20
92,1,0.04674755212172628,959,20
93,0,0.009034136014108225,6048,20
93,1,0.033761747845584986,959,20
94,0,0.011846234098053597,6048,20
94,1,0.027726296967392195,959,20
95,0,0.008735205526965412,6048,20
95,1,0.030318374085036275,959,20
96,0,0.026245021899844536,6048,20
96,1,0.03451597418994349,959,20
97,1,0.034268636662448226,959,20
97,0,0.008299967844080927,6048,20
98,0,0.009293930520561171,6048,20
98,1,0.043306476782278794,959,20
99,0,0.0074490038666277444,6048,20
99,1,0.030257323363636575,959,20
100,1,0.031231264157473418,959,20
100,0,0.008736333365320852,6048,20
101,1,0.028185850405021383,959,20
101,0,0.008019516128997239,6048,20
102,0,0.007397670188151475,6048,20
102,1,0.028816730296275125,959,20
103,1,0.029136896576856624,959,20
103,0,0.007335473046583518,6048,20
104,0,0.008052370793361184,6048,20
104,1,0.03151934216874506,959,20
105,1,0.027112269619136774,959,20
105,0,0.008346855243266529,6048,20
106,1,0.05784027633962966,959,20
106,0,0.006730933018207005,6048,20
107,0,0.01306779402449313,6048,20
107,1,0.02698499530360625,959,20
108,0,0.00784664683284766,6048,20
108,1,0.028497643124556937,959,20
109,0,0.007576405555139748,6048,20
109,1,0.06781795044955888,959,20
110,0,0.008261722132803411,6048,20
110,1,0.06773898765705988,959,20
111,1,0.02700611455008937,959,20
111,0,0.007614809499271034,6048,20
112,1,0.03144460000573805,959,20
112,0,0.007517468764152331,6048,20
113,1,0.028415725833903203,959,20
113,0,0.010600910334137098,6048,20
114,1,0.023870757495893517,959,20
114,0,0.01046480828591905,6048,20
115,1,0.0292444320528311,959,20
115,0,0.007511639267795686,6048,20
116,0,0.00812469436052161,6048,20
116,1,0.05745947269226773,959,20
117,0,0.007607212441182429,6048,20
117,1,0.021949190395444042,959,20
118,0,0.006482817245008117,6048,20
118,1,0.027099697426790904,959,20
119,0,0.00735827480922715,6048,20
119,1,0.026518102288321282,959,20
120,0,0.00813826342604954,6048,20
120,1,0.022685747262486136,959,20
121,0,0.00670850176113002,6048,20
121,1,0.0369912481113087,959,20
122,1,0.041261808767355745,959,20
122,0,0.007203946622200877,6048,20
123,1,0.022331162066425898,959,20
123,0,0.008774724794720162,6048,20
124,1,0.024542502812534787,959,20
124,0,0.013957735597872164,6048,20
125,0,0.007128208054331389,6048,20
125,1,0.02763405589708403,959,20
126,0,0.008891564708136871,6048,20
126,1,0.026474488070573444,959,20
127,1,0.03161746830913157,959,20
127,0,0.006918416206590162,6048,20
128,1,0.024077431756513726,959,20
128,0,0.007086223345305524,6048,20
129,1,0.022264165035694283,959,20
129,0,0.013090918889636892,6048,20
130,0,0.007631943987845113,6048,20
