condition,cond_idx,seed,hostname,selected_round,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
1. FedAvg baseline (no straggler),0,42,gpu-q-77,149,0.459289192255614,0.48550353998079165,0.2906044131755676,0.44776119402985076,0.4774774774774775,0.5387931034482759,0.08,0.3389830508474576,0.8791793313069909,0.4528301886792453
1. FedAvg baseline (no straggler),0,123,gpu-q-2,144,0.5146385318822995,0.540089839972833,0.3854102847995487,0.48677248677248675,0.5,0.5877712031558185,0.23076923076923078,0.4008714596949891,0.8716951788491446,0.5245901639344263
1. FedAvg baseline (no straggler),0,456,gpu-q-40,140,0.48125519590476584,0.506642739094445,0.2734480816935275,0.5662650602409639,0.5517241379310345,0.5578512396694215,0.0,0.3713646532438479,0.8726016884113584,0.4489795918367347
2. FedAvg + drop-stragglers (Li §5.2 FA),1,42,gpu-q-77,123,0.37246849915187824,0.3980248030388123,0.0,0.5714285714285714,0.5814977973568282,0.5708245243128964,0.0,0.0,0.8835286009648519,0.0
2. FedAvg + drop-stragglers (Li §5.2 FA),1,123,gpu-q-2,104,0.3662000423220913,0.39587887551007384,0.0,0.5109489051094891,0.5966386554621849,0.5764192139737991,0.0,0.0,0.8793935217091661,0.0
2. FedAvg + drop-stragglers (Li §5.2 FA),1,456,gpu-q-1,3,0.3542143049743789,0.385245834434601,0.0,0.5205479452054794,0.5281385281385281,0.5454545454545454,0.0,0.0,0.8853591160220995,0.0
3. FedProx + γ-inexact (Li §5.2 FP) ⭐,2,42,gpu-q-1,148,0.467511362080326,0.4887387581516749,0.27228873130512476,0.5202312138728323,0.5544554455445545,0.4986737400530504,0.06060606060606061,0.3956043956043956,0.8823529411764706,0.36065573770491804
3. FedProx + γ-inexact (Li §5.2 FP) ⭐,2,123,gpu-q-3,134,0.48340949718829346,0.5222204852928564,0.30760211205740656,0.5,0.5740740740740741,0.5108695652173914,0.13793103448275862,0.42123893805309737,0.876116504854369,0.36363636363636365
3. FedProx + γ-inexact (Li §5.2 FP) ⭐,2,456,gpu-q-46,142,0.4863140656009884,0.4984727714466102,0.2916357690186907,0.5614035087719298,0.5360824742268041,0.5519848771266541,0.0,0.32171581769436997,0.8798202920254586,0.5531914893617021
4. FedProx + drop control,3,42,gpu-q-2,126,0.3737611477775412,0.39495589334971626,0.0,0.5909090909090909,0.5955555555555555,0.5466666666666666,0.0,0.0,0.8831967213114754,0.0
4. FedProx + drop control,3,123,gpu-q-30,5,0.36391136002541896,0.39574536473278904,0.0,0.5342465753424658,0.5398230088495575,0.5864978902953587,0.0,0.0,0.8868120456905504,0.0
4. FedProx + drop control,3,456,gpu-q-25,5,0.3674657830717785,0.39568509941872815,0.0,0.5540540540540541,0.5650224215246636,0.5675675675675675,0.0,0.0,0.8856164383561644,0.0
