round,client_id,update_norm,n_samples,local_epochs
1,0,0.6607815718714474,964,20
1,6,0.46804143000419296,673,20
1,1,0.7099225286970833,963,20
1,4,0.7444855471325985,1110,20
1,5,0.5641623500070183,1108,20
1,3,0.5932333413061739,1094,20
1,2,0.6008702186731764,1095,20
2,5,0.45490663475559023,1108,20
2,6,0.24768830634082578,673,20
2,3,0.4425737060498294,1094,20
2,2,0.5002415089959834,1095,20
2,4,0.4595663789052121,1110,20
2,0,0.47120766190162566,964,20
2,1,0.4941125603867901,963,20
3,4,0.4603149644623952,1110,20
3,2,0.4165406996137586,1095,20
3,3,0.42869957452797336,1094,20
3,0,0.5266710052941926,964,20
3,1,0.4647684713297592,963,20
3,6,0.18979181484349886,673,20
3,5,0.42824527935591616,1108,20
4,6,0.1486258287032836,673,20
4,5,0.3805974641785404,1108,20
4,4,0.3956961224576835,1110,20
4,1,0.4539706959238025,963,20
4,0,0.4206809189738511,964,20
4,2,0.4556605128767683,1095,20
4,3,0.4230638055663348,1094,20
5,5,0.3605526324498199,1108,20
5,0,0.43630659800822974,964,20
5,4,0.5141159727814352,1110,20
5,2,0.413873270326805,1095,20
5,6,0.15275398325616008,673,20
5,1,0.4607850011696252,963,20
5,3,0.3646478673019659,1094,20
6,5,0.418411165042364,1108,20
6,3,0.3527305717781897,1094,20
6,0,0.43625153383602694,964,20
6,2,0.39281122227146964,1095,20
6,1,0.4745158083340728,963,20
6,6,0.14565078185612965,673,20
6,4,0.3825899730088963,1110,20
7,4,0.401672352645869,1110,20
7,1,0.39532285870410094,963,20
7,6,0.15381059126523278,673,20
7,2,0.38958031314679525,1095,20
7,3,0.40222834371449323,1094,20
7,5,0.4313630027592745,1108,20
7,0,0.35022027335631994,964,20
8,4,0.349626775393377,1110,20
8,0,0.456306174705221,964,20
8,6,0.16025334057294488,673,20
8,5,0.39789003416204305,1108,20
8,1,0.3614547431460359,963,20
8,2,0.34516874085513194,1095,20
8,3,0.39652583466473557,1094,20
9,4,0.43354372545617464,1110,20
9,1,0.3463361559620352,963,20
9,2,0.32221652357426905,1095,20
9,0,0.3609749996526264,964,20
9,5,0.38863917243714485,1108,20
9,6,0.14938211837751045,673,20
9,3,0.5159181939693733,1094,20
10,3,0.35513425237486484,1094,20
10,0,0.33816664727134105,964,20
10,2,0.3110265481462644,1095,20
10,4,0.3214938698320637,1110,20
10,1,0.37158912124158183,963,20
10,5,0.3587513210154755,1108,20
10,6,0.17016827435231943,673,20
11,1,0.3489187020459942,963,20
11,0,0.47928558952557515,964,20
11,5,0.4436878030301602,1108,20
11,2,0.33064515422747076,1095,20
11,6,0.13153042318112537,673,20
11,4,0.4467519617308431,1110,20
11,3,0.5266819490747808,1094,20
12,3,0.368956743634024,1094,20
12,1,0.3792879336037053,963,20
12,4,0.40969485544196277,1110,20
12,6,0.15154826355549178,673,20
12,0,0.31123845563604696,964,20
12,2,0.3865116574937548,1095,20
12,5,0.48219382003580796,1108,20
13,4,0.3633057057657133,1110,20
13,0,0.3530033788063461,964,20
13,1,0.3408640340463062,963,20
13,6,0.1648266705080698,673,20
13,3,0.34135907405807164,1094,20
13,5,0.3388323196117746,1108,20
13,2,0.3275009089803052,1095,20
14,1,0.36088882203105394,963,20
14,5,0.37231103121737213,1108,20
14,3,0.3303668865318998,1094,20
14,2,0.38635393592882483,1095,20
14,0,0.4248734901369313,964,20
14,6,0.15864292144306236,673,20
14,4,0.35064098933556886,1110,20
15,5,0.3880325360103208,1108,20
15,3,0.47865257718288773,1094,20
15,2,0.5803155840150869,1095,20
15,4,0.34791454406576805,1110,20
15,1,0.31732223770872614,963,20
15,6,0.1486541962653924,673,20
15,0,0.38220273887305767,964,20
16,5,0.35241622221296903,1108,20
16,1,0.31055017980999194,963,20
16,4,0.3957960388697039,1110,20
16,3,0.4609959437525269,1094,20
16,6,0.13992106593996875,673,20
16,2,0.3914928252108813,1095,20
16,0,0.3260268265207354,964,20
17,0,0.4194605784364374,964,20
17,2,0.3410719033503287,1095,20
17,3,0.35303415378754294,1094,20
17,4,0.379534200952105,1110,20
17,1,0.37008600838272626,963,20
17,6,0.12157212020203854,673,20
17,5,0.38856347856239865,1108,20
18,1,0.2941526545719457,963,20
18,6,0.12739532575802293,673,20
18,5,0.39623290409253414,1108,20
18,4,0.334002010824953,1110,20
18,3,0.3615224508194793,1094,20
18,2,0.3552161588104327,1095,20
18,0,0.5158121688369515,964,20
19,6,0.15976507877446408,673,20
19,2,0.3687614076130982,1095,20
19,4,0.3803416885302145,1110,20
19,3,0.40261920207072033,1094,20
19,5,0.3616644257550029,1108,20
19,0,0.3234469348534372,964,20
19,1,0.30729723212530397,963,20
20,1,0.4212439855417978,963,20
20,3,0.34259108886514805,1094,20
20,6,0.1656160856237297,673,20
20,4,0.4094246157925377,1110,20
20,0,0.31525820902267515,964,20
20,2,0.33575924885449643,1095,20
20,5,0.4830314688369442,1108,20
21,0,0.3285111185102954,964,20
21,5,0.38294608423231363,1108,20
21,2,0.3307045457486366,1095,20
21,1,0.31012483246165723,963,20
21,6,0.14951373055551817,673,20
21,3,0.3686043518406895,1094,20
21,4,0.3132229995412056,1110,20
22,2,0.3426261511505923,1095,20
22,1,0.3759000625021181,963,20
22,0,0.33502349631680206,964,20
22,5,0.33003396444627336,1108,20
22,4,0.3720071657587259,1110,20
22,3,0.3446829848922388,1094,20
22,6,0.15049094205234956,673,20
