seed,algorithm,mu,local_epochs,round,n_sampled,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6
123,fedprox,1.0,20,1,7,0.9074466393833579,1.1442283375313131,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,2,7,0.8069327861274677,1.1261046168692448,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,3,7,0.7848081091131757,1.2437908669649544,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,4,7,0.7617524494578375,1.11424236170435,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,5,7,0.755684339221718,1.1038862724128298,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,6,7,0.7354038162230134,1.0564846821344742,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,7,7,0.7196519671334227,1.071245484492358,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,8,7,0.7146130289636964,1.0962645436450467,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,9,7,0.7074288551855233,1.0296823841149167,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,10,7,0.6999892889363848,1.0984184346194281,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,11,7,0.6901298376538892,1.029013616316102,0.6689930209371885,0.14394294230359805,0.11704179279367251,0.0,0.0,0.017857142857142856,0.0,0.0,0.8014354066985646,0.0
123,fedprox,1.0,20,12,7,0.6802924387958247,1.034866255396979,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,1.0,20,13,7,0.6752049941454009,0.9756761334115939,0.67098703888335,0.14654034490100062,0.12214668407545812,0.0,0.0,0.05263157894736842,0.0,0.0,0.8023952095808383,0.0
