round,client_id,update_norm,n_samples,local_epochs
1,0,4.517537879355476,6049,20
1,1,2.280197712717828,958,20
2,0,4.762172427037785,6049,20
2,1,2.3094953717725013,958,20
3,0,4.030924775459404,6049,20
3,1,2.340591381078173,958,20
4,1,2.1481239920214703,958,20
4,0,1.1637713173843374,6049,20
5,1,1.9795851350091023,958,20
5,0,0.2070430123195301,6049,20
6,0,0.15404584348644948,6049,20
6,1,1.7534424545212337,958,20
7,1,1.53192542780315,958,20
7,0,0.1359402335344682,6049,20
8,1,1.4268890032049943,958,20
8,0,0.12412177102453764,6049,20
9,1,1.3421034504266225,958,20
9,0,0.12336929030487559,6049,20
10,0,0.12380163186129232,6049,20
10,1,1.2192336346728985,958,20
11,0,0.12238918595353028,6049,20
11,1,1.1524289234772864,958,20
12,0,0.11478391911157272,6049,20
12,1,1.1424452582691644,958,20
13,0,0.12167424420507329,6049,20
13,1,1.036856782491032,958,20
14,0,0.11461387221912253,6049,20
14,1,1.0363803536295935,958,20
15,0,0.12463542291397944,6049,20
15,1,0.9405601879117568,958,20
16,1,0.9759917812360366,958,20
16,0,0.11312302203854835,6049,20
17,1,0.9620396862032821,958,20
17,0,0.11084254122288317,6049,20
18,1,0.8221555528611654,958,20
18,0,0.11453094048846621,6049,20
19,1,1.0061290505306109,958,20
19,0,0.10140233482357737,6049,20
20,1,0.7665007129725677,958,20
20,0,0.11831490677071965,6049,20
21,1,0.9171679589111332,958,20
21,0,0.09977874472649483,6049,20
22,0,0.10304947598361547,6049,20
22,1,0.7447622569687966,958,20
23,0,0.09664329794365473,6049,20
23,1,0.7683660041343806,958,20
24,0,0.10082747451445691,6049,20
24,1,0.8895726526792712,958,20
25,1,0.7112188885900136,958,20
25,0,0.10708343653774449,6049,20
26,1,0.8586967165804441,958,20
26,0,0.09359505853520307,6049,20
27,0,0.10461716781076512,6049,20
27,1,0.7729582828559911,958,20
28,0,0.09588803875836312,6049,20
28,1,0.8963221138550324,958,20
29,0,0.10337435376129743,6049,20
29,1,0.7841682621201373,958,20
30,0,0.1047299819710484,6049,20
30,1,0.7751946992146792,958,20
31,0,0.09636275903050086,6049,20
31,1,0.8584454859154714,958,20
32,0,0.10529380928767258,6049,20
32,1,0.7513092748567884,958,20
33,1,0.8237214647372455,958,20
33,0,0.0959157668586319,6049,20
34,0,0.09997375122146698,6049,20
34,1,0.873980290736704,958,20
35,0,0.11753480716229314,6049,20
35,1,0.8015991106726464,958,20
36,0,2.0279046224000545,6049,20
36,1,0.765210555130967,958,20
37,1,0.9773095726344028,958,20
37,0,0.18607215147366418,6049,20
38,1,0.9665120791775152,958,20
38,0,0.10910418680345042,6049,20
39,1,0.8464984822361443,958,20
39,0,0.10482655478092066,6049,20
40,1,0.7998857556171343,958,20
40,0,0.09948551988004203,6049,20
41,0,0.09872615171987044,6049,20
41,1,0.9084083352723925,958,20
42,0,0.10646537502007782,6049,20
42,1,0.7689299846773778,958,20
43,1,0.7990906848358211,958,20
43,0,0.09737082725016785,6049,20
44,0,0.09587346704356142,6049,20
44,1,0.804144184040305,958,20
45,1,0.7438317638044186,958,20
45,0,0.1011629669782991,6049,20
46,1,0.8649107085188578,958,20
46,0,0.09653611601813493,6049,20
47,1,0.7896347135641267,958,20
47,0,0.10759097607949299,6049,20
48,1,0.6735150636094939,958,20
48,0,0.10472197937614222,6049,20
49,0,0.08728291573077901,6049,20
49,1,0.8269198384248135,958,20
