round,client_id,update_norm,n_samples,local_epochs
1,0,4.796175099421695,6049,20
1,1,2.300880843001716,958,20
2,0,4.89734362517729,6049,20
2,1,2.3547260644655834,958,20
3,0,4.0767254932821695,6049,20
3,1,2.3481074268282165,958,20
4,1,2.2236125686041963,958,20
4,0,1.4528355397514798,6049,20
5,0,0.21452646318533508,6049,20
5,1,2.0028554611597813,958,20
6,0,0.15672904628085552,6049,20
6,1,1.7926296120549694,958,20
7,1,1.5367836161043014,958,20
7,0,0.14269584122092896,6049,20
8,1,1.4005980314531254,958,20
8,0,0.12875885926416428,6049,20
9,1,1.363168767090546,958,20
9,0,0.12127141062558128,6049,20
10,0,0.13061425106374047,6049,20
10,1,1.2675801939178615,958,20
11,1,1.0951940225328118,958,20
11,0,0.13142807379213126,6049,20
12,0,0.11266896293842768,6049,20
12,1,1.0923731634576939,958,20
13,1,0.9821848352599906,958,20
13,0,0.11615198159448963,6049,20
14,0,0.11226101722819291,6049,20
14,1,1.1007280235190584,958,20
15,0,0.12771633937998406,6049,20
15,1,0.8711107086255127,958,20
16,1,1.0371116330615453,958,20
16,0,0.10820154162389319,6049,20
17,1,0.8693525896006772,958,20
17,0,1.507271464251239,6049,20
18,1,1.082613942826696,958,20
18,0,0.10481655049090981,6049,20
19,0,0.10638581783056716,6049,20
19,1,1.0736646929738474,958,20
20,0,0.11680899135945041,6049,20
20,1,0.9263310991305257,958,20
21,0,0.11104538625674222,6049,20
21,1,0.9434140086275205,958,20
22,0,0.10538144058537603,6049,20
22,1,1.064539757416566,958,20
23,1,0.8602286732207257,958,20
23,0,0.12031590662751304,6049,20
24,1,0.9227052956175612,958,20
24,0,0.11060254567560406,6049,20
25,0,1.6689935538997234,6049,20
25,1,0.9589873929019322,958,20
26,1,0.9371292248103877,958,20
26,0,0.11976288538139634,6049,20
27,0,0.0962587128325316,6049,20
27,1,0.896339652492429,958,20
28,1,1.011936714986736,958,20
28,0,0.09916413467950713,6049,20
29,0,0.1130206119557424,6049,20
29,1,0.9015761716522849,958,20
30,1,0.9180404112086572,958,20
30,0,0.10916502707728434,6049,20
31,0,0.10292178532067735,6049,20
31,1,0.7994883687227439,958,20
32,0,0.09758292165793042,6049,20
32,1,0.8065486036927922,958,20
33,1,0.790084999958214,958,20
33,0,0.0984744138924637,6049,20
34,1,0.7384640630407678,958,20
34,0,0.09431628972504358,6049,20
35,0,0.09613152077770348,6049,20
35,1,0.8564058314311449,958,20
36,1,0.7698683578720639,958,20
36,0,0.1004253562689099,6049,20
37,1,0.7862270004851207,958,20
37,0,0.09499899762600869,6049,20
38,0,0.09448005445020949,6049,20
38,1,0.8471244006144891,958,20
39,1,0.7708682073347085,958,20
39,0,0.1021239346134586,6049,20
40,0,0.0982633481466497,6049,20
40,1,0.7653590442029609,958,20
41,1,0.8036147667481321,958,20
41,0,0.0980374519285193,6049,20
42,1,0.9929937541650697,958,20
42,0,0.10805267961444451,6049,20
43,1,0.7544462066200811,958,20
43,0,0.1131894293536295,6049,20
44,1,0.7278295707935195,958,20
44,0,0.09684235644675597,6049,20
45,0,0.09867852809466886,6049,20
45,1,0.719830568290724,958,20
46,1,0.7842755289857398,958,20
46,0,0.09390468184952261,6049,20
47,1,0.9102991909062745,958,20
47,0,0.11104810222689264,6049,20
48,0,1.4053049319255113,6049,20
48,1,0.8107524908836194,958,20
49,1,0.9351443760869245,958,20
49,0,0.10331732625343643,6049,20
50,1,0.9645074187027012,958,20
50,0,0.10862722545933232,6049,20
51,1,0.7349834121058798,958,20
51,0,0.11490705379435885,6049,20
52,0,0.09110526845069254,6049,20
52,1,0.7423101358560124,958,20
53,0,0.09481891025514014,6049,20
53,1,0.8089836370226478,958,20
54,0,0.10255272391846972,6049,20
54,1,0.7218205410839212,958,20
55,1,0.7846284622883141,958,20
55,0,0.09318612191128535,6049,20
56,0,0.10188145345803694,6049,20
56,1,0.8368294210798161,958,20
57,0,0.1039017924524211,6049,20
57,1,0.7244323310261541,958,20
58,0,0.09002115216532103,6049,20
58,1,0.7898127945684958,958,20
59,0,0.9993190178764862,6049,20
59,1,0.7948262328853474,958,20
60,0,0.09762014648221679,6049,20
60,1,0.8019552920595284,958,20
61,0,0.09746834278120246,6049,20
61,1,0.7631059186401475,958,20
62,1,0.7820220068936279,958,20
62,0,0.09297024347222968,6049,20
63,1,0.8800905851059807,958,20
63,0,0.09867184258632813,6049,20
64,0,0.1109123434461647,6049,20
64,1,0.733090387809052,958,20
65,0,0.09615874451421791,6049,20
65,1,0.7837107320846262,958,20
66,0,0.0961137130238163,6049,20
66,1,0.7988544618182059,958,20
67,0,0.09525724586300902,6049,20
67,1,0.7623094145546248,958,20
68,0,0.11536032649793022,6049,20
68,1,0.745841372527486,958,20
69,0,0.09066732896621531,6049,20
69,1,0.6785822429714086,958,20
70,1,0.6430679058054769,958,20
70,0,0.08578324617514287,6049,20
71,1,0.8575514418552341,958,20
71,0,0.08143464069670439,6049,20
72,0,0.10547768387316976,6049,20
72,1,0.6811788999597449,958,20
73,0,0.09152543673576934,6049,20
73,1,0.768560189655034,958,20
74,1,0.7500769163204185,958,20
74,0,0.09334124397344325,6049,20
75,1,0.7087615637556931,958,20
75,0,0.10865503219493061,6049,20
76,0,0.10194210164768673,6049,20
76,1,0.7075845118598302,958,20
77,0,0.09401324894627791,6049,20
77,1,0.779174526739329,958,20
78,1,0.7603458689823814,958,20
78,0,0.10338020037369858,6049,20
79,1,0.7070878085139165,958,20
79,0,0.10296383724594478,6049,20
80,0,0.09476520261757265,6049,20
80,1,0.7613163327187289,958,20
81,1,0.886896164317186,958,20
81,0,0.1053967981150634,6049,20
82,0,0.12499823069601582,6049,20
82,1,0.7405513245479509,958,20
83,1,0.8090009991054582,958,20
83,0,0.10067879836978791,6049,20
84,0,0.10501882922661082,6049,20
84,1,0.6626335968184718,958,20
85,1,0.7989856944248664,958,20
85,0,0.09401628774124487,6049,20
86,0,0.10846195115177446,6049,20
86,1,0.8099083079448252,958,20
87,1,0.9281998083746366,958,20
87,0,0.09355507562149548,6049,20
88,1,0.6800360238068043,958,20
88,0,1.046808046711077,6049,20
89,1,0.7097643568519666,958,20
89,0,0.09878739939840095,6049,20
90,1,0.6322930237220997,958,20
90,0,0.09994344132876315,6049,20
91,0,0.08910379402926147,6049,20
91,1,0.701721736135145,958,20
92,0,0.09162391913268639,6049,20
92,1,0.7661639179772913,958,20
93,0,0.10133532724558589,6049,20
93,1,0.7359968380606853,958,20
94,1,0.7621454248989136,958,20
94,0,0.10033614541257503,6049,20
95,0,0.10337347984814534,6049,20
95,1,0.7633078016486541,958,20
96,1,0.7809641410728236,958,20
96,0,0.0994953122357224,6049,20
97,1,0.7731128267209842,958,20
97,0,0.10439349858479445,6049,20
98,1,0.8434250227037188,958,20
98,0,0.10822374379598448,6049,20
99,1,0.7165616189486005,958,20
99,0,0.11164686202908196,6049,20
100,0,0.0962341632736858,6049,20
100,1,0.7226904237005821,958,20
101,1,0.7408134866737384,958,20
101,0,0.08897445021052827,6049,20
102,0,0.09847615527038615,6049,20
102,1,0.696054562326058,958,20
103,0,0.10718934926089373,6049,20
103,1,0.6468306653183223,958,20
104,0,0.08648314490581852,6049,20
104,1,0.8817653318957336,958,20
105,0,0.11039900773736235,6049,20
105,1,0.652798088839195,958,20
106,1,0.7416665999447362,958,20
106,0,0.09809149982534934,6049,20
107,0,0.9667095724691246,6049,20
107,1,0.9775882867240814,958,20
108,1,0.811522436001681,958,20
108,0,0.13434013973097542,6049,20
109,1,0.7940719926628659,958,20
109,0,0.11082451536586638,6049,20
110,1,0.7566246414471558,958,20
110,0,0.09156779595470849,6049,20
111,0,0.09601097575702666,6049,20
111,1,0.8412276009309947,958,20
112,0,0.11356070078140884,6049,20
112,1,0.8979012199133112,958,20
113,0,0.10479942869498021,6049,20
113,1,0.6812209370921348,958,20
114,1,0.9241719955742616,958,20
114,0,0.09070131007314533,6049,20
115,1,0.5367973117603362,958,20
