sample_index,client_id,class_id
0,0,0
1,3,5
2,5,5
3,5,5
4,5,4
5,6,5
6,4,4
7,4,5
8,6,5
9,0,5
10,2,2
11,2,5
12,0,1
13,2,5
14,4,4
15,3,5
16,3,2
17,0,5
18,2,5
19,4,5
20,1,5
21,3,5
22,5,5
23,5,6
24,2,2
25,0,5
26,2,5
27,5,5
28,1,5
29,2,5
30,3,2
31,4,4
32,2,5
33,1,1
34,5,5
35,5,4
36,0,5
37,4,4
38,0,5
39,5,4
40,5,5
41,6,5
42,0,5
43,3,2
44,2,2
45,5,5
46,5,5
47,3,2
48,3,5
49,4,6
50,4,4
51,0,5
52,0,5
53,0,5
54,2,5
55,3,2
56,5,5
57,4,4
58,1,5
59,1,5
60,4,4
61,3,5
62,0,5
63,1,1
64,1,0
65,4,5
66,0,0
67,2,3
68,0,0
69,6,5
70,1,5
71,3,2
72,0,0
73,6,5
74,1,5
75,4,5
76,4,5
77,3,5
78,0,5
79,6,5
80,4,5
81,0,5
82,0,5
83,6,5
84,0,5
85,6,5
86,4,4
87,3,2
88,0,5
89,2,2
90,5,4
91,0,0
92,5,5
93,1,1
94,6,5
95,5,4
96,3,5
97,6,5
98,5,6
99,5,5
100,2,2
101,2,5
102,0,5
103,6,5
104,0,1
105,1,5
106,4,5
107,5,5
108,4,4
109,4,5
110,3,2
111,3,2
112,5,5
113,2,5
114,5,4
115,3,5
116,2,2
117,2,5
118,3,5
119,0,5
120,3,5
121,3,2
122,0,5
123,5,5
124,5,4
125,5,4
126,4,5
127,5,5
128,0,5
129,3,5
130,2,3
131,0,5
132,4,4
133,6,5
134,2,2
135,1,5
136,2,5
137,3,5
138,2,2
139,6,5
140,3,5
141,5,5
142,5,6
143,0,5
144,1,0
145,5,5
146,5,5
147,4,4
148,5,5
149,6,5
150,0,5
151,0,5
152,4,5
153,3,2
154,1,5
155,2,5
156,3,5
157,4,5
158,1,5
159,2,2
160,6,5
161,5,4
162,1,1
163,5,5
164,2,2
165,1,1
166,5,4
167,3,5
168,0,5
169,3,5
170,0,0
171,1,5
172,6,5
173,5,4
174,2,5
175,4,4
176,2,2
177,4,5
178,1,5
179,6,5
180,0,0
181,4,5
182,5,4
183,0,5
184,4,5
185,4,4
186,3,2
187,2,5
188,1,5
189,5,4
190,2,2
191,1,1
192,6,5
193,6,5
194,1,5
195,1,5
196,1,1
197,4,5
198,0,5
199,0,0
