round,client_id,update_norm,n_samples,local_epochs
1,6,2.0254678421850887,673,5
1,5,2.088384052913708,1108,5
1,2,3.8353521663887298,1095,20
1,4,4.278698556273291,1110,20
1,3,3.929489778064641,1094,20
1,0,3.864052891940465,964,20
1,1,4.074408608160466,963,20
2,5,2.078849066843843,1108,5
2,6,0.24497977682756222,673,5
2,2,3.446419323898546,1095,20
2,0,3.68727236197168,964,20
2,4,3.9379421095567575,1110,20
2,3,3.475835023718844,1094,20
2,1,3.268413238680122,963,20
3,2,3.716439878339679,1095,20
3,0,3.7199542462615014,964,20
3,6,0.7508343835861221,673,5
3,4,3.675827038258553,1110,20
3,3,3.5983825488056045,1094,20
3,5,1.726063815812376,1108,5
3,1,3.49165356607703,963,20
4,4,3.7164571659035976,1110,20
4,5,1.7756358231649605,1108,5
4,0,3.624128039324602,964,20
4,6,0.4584789309679101,673,5
4,3,3.6845357381556916,1094,20
4,2,4.031960497798312,1095,20
4,1,3.5480731989940346,963,20
5,3,4.082090789821619,1094,20
5,0,3.7280584530312058,964,20
5,6,0.4994057343591561,673,5
5,5,1.5835231782351205,1108,5
5,4,4.024569357163138,1110,20
5,1,4.392243943022324,963,20
5,2,4.238682991336293,1095,20
6,4,4.391224811787897,1110,20
6,1,3.925205487092464,963,20
6,0,3.9016307098599907,964,20
6,6,0.4093746030806019,673,5
6,5,1.706823847988903,1108,5
6,3,4.515143887188633,1094,20
6,2,4.721210998988341,1095,20
7,5,1.7743757992065885,1108,5
7,1,3.9631092693628083,963,20
7,0,3.6051704954976724,964,20
7,3,4.6104474290321695,1094,20
7,2,4.684750196760386,1095,20
7,6,0.5785643897187696,673,5
7,4,4.682058094392226,1110,20
8,2,3.9884614835207346,1095,20
8,5,1.9304991500074453,1108,5
8,3,5.175583640061608,1094,20
8,1,4.281567675507047,963,20
8,0,3.9625088878069326,964,20
8,6,0.6098882512568637,673,5
8,4,4.200487251563915,1110,20
9,0,3.29148305245106,964,20
9,2,3.7853978112665487,1095,20
9,4,4.188533171046949,1110,20
9,5,2.018622969293658,1108,5
9,1,3.2888347113435947,963,20
9,6,0.5054368936815524,673,5
9,3,4.428167889015796,1094,20
10,2,3.612003670900271,1095,20
10,6,0.49441492557262035,673,5
10,1,4.292970664469277,963,20
10,4,3.515293916309042,1110,20
10,5,2.16059555519787,1108,5
10,0,3.7757100624323208,964,20
10,3,3.8288848672315896,1094,20
11,6,0.39521801756633296,673,5
11,1,2.8796619399995174,963,20
11,5,2.022732337964207,1108,5
11,2,3.035656714281152,1095,20
11,0,2.344771521183425,964,20
11,4,3.8112932857013546,1110,20
11,3,2.5225278393722244,1094,20
12,5,2.203066070714193,1108,5
12,6,0.4614644930551977,673,5
12,2,3.987120719949656,1095,20
12,1,3.8933670197813166,963,20
12,4,3.8069195089261894,1110,20
12,3,3.375703685986042,1094,20
12,0,2.413980763742698,964,20
13,6,0.5668710024694148,673,5
13,2,2.8491486371196775,1095,20
13,0,2.7780783995650125,964,20
13,4,3.131060596860491,1110,20
13,3,3.8708020388572772,1094,20
13,5,2.28037279422496,1108,5
13,1,1.8747262363453803,963,20
14,1,3.4038467338094387,963,20
14,4,2.713622371106054,1110,20
14,3,2.2166207348078677,1094,20
14,6,0.544309277526819,673,5
14,2,1.8703692006941972,1095,20
14,0,2.586600637680852,964,20
14,5,2.3268421425097476,1108,5
15,0,2.520243427066867,964,20
15,5,2.505997383470931,1108,5
15,1,1.7716098208370776,963,20
15,4,2.4262623687695566,1110,20
15,2,2.031859728174544,1095,20
15,3,2.44965031481989,1094,20
15,6,0.5761938338071936,673,5
16,3,2.751215744848757,1094,20
16,0,2.4999188469709406,964,20
16,4,2.502844642908057,1110,20
16,6,0.4922375925758292,673,5
16,2,1.959661500962296,1095,20
16,1,2.421739953713965,963,20
16,5,2.3805101718989707,1108,5
17,6,0.47611032595010166,673,5
17,3,1.890584418180219,1094,20
17,0,2.6690050737497595,964,20
17,5,2.3309266688601777,1108,5
17,4,2.7866295163379737,1110,20
17,2,1.8031346746439763,1095,20
17,1,1.526283019704823,963,20
18,5,2.3539651137827993,1108,5
18,4,2.887223037851631,1110,20
18,2,2.200945487081564,1095,20
18,6,0.5205696410902007,673,5
18,0,2.429003523895683,964,20
18,1,2.7386725474086306,963,20
18,3,2.7689710111501977,1094,20
19,6,0.6608818163419763,673,5
19,1,2.6033440388767732,963,20
19,0,2.646992538740163,964,20
19,3,2.3048108358106303,1094,20
19,2,1.9877954536715878,1095,20
19,4,2.5599681625129644,1110,20
19,5,2.378817667363573,1108,5
20,1,1.8896534390176865,963,20
20,5,2.4231457030515373,1108,5
20,2,2.293301409874934,1095,20
20,0,1.8062788028075836,964,20
20,4,1.6939075855728913,1110,20
20,6,0.5048782465673278,673,5
20,3,3.908967657420127,1094,20
21,5,2.2408637125386486,1108,5
21,4,1.5616747682360022,1110,20
21,3,1.7633070165443918,1094,20
21,0,2.768101995432371,964,20
21,6,0.6254357532568425,673,5
21,1,1.531755272849138,963,20
21,2,2.0241324384709922,1095,20
22,1,1.8227295395723897,963,20
22,6,0.44898920501964157,673,5
22,3,2.1831323894561456,1094,20
22,2,1.8288636805672942,1095,20
22,4,1.9964250310214662,1110,20
22,5,2.3792030932292865,1108,5
22,0,1.6579459688820661,964,20
23,4,1.6577748398772756,1110,20
23,6,0.432659707050551,673,5
23,2,2.379323359573938,1095,20
23,3,3.387102404718419,1094,20
23,0,1.75224391917052,964,20
23,1,1.8276019718086196,963,20
23,5,2.0932058486656047,1108,5
24,3,3.4092804948152318,1094,20
24,6,0.5008593704717555,673,5
24,4,1.8250549582810514,1110,20
24,0,2.237975200700254,964,20
24,5,2.1536778832269063,1108,5
24,2,2.413876804583162,1095,20
24,1,2.1065016170133823,963,20
25,2,1.833781580810991,1095,20
25,6,0.5967821863365628,673,5
25,0,1.7860252211519647,964,20
25,3,1.7382551360888856,1094,20
25,1,1.647780000956129,963,20
25,4,1.8286005093848274,1110,20
25,5,2.3264876672466035,1108,5
26,6,0.4717353295102859,673,5
26,1,2.7563574982359382,963,20
26,0,1.9264135887782972,964,20
26,2,2.351536472620967,1095,20
26,4,1.7735379033721124,1110,20
26,3,1.9477459051027788,1094,20
26,5,2.3185950892504943,1108,5
27,2,2.0968206843024566,1095,20
27,0,1.373055559712726,964,20
27,5,1.7389966572463853,1108,5
27,6,0.5638561219950265,673,5
27,1,1.8211751727583725,963,20
27,4,1.5141976875955179,1110,20
27,3,1.980397736115942,1094,20
28,6,0.4600857814757994,673,5
28,0,1.856131951792398,964,20
28,4,1.842688110744123,1110,20
28,3,1.8274194387658935,1094,20
28,1,1.6696541182152804,963,20
28,5,2.245611615636765,1108,5
28,2,1.5301765473226343,1095,20
29,2,2.051130638823657,1095,20
29,6,0.5509928327288491,673,5
29,4,1.7615860470629994,1110,20
29,1,1.8511295333178284,963,20
29,3,1.7554751291130841,1094,20
29,0,1.442775679461028,964,20
29,5,2.1729782707527874,1108,5
30,1,1.7562622474983367,963,20
30,2,2.353621987263165,1095,20
30,4,2.167266915278091,1110,20
30,3,1.544724764240651,1094,20
30,0,2.27886734479456,964,20
30,6,0.5081790808040092,673,5
30,5,2.1812337236831514,1108,5
31,3,1.9951702135699212,1094,20
31,6,0.5701711861608653,673,5
31,5,1.414446566607697,1108,5
31,4,1.620243564345502,1110,20
31,2,2.366111249642368,1095,20
31,0,2.2501246122167173,964,20
31,1,2.256580766347779,963,20
32,6,0.5070633451167348,673,5
32,3,2.2449438068135317,1094,20
32,2,1.441838007948148,1095,20
32,4,2.853790155817591,1110,20
32,5,2.3871780913036584,1108,5
32,1,1.8222618259838474,963,20
32,0,3.291798902823427,964,20
33,5,2.4360293685057823,1108,5
33,4,1.7556463128372057,1110,20
33,3,2.1049571705125394,1094,20
33,6,0.577439753411295,673,5
33,1,1.8232484105773825,963,20
33,2,2.636525688641686,1095,20
33,0,1.70638532845496,964,20
34,4,1.9316144388931296,1110,20
34,5,1.6198319848433775,1108,5
34,6,0.4776346979742495,673,5
34,2,1.3201642045460742,1095,20
34,1,1.4312664031414706,963,20
34,0,1.7786566432677622,964,20
34,3,2.206253069527132,1094,20
35,6,0.6132732608534711,673,5
35,0,2.4096924228386727,964,20
35,4,1.3731835982497398,1110,20
35,3,3.0033955391084786,1094,20
35,1,1.4720438869423906,963,20
35,2,2.085572102287971,1095,20
35,5,1.9725050059422056,1108,5
36,3,2.0504599528236462,1094,20
36,1,2.9731791199786346,963,20
36,5,2.4258614008733943,1108,5
36,6,0.6147009601681728,673,5
36,4,2.098557694619536,1110,20
36,2,1.65486283742565,1095,20
36,0,1.806007114605239,964,20
37,4,2.042191009789153,1110,20
37,3,2.2194357401331195,1094,20
37,5,2.0487581132438306,1108,5
37,1,1.4414079059765883,963,20
37,6,0.5037782387034886,673,5
37,0,1.3490794121804714,964,20
37,2,1.8431126071975388,1095,20
38,3,1.7670050276264457,1094,20
38,1,1.2238349476080823,963,20
38,0,1.7638843414799703,964,20
38,6,0.43709572131517554,673,5
38,4,2.0757913643736665,1110,20
38,2,1.5995476510348603,1095,20
38,5,2.0457394686753436,1108,5
39,0,1.6979705318535065,964,20
39,1,2.932968065966514,963,20
39,5,1.5190739599836045,1108,5
39,3,2.2856053111632493,1094,20
39,6,0.635991843818674,673,5
39,2,2.00272129314913,1095,20
39,4,1.3067595934914795,1110,20
40,6,0.46577732596286,673,5
40,1,1.1063211569302203,963,20
40,5,2.276755404030366,1108,5
40,4,2.68264315263442,1110,20
40,3,1.739045042389698,1094,20
40,0,1.7243765746351563,964,20
40,2,1.5489902046527173,1095,20
41,4,1.3301796073848373,1110,20
41,0,1.1968943164165504,964,20
41,1,1.5914547757138326,963,20
41,5,1.9758862622392048,1108,5
41,3,1.9517731570656047,1094,20
41,2,2.4541570496641465,1095,20
41,6,0.5686390432869515,673,5
42,2,1.4363738855039025,1095,20
42,3,1.6392435429896646,1094,20
42,6,0.555251163820361,673,5
42,5,2.425914717957827,1108,5
42,4,1.8497064717505705,1110,20
42,0,1.760878824020123,964,20
42,1,4.0252729004145795,963,20
43,5,1.937811315212853,1108,5
43,4,1.4859467481509132,1110,20
43,6,0.43840886844424565,673,5
43,2,1.9699230298738406,1095,20
43,3,3.1259623919606163,1094,20
43,1,1.3981751767982311,963,20
43,0,1.0655534850115795,964,20
44,4,1.9371366164017194,1110,20
44,1,1.0951502466674297,963,20
44,5,1.7848259161761617,1108,5
44,0,1.1217253288415305,964,20
44,6,0.3816051966981185,673,5
44,2,1.40390040272781,1095,20
44,3,3.070090772744465,1094,20
45,3,1.9116856892350937,1094,20
45,1,1.8000422997031251,963,20
45,4,1.2747851523541878,1110,20
45,6,0.5360911767861228,673,5
45,0,1.0262617717873954,964,20
45,2,2.2259600963616104,1095,20
45,5,2.2600383022719437,1108,5
46,6,0.4817512261717032,673,5
46,3,1.4975467708620886,1094,20
46,2,1.17873122592655,1095,20
46,0,1.7313248884646635,964,20
46,5,2.051354413037239,1108,5
46,1,1.6185038865118258,963,20
46,4,1.801106565388726,1110,20
47,3,2.1445667453111086,1094,20
47,0,2.7035859665168367,964,20
