round,client_id,update_norm,n_samples,local_epochs
1,5,1.9016426156920547,1108,5
1,2,3.186667307197558,1095,20
1,1,2.8832031698725133,963,20
1,4,3.343095099527916,1110,20
1,0,3.0993830557083255,964,20
1,3,3.1033887523933132,1094,20
1,6,1.8472362500635637,673,5
2,5,1.7826262898491028,1108,5
2,1,2.8742364746680242,963,20
2,2,2.8147938469044544,1095,20
2,0,3.065778775084774,964,20
2,3,2.70318120412034,1094,20
2,6,0.25153287078325504,673,5
2,4,3.1402751549687595,1110,20
3,5,1.6918619872735032,1108,5
3,2,2.871710883794625,1095,20
3,0,2.7528024686468737,964,20
3,3,2.7522739942595136,1094,20
3,1,2.684177816049915,963,20
3,6,0.5871576801485986,673,5
3,4,3.041032461632127,1110,20
4,3,2.9739186761678407,1094,20
4,6,0.2857189703252795,673,5
4,2,3.017343016421293,1095,20
4,5,1.7423973144736462,1108,5
4,1,2.88297013712364,963,20
4,0,2.7762425144025284,964,20
4,4,2.923224594390992,1110,20
5,5,1.5303026201287164,1108,5
5,2,3.341349100072832,1095,20
5,6,0.4166494990116628,673,5
5,3,3.211057421936394,1094,20
5,4,3.169420584884327,1110,20
5,1,3.415759890669923,963,20
5,0,3.0070771957754574,964,20
6,4,3.5452918833440084,1110,20
6,3,3.7243701566227325,1094,20
6,5,1.5325736328724946,1108,5
6,0,3.120331379922757,964,20
6,6,0.45702303138048284,673,5
6,2,3.603845015660045,1095,20
6,1,2.8732432593052795,963,20
7,2,3.6017062058830613,1095,20
7,5,1.639401782161862,1108,5
7,1,3.3738237750114948,963,20
7,3,3.798427041355395,1094,20
7,6,0.371061142007923,673,5
7,0,3.3000906428039976,964,20
7,4,3.7509264616580187,1110,20
8,0,3.2823455565126607,964,20
8,6,0.3299467280747527,673,5
8,4,3.895351946574624,1110,20
8,5,1.7029365663575575,1108,5
8,1,3.0488322768890503,963,20
8,3,3.7380825592440625,1094,20
8,2,3.6266898792336106,1095,20
9,2,3.485987525772478,1095,20
9,5,1.7661350680846755,1108,5
9,1,3.0113942801908404,963,20
9,0,3.0195240276207076,964,20
9,3,3.397744575996828,1094,20
9,4,3.1279729685860533,1110,20
9,6,0.43453634783969763,673,5
10,3,3.1621137893819484,1094,20
10,6,0.46782476443070453,673,5
10,4,2.987487738091689,1110,20
10,1,2.924104258918353,963,20
10,2,3.2638363566880546,1095,20
10,5,1.968624234644745,1108,5
10,0,3.1471324189397323,964,20
11,2,3.2020731431524934,1095,20
11,4,3.202515563681213,1110,20
11,1,3.2568462101889675,963,20
11,5,1.9301666467468312,1108,5
11,0,2.7993142227863435,964,20
11,6,0.41571446785542443,673,5
11,3,3.160106660696214,1094,20
12,5,1.8917714881461485,1108,5
12,0,2.991734346966225,964,20
12,3,2.8592219546475857,1094,20
12,1,1.689092920529344,963,20
12,4,2.228950934129257,1110,20
12,2,2.0685749330884535,1095,20
12,6,0.4156126080269294,673,5
13,2,3.6448546935928814,1095,20
13,0,2.4111764225907963,964,20
13,1,2.7510859844784954,963,20
13,4,2.3333168655968124,1110,20
13,6,0.46654307841864906,673,5
13,5,2.0124273698465385,1108,5
13,3,1.8014991930449957,1094,20
14,1,1.9243414759706081,963,20
14,3,2.538215286748449,1094,20
14,2,2.3020421613755033,1095,20
14,4,1.7076621137899006,1110,20
14,6,0.4912951401619636,673,5
14,0,2.174979768406116,964,20
14,5,2.004563610471583,1108,5
15,5,2.0872935282526495,1108,5
15,2,1.7862258566798557,1095,20
15,4,1.976460910734496,1110,20
15,1,1.8659943858560049,963,20
15,3,1.798228929293188,1094,20
15,6,0.38961154517347507,673,5
15,0,1.15310065319589,964,20
16,2,2.0946356183194474,1095,20
16,1,1.8550708452843956,963,20
16,3,2.7407502069293,1094,20
16,0,2.1675548404837586,964,20
16,6,0.4660065817055658,673,5
16,5,2.231715060587455,1108,5
16,4,1.503319179774854,1110,20
17,4,1.8810774142377027,1110,20
17,6,0.4938951273971003,673,5
17,3,1.7065066462386942,1094,20
17,5,1.9702778151075966,1108,5
17,0,1.9144308050037941,964,20
17,1,2.1960591625185293,963,20
17,2,1.9930896909062867,1095,20
18,5,2.1680628157869855,1108,5
18,0,1.447139775745297,964,20
18,2,1.7973544644536432,1095,20
18,6,0.49045448067925673,673,5
18,1,1.3201705718630652,963,20
18,4,1.458597913434869,1110,20
18,3,1.6308923549535717,1094,20
19,1,1.9047905916553025,963,20
19,5,2.2296442420703464,1108,5
19,3,2.0288686260428235,1094,20
19,4,2.285353359108269,1110,20
19,2,1.8921457924845149,1095,20
19,6,0.3283239174558591,673,5
19,0,1.7781329834957669,964,20
20,0,1.2339436840981786,964,20
20,3,1.4974131722770965,1094,20
20,2,1.8748333481743225,1095,20
20,4,2.4711145669913477,1110,20
20,5,2.211943064877212,1108,5
20,1,1.157687256544268,963,20
20,6,0.5430478744558348,673,5
21,0,1.2172548258707787,964,20
21,1,1.7025107624472855,963,20
21,4,1.72443554038485,1110,20
21,2,1.1892071686326642,1095,20
21,6,0.4036868198855698,673,5
21,3,1.6579820164357295,1094,20
21,5,2.183915609143434,1108,5
22,2,2.046487139744165,1095,20
22,6,0.5194200065741813,673,5
22,4,1.1971886916562402,1110,20
22,1,1.2839061118613055,963,20
22,0,1.461040943997793,964,20
22,5,1.9187020870523985,1108,5
22,3,1.1058733503657205,1094,20
23,5,2.198205561754249,1108,5
23,2,1.285554966268519,1095,20
23,4,0.9851408936775257,1110,20
23,0,1.1064426628373885,964,20
23,3,1.7431141936287315,1094,20
23,1,1.3760081539652986,963,20
23,6,0.4572841330419308,673,5
24,1,1.3677124698336658,963,20
24,6,0.711222961410657,673,5
24,0,1.3336969642119945,964,20
24,5,2.046364434942772,1108,5
24,4,1.4722088086849325,1110,20
24,3,1.416769286366545,1094,20
24,2,1.5476830650211029,1095,20
25,2,1.144551452642577,1095,20
25,6,0.47790420056348276,673,5
25,4,1.4541944475158144,1110,20
25,5,2.1406318973799823,1108,5
25,3,1.1517818063038858,1094,20
25,1,1.2911865227639807,963,20
25,0,1.4098335707306975,964,20
26,4,0.9592270258623459,1110,20
26,5,1.7653859716735458,1108,5
26,0,1.3822197748718503,964,20
26,3,1.1826643135158779,1094,20
26,1,2.857107450533854,963,20
26,6,0.5126058939945933,673,5
26,2,1.188247217850415,1095,20
27,2,1.1128632437515915,1095,20
27,6,0.6049271951350713,673,5
27,1,1.123838674378749,963,20
27,0,1.719692245069558,964,20
27,4,1.6800799765917658,1110,20
27,3,1.1151695916608269,1094,20
27,5,2.0229633158433926,1108,5
28,5,1.635879047581775,1108,5
28,1,1.0577383389567925,963,20
28,6,0.491223637447683,673,5
28,0,1.000099719312085,964,20
28,4,1.6969616674015862,1110,20
28,3,1.6993184439146776,1094,20
28,2,1.5783330112502585,1095,20
29,1,1.3191384542488622,963,20
29,6,0.3888174349314142,673,5
29,4,1.524479038319064,1110,20
29,2,1.2457088616592789,1095,20
29,3,1.0589957063542685,1094,20
29,5,1.9317184937936527,1108,5
29,0,1.4748970076555232,964,20
30,1,1.1113295510641765,963,20
30,4,1.2233704356822752,1110,20
30,6,0.6370688455871641,673,5
30,5,2.0925077455161065,1108,5
30,2,1.5494179036208697,1095,20
30,3,1.2450323382371025,1094,20
30,0,2.4569770882372706,964,20
31,1,2.0167295958074463,963,20
31,4,1.0181058519601407,1110,20
31,3,1.1703232095056744,1094,20
31,6,0.3941771156640013,673,5
31,5,1.3225629580538676,1108,5
31,2,1.1407728879909032,1095,20
31,0,1.4013845568535694,964,20
32,0,1.1372571813731307,964,20
