round,client_id,update_norm,n_samples,local_epochs
1,0,4.156128796987963,1001,20
1,5,1.9684244141251184,1001,5
1,2,3.894540651189762,1001,20
1,1,3.754413907604482,1001,20
1,6,1.9860457312101771,1001,5
1,3,3.8787957218898206,1001,20
1,4,3.956559672602658,1001,20
2,5,1.3774855256053014,1001,5
2,2,3.36049900436947,1001,20
2,4,3.4893475060011063,1001,20
2,6,1.3469539390903624,1001,5
2,3,3.5578268979075505,1001,20
2,0,3.704154666695142,1001,20
2,1,3.7346525094749694,1001,20
3,0,3.8119097679980367,1001,20
3,1,3.889341351857569,1001,20
3,3,3.996563902412909,1001,20
3,4,3.705798241584441,1001,20
3,6,1.3988501257833583,1001,5
3,5,1.3710619453258963,1001,5
3,2,3.6377851007559943,1001,20
4,0,4.185541196392671,1001,20
4,5,1.476606950402161,1001,5
4,6,1.4733114650573038,1001,5
4,4,4.3626235551430534,1001,20
4,3,4.50701235980405,1001,20
4,1,4.503576787877113,1001,20
4,2,4.252629437730562,1001,20
5,6,1.6248533729884433,1001,5
5,0,4.9558843676328275,1001,20
5,2,4.9380162292033685,1001,20
5,3,5.073190452544752,1001,20
5,5,1.7586321090208203,1001,5
5,1,5.060628243308669,1001,20
5,4,5.020559390585878,1001,20
6,5,2.0465924790871832,1001,5
6,6,1.950960358987452,1001,5
6,3,5.22812514628741,1001,20
6,0,5.30295231669064,1001,20
6,2,5.257394517236021,1001,20
6,1,5.302269908840657,1001,20
6,4,5.180777314813391,1001,20
7,4,5.10292379182572,1001,20
7,5,2.26062767932562,1001,5
7,3,4.970856907479068,1001,20
7,2,5.31381765121163,1001,20
7,1,5.268764634034451,1001,20
7,6,2.1603511422804296,1001,5
7,0,5.003168675018711,1001,20
8,1,5.044872630973577,1001,20
8,4,4.948776817245142,1001,20
8,5,2.5026622426750436,1001,5
8,3,4.995910247161124,1001,20
8,2,4.813722383395622,1001,20
8,6,2.4034158803979193,1001,5
8,0,5.0104406649805,1001,20
9,4,4.946043424061777,1001,20
9,0,4.410994854369652,1001,20
9,2,4.2794173743835096,1001,20
9,6,2.487303628687549,1001,5
9,3,4.6824766429615226,1001,20
9,1,4.085425470580525,1001,20
9,5,2.5059928060687433,1001,5
10,3,4.0067000459638695,1001,20
10,1,3.6653651739999806,1001,20
10,5,2.66832613718831,1001,5
10,2,3.8447906275379387,1001,20
10,4,4.067974713783043,1001,20
10,6,2.7181105606303415,1001,5
10,0,4.038979207753445,1001,20
11,6,2.7578107201584827,1001,5
11,3,3.275043708152447,1001,20
11,1,3.7988796620335332,1001,20
11,0,3.6750792304237256,1001,20
11,2,3.2629988452604524,1001,20
11,5,2.7783556552194804,1001,5
11,4,3.9860684150068706,1001,20
12,5,2.8804149599886775,1001,5
12,4,3.6746331010624593,1001,20
12,2,3.7409441072037684,1001,20
12,3,3.4002173509350557,1001,20
12,6,2.903385667086657,1001,5
12,0,3.288999771007792,1001,20
12,1,3.5988411384311583,1001,20
13,1,3.8096568807701794,1001,20
13,6,2.8792411695201645,1001,5
13,3,3.6722781723858513,1001,20
13,2,2.778019285452412,1001,20
13,4,3.068206183080306,1001,20
13,0,2.6921338994354964,1001,20
13,5,2.811723310106609,1001,5
14,6,2.8439520498436583,1001,5
14,5,2.8402712461453685,1001,5
14,3,2.879769228622639,1001,20
14,0,2.9271164916851964,1001,20
14,4,2.850533151460741,1001,20
14,1,2.90365523222618,1001,20
14,2,3.1731534011951994,1001,20
15,1,3.075690011955651,1001,20
15,3,3.801414781164045,1001,20
15,0,2.800278610513791,1001,20
15,5,2.9493378628124733,1001,5
15,6,2.9867307195674857,1001,5
15,4,2.5356633182865274,1001,20
15,2,3.4459816842258735,1001,20
16,2,2.582608823063502,1001,20
16,3,2.956327145883273,1001,20
16,4,3.6642129021058305,1001,20
16,0,3.0509590657428753,1001,20
16,5,2.9988964769283735,1001,5
16,1,3.7406583548908183,1001,20
16,6,2.93444773069436,1001,5
17,2,2.901422492863214,1001,20
17,3,3.0490752826259495,1001,20
17,6,2.7621369513941967,1001,5
17,4,2.198434574543814,1001,20
17,0,2.3857972188844916,1001,20
17,1,2.501253755800748,1001,20
17,5,2.697598546340381,1001,5
18,6,2.761607619721219,1001,5
18,0,2.552101440839932,1001,20
18,1,2.913324205276521,1001,20
18,4,2.83587857050043,1001,20
18,3,2.585000287246402,1001,20
18,5,2.9547951055888793,1001,5
18,2,2.4764725937872707,1001,20
19,2,3.1386599010512537,1001,20
19,0,2.7000584543698256,1001,20
19,3,2.9618077525006505,1001,20
19,6,2.847426170499976,1001,5
19,1,2.4662315328843176,1001,20
19,5,2.581693400649211,1001,5
19,4,2.4170985993728573,1001,20
20,3,2.973070994414398,1001,20
20,1,2.8799390577755606,1001,20
20,6,2.7745466133657124,1001,5
20,2,2.6863933403423768,1001,20
20,4,2.1928697673033,1001,20
20,0,2.594973596082361,1001,20
20,5,2.732696687464827,1001,5
21,1,2.603109185801084,1001,20
21,5,2.7191994321800643,1001,5
21,0,2.5563476902753886,1001,20
21,4,2.2707819939192775,1001,20
21,3,2.7122141892323923,1001,20
21,6,2.8104104514509394,1001,5
21,2,2.6686362586275445,1001,20
22,5,2.769644399328367,1001,5
22,2,3.0799639760568307,1001,20
22,1,2.5806409448337306,1001,20
22,6,2.703197579664219,1001,5
22,0,2.6897781607187214,1001,20
22,4,2.6319122967483417,1001,20
22,3,2.7289329185560276,1001,20
23,0,3.207546653825119,1001,20
23,4,2.6555707953636625,1001,20
23,6,2.579468694882438,1001,5
23,1,2.891680496838619,1001,20
23,2,3.0688608092557192,1001,20
23,3,2.4218930753434926,1001,20
23,5,2.440002531433419,1001,5
24,2,2.7412947194586796,1001,20
24,0,3.0964378187706245,1001,20
24,6,2.5148238827926215,1001,5
24,3,2.6216460833814867,1001,20
24,5,2.3952318863920827,1001,5
24,4,2.8631400118332326,1001,20
24,1,2.4716885341965122,1001,20
25,0,2.315052329881731,1001,20
25,4,2.5581985798475846,1001,20
25,3,2.3940389121123573,1001,20
25,1,2.6996402323072415,1001,20
25,6,2.6674455502771828,1001,5
25,5,2.9091986845186795,1001,5
25,2,2.7277203045383462,1001,20
26,1,2.176261932476896,1001,20
26,4,2.6835144272725304,1001,20
26,6,2.6037869566202447,1001,5
26,5,2.486645604891081,1001,5
26,0,2.6579606041709423,1001,20
26,3,2.7530416604376735,1001,20
26,2,2.5774590778110906,1001,20
27,0,2.6395024576011474,1001,20
27,2,3.085983383734592,1001,20
27,3,2.3840871922055165,1001,20
27,5,2.4134068478275785,1001,5
27,1,2.703076809338426,1001,20
27,4,2.5016142909407906,1001,20
27,6,2.5287322748447005,1001,5
28,5,3.0582307048023516,1001,5
28,1,3.22291741536912,1001,20
28,0,2.768377167604194,1001,20
28,6,2.7642823202548588,1001,5
28,4,2.0280551770453923,1001,20
28,3,2.2691354910112804,1001,20
28,2,2.3078481806106423,1001,20
29,6,2.5105479334890872,1001,5
29,0,2.2480480040778676,1001,20
29,4,2.328988428039583,1001,20
29,2,2.515249646461344,1001,20
29,3,2.888831681717197,1001,20
29,1,1.6157371847961275,1001,20
29,5,2.7948851699944757,1001,5
30,2,1.7523458434298573,1001,20
30,1,2.978031205528449,1001,20
30,3,2.743347459608413,1001,20
30,5,2.591786101173936,1001,5
30,4,2.6941107956198227,1001,20
30,0,2.3917629809003285,1001,20
30,6,2.7568283260277315,1001,5
31,2,2.4334104393893092,1001,20
31,0,1.3759362683260752,1001,20
31,4,1.0254657518656183,1001,20
31,6,2.6084752399560753,1001,5
31,3,2.345055316160226,1001,20
31,5,2.4638291343971352,1001,5
31,1,1.5071355953483636,1001,20
32,1,2.4557078784310273,1001,20
32,2,0.9028240946193202,1001,20
32,5,2.3782098859396066,1001,5
32,6,2.514717727727723,1001,5
32,3,2.5265772223295513,1001,20
32,0,2.6975174175733314,1001,20
32,4,2.680758026574276,1001,20
33,4,2.8024360090125326,1001,20
33,2,2.0883181734484575,1001,20
33,5,2.3778267014563115,1001,5
33,6,2.4300558736427083,1001,5
33,1,2.586070805394817,1001,20
33,3,1.2223337453872398,1001,20
33,0,0.5937756467009065,1001,20
34,2,0.9478291643308335,1001,20
34,0,2.6022080375267214,1001,20
34,4,0.40047861464331763,1001,20
34,5,2.661233198722739,1001,5
34,3,2.880492775682155,1001,20
34,6,2.7499223818017438,1001,5
34,1,2.5218688531691447,1001,20
35,3,2.168502364101469,1001,20
35,2,2.7560663410889297,1001,20
35,6,2.129672958547842,1001,5
35,5,1.0734631163243438,1001,5
35,4,2.750056525450231,1001,20
35,0,1.496165006213508,1001,20
35,1,2.164523172717632,1001,20
36,4,2.2605402870295364,1001,20
36,5,1.8733290968378098,1001,5
36,0,0.6786439798167432,1001,20
36,1,0.5083930050083943,1001,20
36,2,1.2733013359706518,1001,20
36,6,2.6978153422051836,1001,5
36,3,0.8651127860414571,1001,20
37,6,2.826415644613169,1001,5
37,0,3.2652333110055483,1001,20
37,4,0.27335298705561517,1001,20
37,2,3.1612549829302936,1001,20
37,1,2.583325082005444,1001,20
37,5,2.568444491083379,1001,5
37,3,2.9828796130743824,1001,20
38,0,0.5962333723814605,1001,20
38,4,0.9288369628131524,1001,20
38,1,2.679885461636278,1001,20
38,3,0.633664828848718,1001,20
38,2,0.4780331079971188,1001,20
38,5,2.1296861106394784,1001,5
38,6,2.1465988986118316,1001,5
39,3,1.0904399532174627,1001,20
39,4,0.8364966703392535,1001,20
39,5,0.7660771518361479,1001,5
39,0,0.3606854344937317,1001,20
39,2,0.683565197920026,1001,20
39,6,1.2452569456228522,1001,5
39,1,0.697993507143389,1001,20
40,0,0.9493879362184237,1001,20
40,2,0.6315738470437717,1001,20
40,3,0.3777872061532151,1001,20
40,6,0.2539364423576004,1001,5
40,1,0.2728410909265427,1001,20
40,4,0.25988906929750083,1001,20
40,5,0.4534864987230598,1001,5
41,0,0.2048755059924948,1001,20
41,6,3.1622577608154927,1001,5
41,1,0.24790870044694838,1001,20
41,5,0.2479921083702724,1001,5
41,4,0.22263844781971365,1001,20
41,2,0.22613408162211684,1001,20
41,3,0.23009419906728878,1001,20
42,1,0.83080038858796,1001,20
42,6,0.11392988685034573,1001,5
42,4,0.36087859231033365,1001,20
42,0,0.22296511291462523,1001,20
42,3,0.2866784386143399,1001,20
42,5,0.5918505042559775,1001,5
42,2,0.2489163018667607,1001,20
43,2,0.27745730106435845,1001,20
43,0,0.30768553174084073,1001,20
43,4,0.23521535717110134,1001,20
