round,client_id,update_norm,n_samples,local_epochs
1,6,1.7805674387707613,1001,5
1,3,3.1338633258149744,1001,20
1,5,1.7825833654699974,1001,5
1,0,2.8290877179112868,1001,20
1,4,3.155293765092728,1001,20
1,1,2.8677405995579885,1001,20
1,2,3.1058806179681278,1001,20
2,3,3.1496918589656904,1001,20
2,2,3.081595843083509,1001,20
2,0,3.1300656288204576,1001,20
2,5,1.3683720074060148,1001,5
2,4,2.936640238664268,1001,20
2,1,2.9532141018090328,1001,20
2,6,1.2482391173578087,1001,5
3,6,1.328875659913401,1001,5
3,5,1.35760191375442,1001,5
3,0,3.257665619399465,1001,20
3,4,3.189327840564872,1001,20
3,2,3.500850542193684,1001,20
3,1,3.101962269561445,1001,20
3,3,3.178827461745236,1001,20
4,2,3.6772082969089803,1001,20
4,0,3.4413010470974035,1001,20
4,6,1.4262166241740466,1001,5
4,4,3.49763879210432,1001,20
4,3,3.4685632096728427,1001,20
4,1,3.4197747432226895,1001,20
4,5,1.416975468756262,1001,5
5,0,3.8192829802328023,1001,20
5,2,3.9670831890176586,1001,20
5,4,3.9459896590442916,1001,20
5,1,3.976061805101083,1001,20
5,3,3.8706124214030555,1001,20
5,5,1.6663555426403953,1001,5
5,6,1.5645214696838923,1001,5
6,5,1.7956517255466728,1001,5
6,2,4.20692943624452,1001,20
6,3,4.301097241002149,1001,20
6,0,4.236746743581703,1001,20
6,4,4.280544688869466,1001,20
6,6,1.6653565212337462,1001,5
6,1,4.350079822903655,1001,20
7,5,1.8799038233050194,1001,5
7,6,1.9825469173462307,1001,5
7,0,4.205244708121057,1001,20
7,2,4.222502373199665,1001,20
7,1,4.4555879857599825,1001,20
7,4,4.36843964325415,1001,20
7,3,4.459038729119652,1001,20
8,4,4.098906610712924,1001,20
8,5,2.1858404005169785,1001,5
8,2,4.187511519266238,1001,20
8,0,4.020453821175853,1001,20
8,1,4.345409217538136,1001,20
8,6,2.061761217561807,1001,5
8,3,4.356130412185449,1001,20
9,2,3.922571814365065,1001,20
9,5,2.462348695071819,1001,5
9,1,4.031306774722172,1001,20
9,6,2.410150781474628,1001,5
9,4,3.959276750843518,1001,20
9,0,3.772580744868102,1001,20
9,3,3.2567187390440435,1001,20
10,4,3.952346458205855,1001,20
10,5,2.4472950771011144,1001,5
10,6,2.4168639742678857,1001,5
10,1,2.776149349228976,1001,20
10,2,4.017469308198335,1001,20
10,3,4.241649302083436,1001,20
10,0,3.348963679834772,1001,20
11,3,2.4302376598845985,1001,20
11,5,2.506642708880479,1001,5
11,0,2.992101852316718,1001,20
11,1,3.137872572467863,1001,20
11,6,2.4912401347669313,1001,5
11,4,2.4764483281637997,1001,20
11,2,3.3635416174548216,1001,20
12,4,2.1005830830761916,1001,20
12,2,2.5479850001577753,1001,20
12,6,2.749465925156366,1001,5
12,3,2.9125080008191477,1001,20
12,5,2.659712413262744,1001,5
12,1,2.709427356058,1001,20
12,0,3.3605936690757576,1001,20
13,1,1.9690532456292194,1001,20
13,4,3.6159209542044843,1001,20
13,5,2.6424440228850075,1001,5
13,6,2.7143418290834043,1001,5
13,3,3.9292012793165876,1001,20
13,2,2.5716361487614847,1001,20
13,0,2.8042985119423225,1001,20
14,2,1.5452536985759475,1001,20
14,3,2.484649570796192,1001,20
14,0,2.3858221820313763,1001,20
14,4,2.052550221710947,1001,20
14,6,2.736808683549369,1001,5
14,5,2.7290786260499584,1001,5
14,1,2.9787256150602954,1001,20
15,0,2.351213855644174,1001,20
15,5,2.8520345842823946,1001,5
15,3,1.9810381245695696,1001,20
15,4,2.273479386663007,1001,20
15,6,2.7280909755929463,1001,5
15,1,1.9960551567234042,1001,20
15,2,2.0390368985695857,1001,20
16,4,2.230774473720311,1001,20
16,1,2.6948315653696033,1001,20
16,6,2.649166564500205,1001,5
16,3,1.8508951619716312,1001,20
16,2,2.143408987294767,1001,20
16,0,1.548453351349168,1001,20
16,5,2.663408730702614,1001,5
17,3,2.4753111222198014,1001,20
17,2,2.418475455287934,1001,20
17,0,3.0596592525741535,1001,20
17,5,2.8348572272431176,1001,5
17,6,2.7619035457877663,1001,5
17,4,1.9448101256072425,1001,20
17,1,1.5482468433253047,1001,20
18,1,1.5835677233599275,1001,20
18,0,1.985137576885933,1001,20
18,2,1.6410903793370668,1001,20
18,4,2.1676059178521396,1001,20
18,6,2.619933839539494,1001,5
18,5,2.717704904222285,1001,5
18,3,1.7783330206451786,1001,20
19,2,1.682385886427627,1001,20
19,0,1.9107410402386888,1001,20
19,4,1.6472131841589317,1001,20
19,5,2.5911642031830304,1001,5
19,3,1.9666910705214902,1001,20
19,6,2.7252354770841465,1001,5
19,1,2.0153108611734187,1001,20
20,6,2.3723339898422653,1001,5
20,5,2.8397072554336504,1001,5
20,1,1.9198650858442534,1001,20
20,0,1.7670560584334971,1001,20
20,2,1.458410147199849,1001,20
20,4,1.5137164012106687,1001,20
20,3,1.8573789413302912,1001,20
21,6,2.6472470924864364,1001,5
21,4,1.6395994931815328,1001,20
21,3,1.4340842958901112,1001,20
21,2,1.8642750763449651,1001,20
21,5,2.3638548845169436,1001,5
21,1,1.690250957372769,1001,20
21,0,2.203180048883574,1001,20
22,6,2.615565846741132,1001,5
22,0,1.4019452597069573,1001,20
22,3,1.4776477971495474,1001,20
22,4,2.1820527507715233,1001,20
22,2,1.5049247163249164,1001,20
22,1,2.0332110814321616,1001,20
22,5,2.724678727777039,1001,5
23,1,1.4596138986309724,1001,20
23,3,2.1747074258310177,1001,20
23,6,2.36673658717368,1001,5
23,4,1.5438444084180805,1001,20
23,5,2.5156431680392632,1001,5
23,2,1.6007996303398364,1001,20
23,0,2.6890684208030384,1001,20
24,4,1.6229777164129788,1001,20
24,6,2.1796383762400096,1001,5
24,3,1.7489448545358077,1001,20
24,2,2.0486734780367564,1001,20
24,1,1.4691832871661379,1001,20
24,0,1.8213239090282254,1001,20
24,5,2.7099756328109974,1001,5
25,1,1.664194267465931,1001,20
25,3,1.4496569713724825,1001,20
25,4,1.5812671578537378,1001,20
25,5,2.44760303003744,1001,5
25,0,1.422330994944751,1001,20
25,2,1.6188739496127929,1001,20
25,6,2.3944249757153577,1001,5
26,1,1.5980283652158151,1001,20
26,3,1.699898324257368,1001,20
26,0,1.638078342851991,1001,20
26,4,1.9580347512606036,1001,20
26,5,2.296357155439995,1001,5
26,2,1.5614101061607055,1001,20
26,6,2.3347301046092137,1001,5
27,5,2.2772761461341333,1001,5
27,4,1.504684638452427,1001,20
27,1,1.743056856048379,1001,20
27,2,1.7480053554967165,1001,20
27,3,1.3807061330106374,1001,20
27,0,1.4704886532456682,1001,20
27,6,2.4237277265141444,1001,5
28,0,1.4196193502502268,1001,20
28,1,1.8085351238209681,1001,20
28,3,1.5779081612216068,1001,20
28,6,2.443365137572181,1001,5
28,5,2.5377395378188963,1001,5
28,2,1.4486184076125368,1001,20
28,4,1.60540997939266,1001,20
29,3,1.602188339631824,1001,20
29,5,1.7672459973398147,1001,5
29,2,1.4447784484811206,1001,20
29,4,1.4372613378364292,1001,20
29,0,1.4594246848925365,1001,20
29,6,2.269556696423692,1001,5
29,1,1.6122400240555206,1001,20
30,5,2.3695147836140737,1001,5
30,6,2.05141224950418,1001,5
30,1,1.4166348877304522,1001,20
30,2,1.572201251576221,1001,20
30,3,2.3329725144518108,1001,20
30,4,1.6711135215245787,1001,20
30,0,1.7691749742862792,1001,20
