round,client_id,update_norm,n_samples,local_epochs
1,1,3.8370797333633475,1001,20
1,5,2.005743129992544,1001,6
1,4,3.926484688696152,1001,20
1,6,3.0677087535187617,1001,14
1,3,3.778117789013772,1001,20
1,0,1.6949918445740428,1001,5
1,2,2.464804554081561,1001,9
2,4,3.571671498657911,1001,19
2,0,3.702636399306437,1001,20
2,5,3.700988229193702,1001,20
2,6,1.1186401574286777,1001,4
2,2,1.2011025644847768,1001,4
2,3,3.905144378489106,1001,20
2,1,1.533431389823162,1001,6
3,6,1.7485979170227526,1001,7
3,2,4.19402299084068,1001,20
3,1,1.2254851861366154,1001,4
3,4,3.017920636382056,1001,14
3,0,3.138057616736995,1001,15
3,3,3.9700088793238417,1001,20
3,5,4.081913199082283,1001,20
4,2,1.8523290216239303,1001,6
4,5,2.9207768473121067,1001,12
4,1,4.281288311311821,1001,20
4,3,4.28636444726631,1001,20
4,4,0.8582792361836139,1001,2
4,0,3.53629708666629,1001,16
4,6,4.20776011348282,1001,20
5,5,1.4160066434102132,1001,4
5,0,3.878722709070041,1001,16
5,1,4.960371178547195,1001,20
5,3,4.751781365348554,1001,20
5,6,4.781648904633693,1001,20
5,4,2.631431556293829,1001,10
5,2,4.636573875400401,1001,18
6,5,0.8932496197255559,1001,1
6,4,3.856966647211302,1001,14
6,2,4.827938643487753,1001,18
6,0,4.977052493553062,1001,20
6,3,5.020939976474819,1001,20
6,6,5.1624548216647765,1001,20
6,1,1.553470137299171,1001,3
7,5,5.1703626574776615,1001,20
7,6,2.1530848066693644,1001,5
7,1,4.411322991843082,1001,14
7,2,1.5917384358718096,1001,3
7,3,4.837470368272727,1001,20
7,0,4.024854835650969,1001,14
7,4,5.25605302169774,1001,20
8,3,4.613435746802932,1001,18
8,2,5.432739076959231,1001,20
8,6,1.4806743258369528,1001,1
8,4,5.189549230966812,1001,20
8,0,5.098293301255115,1001,19
8,1,5.51127150551562,1001,20
8,5,1.8111545751764337,1001,3
9,2,2.2581653731807565,1001,4
9,3,3.886390336108047,1001,16
9,0,4.8641822577902865,1001,20
9,4,4.734825809403716,1001,20
9,6,1.508275781519478,1001,2
9,5,4.2972004061854285,1001,13
9,1,5.052097988761223,1001,20
10,3,2.7177423212392413,1001,5
10,6,5.127145457605252,1001,20
10,4,3.852432282724129,1001,20
10,0,3.1120945535828772,1001,8
10,5,5.241641748391355,1001,20
10,1,3.6522382189354907,1001,10
10,2,3.65855873541924,1001,18
11,5,3.2026222081094313,1001,6
11,1,3.9345059032667202,1001,11
11,4,4.1308701607670715,1001,20
11,0,4.099656212553147,1001,20
11,2,4.109949381701584,1001,14
11,3,3.208055349324462,1001,9
11,6,4.575728273317222,1001,20
12,6,4.102222504971714,1001,20
12,1,3.3783061616829437,1001,15
12,3,4.183737800506518,1001,16
12,5,3.696801414200992,1001,11
12,4,3.9737616896354018,1001,20
12,2,4.5226349359638185,1001,20
12,0,3.673756582275166,1001,14
13,1,4.35524571344891,1001,20
13,3,1.9572839853782187,1001,1
13,6,3.8907349989648536,1001,15
13,0,3.132150899896553,1001,20
13,2,3.339411480948528,1001,19
13,5,4.365674258307343,1001,20
13,4,2.0164948555844715,1001,1
14,4,3.855712753953362,1001,11
14,0,2.3522482830161096,1001,9
14,3,3.331188779998146,1001,20
14,5,3.5289717503291587,1001,17
14,6,3.455489561351742,1001,20
14,1,3.9943602528135016,1001,20
14,2,3.1684731649639324,1001,15
15,1,3.4959793484744495,1001,20
15,6,2.685163126993253,1001,20
15,3,2.584740601646136,1001,9
15,0,2.8341980934785314,1001,14
15,2,3.03111280430155,1001,7
15,4,3.648832292437244,1001,13
15,5,3.4052838559448353,1001,20
16,2,3.0365141531504674,1001,12
16,0,2.735479486152768,1001,20
16,3,2.530251325595746,1001,4
16,4,2.7542593787830385,1001,20
