round,client_id,update_norm,n_samples,local_epochs
1,0,2.740099642333753,1001,16
1,3,1.4744474461292436,1001,4
1,2,1.7514579020559924,1001,5
1,1,3.3571378479374356,1001,20
1,6,3.1323498469021,1001,20
1,4,2.9877731606314852,1001,20
1,5,1.1086562769743262,1001,1
2,0,2.000081654976776,1001,10
2,3,2.018145393319989,1001,10
2,5,2.804043365622662,1001,16
2,6,3.027222127163527,1001,20
2,1,3.1734553024604844,1001,20
2,4,1.784757362807397,1001,8
2,2,3.0155250344911306,1001,20
3,3,3.2124927246915442,1001,20
3,5,0.9501768429479656,1001,3
3,2,1.4759231226944638,1001,6
3,4,0.4700146950178149,1001,1
3,0,3.1478094441106763,1001,20
3,6,3.124824417685663,1001,20
3,1,2.0652525794765744,1001,10
4,6,3.5494423597429767,1001,20
4,0,1.8381122498223055,1001,8
4,3,3.4705238211474887,1001,20
4,4,0.8383961198795726,1001,2
4,1,1.0233707186419714,1001,3
4,2,1.3565116243451136,1001,5
4,5,3.4168939879174003,1001,20
5,6,1.1649174307937582,1001,3
5,5,3.8729590932399582,1001,20
5,3,3.9044946361472768,1001,20
5,2,2.6605577904094315,1001,12
5,4,1.1020597339397016,1001,3
5,1,3.2235779117025487,1001,16
5,0,3.7214467904660937,1001,20
6,1,4.039483978375372,1001,18
6,2,3.9531540271344747,1001,20
6,3,2.5742092144932913,1001,9
6,6,3.3727680144882664,1001,15
6,4,1.2293863923809267,1001,3
6,5,4.3414411506312165,1001,20
6,0,4.066282143975419,1001,20
7,5,4.43039952388135,1001,20
7,3,1.7589342458603627,1001,4
7,0,4.265352740214226,1001,20
7,1,4.155632039612028,1001,18
7,2,4.216440188292665,1001,20
7,6,3.1201513168729087,1001,11
7,4,2.245951867714374,1001,7
8,6,3.941243965331653,1001,16
8,4,2.331276068560288,1001,6
8,3,4.453798859198713,1001,20
8,2,2.4148355434856925,1001,6
8,5,4.28599538112715,1001,20
8,0,4.052120150393924,1001,20
8,1,1.8152243047561782,1001,3
9,3,4.375393110906092,1001,20
9,0,4.177036590121837,1001,20
9,4,4.6709368070784345,1001,20
9,1,2.841113067256783,1001,7
9,2,1.2230972381099314,1001,1
9,6,3.294150171654171,1001,10
9,5,2.6676897561303097,1001,6
10,4,1.159766814712989,1001,1
10,5,3.8275470768006996,1001,20
10,6,4.188232988691494,1001,20
10,1,2.919865598944772,1001,7
10,0,3.9284914968030327,1001,20
10,3,3.6797606375574503,1001,13
10,2,3.9103292845288795,1001,14
11,1,3.750065608668991,1001,14
11,5,3.4576715718490356,1001,20
11,0,3.7866367793886337,1001,20
11,3,1.2839267518725337,1001,1
11,2,3.899222584253717,1001,17
11,6,4.26698704886479,1001,20
11,4,4.62724572302421,1001,19
12,4,4.600347537398456,1001,20
12,5,2.885064412160753,1001,7
12,6,3.2307879658014373,1001,11
12,2,1.6937366953858406,1001,1
12,3,3.729285875750933,1001,16
12,1,3.6301698215442126,1001,20
12,0,2.4508307013052995,1001,20
13,2,3.4721975801462395,1001,11
13,3,2.7345560257380486,1001,6
13,4,3.830599724082643,1001,20
13,6,1.9138860578323729,1001,2
13,1,3.509655524686403,1001,11
13,0,3.392345821251229,1001,20
13,5,3.259021227804205,1001,20
14,6,2.316573998216486,1001,20
14,0,2.191300559926552,1001,20
14,1,2.367964546735456,1001,4
14,5,2.1959732680308077,1001,20
14,4,2.7245566937999035,1001,4
14,2,3.6569691033166896,1001,18
14,3,2.7026381374685506,1001,19
15,3,2.3676254423694973,1001,20
15,6,2.85940950968225,1001,20
15,4,3.0782448154010735,1001,13
15,0,2.28894715132704,1001,20
15,1,2.956503422855731,1001,14
15,5,2.2698221379428567,1001,3
15,2,3.349644450286652,1001,14
16,0,1.7424010852772442,1001,20
16,4,3.3507148001940057,1001,10
16,5,2.3659227126670745,1001,17
16,2,1.5905262879245257,1001,20
16,1,2.758746713164629,1001,6
16,3,3.0352615707853925,1001,8
16,6,2.3074874348689116,1001,20
17,2,2.7326962409235653,1001,20
17,0,2.2134122993387835,1001,19
17,5,1.5706022491815381,1001,20
17,6,2.793871373680412,1001,15
17,1,1.802226245373434,1001,20
17,3,2.0228526513384604,1001,19
17,4,3.0373319529396174,1001,6
18,4,2.8959042238525434,1001,15
18,1,2.7175535912675275,1001,20
18,6,2.4379427995429794,1001,5
18,5,3.5117690262816783,1001,20
18,0,1.8707997816930195,1001,20
18,2,3.065914726668945,1001,14
18,3,2.6895521706547796,1001,5
19,3,1.7235970211623892,1001,20
19,2,2.4280578896948075,1001,18
19,1,1.9383188188522986,1001,20
19,5,2.730633653014807,1001,18
19,4,2.2013440589384556,1001,2
19,6,2.4720896463711965,1001,20
19,0,2.6309979623418895,1001,11
20,2,1.9714896750637358,1001,14
20,0,2.2836953647734473,1001,3
20,4,1.5604806741957942,1001,20
20,6,1.7686395684297598,1001,18
20,3,2.298439230594511,1001,20
20,1,2.8551196717267473,1001,20
20,5,2.0103050522274772,1001,12
21,3,1.504778047320982,1001,17
21,6,2.0938045733831494,1001,13
21,4,2.5816266086303052,1001,13
21,5,1.7782863745560058,1001,20
21,0,1.834780641670449,1001,13
21,2,1.4954098976858619,1001,20
21,1,1.5601579248121524,1001,20
22,6,1.8802508074952624,1001,16
22,5,1.7449663599632521,1001,20
22,4,2.5321125652066216,1001,6
22,2,1.8846895225386626,1001,14
22,0,1.6359117932692973,1001,20
22,1,1.6330373467532437,1001,20
22,3,2.0112650944911694,1001,16
23,5,1.7559806785462226,1001,18
23,0,2.435226271275805,1001,8
23,6,1.709286297431817,1001,20
23,2,1.5790008324465006,1001,20
23,3,2.081892559970659,1001,1
23,1,1.7375924914217555,1001,20
23,4,2.1343651619569646,1001,13
24,2,1.4842340456768093,1001,20
24,1,1.6283584240894466,1001,20
24,6,2.349433439152066,1001,20
24,4,1.8333675787243682,1001,15
24,0,1.9235482436914602,1001,17
24,3,2.204239880336656,1001,3
24,5,2.1765120706908463,1001,11
25,4,1.8085178837915166,1001,20
25,1,1.7194249240118822,1001,20
25,3,2.1184857851543386,1001,10
25,0,1.5910390356717106,1001,20
25,5,2.4680053809625457,1001,4
25,6,2.7589811128860395,1001,10
25,2,2.6094952966392286,1001,7
26,0,2.6033712790961254,1001,7
26,5,2.018477961663991,1001,6
26,3,1.3610182189034037,1001,20
26,1,1.9278228231557988,1001,20
26,2,1.7270068431091743,1001,14
26,4,2.178346371052808,1001,20
26,6,2.8250736276860584,1001,4
27,3,2.2068547914600964,1001,10
27,1,1.9164505262127063,1001,2
27,6,1.5577418237556517,1001,20
27,4,1.2868802449399512,1001,18
27,2,1.6442103903612388,1001,20
27,5,1.5608540427105733,1001,20
27,0,1.3571034753960027,1001,19
28,5,2.1461716305882526,1001,8
28,3,1.6947414625298418,1001,16
28,1,1.5153293868359854,1001,20
28,2,1.70210953714433,1001,18
28,6,1.363704674772745,1001,1
28,4,1.7796634803740552,1001,20
28,0,2.22483782220894,1001,20
29,4,2.453909776490713,1001,20
29,1,2.78899923784186,1001,5
29,6,1.9796703288206636,1001,12
29,5,1.3342686860800523,1001,20
29,3,1.4495941625224005,1001,20
29,0,2.091521663022068,1001,3
29,2,1.5831574863458906,1001,14
30,1,2.1602342074399647,1001,20
30,3,2.4326432229428345,1001,13
30,5,1.4993327289604401,1001,20
30,4,1.2538853093448843,1001,20
30,2,2.2227013117790366,1001,3
30,0,1.804709469398419,1001,13
30,6,1.8836615639282992,1001,19
31,3,2.336591972989998,1001,7
31,5,1.5567522088795958,1001,20
31,6,1.7635846090200864,1001,20
31,1,1.8597209572782898,1001,20
31,0,1.588312458145841,1001,15
31,4,2.7207238427368403,1001,5
31,2,2.0847923639145294,1001,8
32,5,2.0837291630241244,1001,13
32,4,1.8238284806439966,1001,16
32,0,2.0986944300914017,1001,13
32,6,1.9313284630724434,1001,10
32,2,1.5194950976441046,1001,20
32,1,1.2398497172346228,1001,20
32,3,1.4074976565334953,1001,20
33,3,1.5715624426140609,1001,20
33,4,2.138474159614828,1001,6
33,1,2.5353051496394503,1001,5
33,0,1.6969062064152916,1001,20
33,2,1.7097392191665823,1001,16
33,5,2.405516780546066,1001,6
33,6,1.3897181008058384,1001,20
34,5,1.3879822747401964,1001,14
34,3,2.0691747088449435,1001,3
34,0,2.4475902038210693,1001,5
34,4,1.4848897596711101,1001,17
34,1,1.2782438126525835,1001,20
34,6,1.3473190384877962,1001,20
34,2,1.5044697453187783,1001,20
35,0,1.5625685388819304,1001,20
35,5,2.5002203901196034,1001,12
35,3,2.027483516235157,1001,2
35,6,2.0725608557140305,1001,14
35,1,1.3881908987761806,1001,20
35,2,1.34468047187196,1001,20
35,4,2.019489594711055,1001,15
36,3,1.7180873002743726,1001,7
36,4,1.7147574312626888,1001,20
36,6,1.0559655354628186,1001,1
36,1,2.40780943266079,1001,4
36,2,1.6567439196294238,1001,20
36,5,1.5502221349322076,1001,20
36,0,2.414939595824955,1001,7
37,3,1.919146658282649,1001,20
37,0,1.519217259621898,1001,19
37,1,1.9265006873058508,1001,14
37,5,0.6034220319053905,1001,20
37,2,1.3798081207256996,1001,18
37,6,1.4802771516361175,1001,20
37,4,2.239860554917748,1001,4
38,4,1.50781337140059,1001,16
38,2,2.2852665211029635,1001,10
38,0,0.6005650800651416,1001,20
38,6,1.5888543489081002,1001,20
38,5,2.432501826936569,1001,5
38,1,1.3660356164691754,1001,20
38,3,1.9315152840025538,1001,15
39,0,1.6607066085761522,1001,20
39,6,1.681274205985816,1001,16
39,4,0.7768964654966964,1001,1
39,1,2.4002674513358015,1001,7
39,2,1.6960661178427838,1001,20
39,5,1.711559499225906,1001,20
39,3,1.8327408573195834,1001,16
40,6,1.7248019203783884,1001,18
40,1,0.5773690100381463,1001,20
40,5,1.7152576472645582,1001,16
40,2,0.9884396667743263,1001,1
40,0,1.7355397276701607,1001,20
40,4,1.7738128778357733,1001,20
40,3,0.6144580870418338,1001,5
41,5,0.4972655953390586,1001,20
41,0,0.34472678814892116,1001,20
41,6,2.7382437843133016,1001,5
41,3,1.4662705804683276,1001,17
41,2,0.7839494545547303,1001,10
41,1,1.4575212492235705,1001,20
41,4,0.4279233455732755,1001,11
