round,client_id,update_norm,n_samples,local_epochs
1,0,3.027690648854131,964,20
1,4,3.43950322892076,1110,20
1,5,3.5191634728177394,1108,20
1,6,1.4377293960773458,673,20
2,3,3.049706625712087,1094,20
2,5,3.0238225338223477,1108,20
2,1,2.9599163308439933,963,20
2,6,0.2801805902953435,673,20
3,1,2.810518232883291,963,20
3,0,2.6427631763002806,964,20
3,4,3.0184434669729585,1110,20
3,6,0.3164597677193809,673,20
4,0,2.810070642260263,964,20
4,6,0.3123136161278527,673,20
4,5,3.220463669544598,1108,20
4,2,2.9929239218993597,1095,20
5,0,3.027753630657767,964,20
5,6,0.2055992943564425,673,20
5,4,3.355344520459216,1110,20
5,1,3.125034012914859,963,20
6,1,3.5810077749403795,963,20
6,6,0.21856718307850745,673,20
6,2,3.8368053717701396,1095,20
6,5,3.5430305078709243,1108,20
7,4,3.755652800192022,1110,20
7,3,4.016004406577196,1094,20
7,0,2.8602858498870525,964,20
7,6,0.25173507942111495,673,20
8,5,3.5303537797905884,1108,20
8,0,3.349843865050345,964,20
8,2,3.914133683435619,1095,20
8,4,3.4260477821276827,1110,20
9,6,0.393530288276586,673,20
9,4,3.189425596784871,1110,20
9,0,2.239519301913808,964,20
9,2,3.790481207487949,1095,20
10,4,1.7931439410980028,1110,20
10,1,3.5584363916074517,963,20
10,0,2.383107352641542,964,20
10,3,4.212808513082034,1094,20
11,2,3.465953610211331,1095,20
11,4,2.825797405521229,1110,20
11,0,1.3563692514117713,964,20
11,3,3.5108975002609304,1094,20
12,4,1.6523318296504665,1110,20
12,0,1.744343537028504,964,20
12,2,1.8604656006902478,1095,20
12,3,3.1772086467310303,1094,20
13,3,1.9653762116196647,1094,20
13,4,1.8097237828822863,1110,20
13,2,1.9224904750959853,1095,20
13,1,2.7370982237518158,963,20
14,6,0.5032745527806922,673,20
14,0,1.6895826884228153,964,20
14,2,1.669931447760651,1095,20
14,4,1.7394427432404995,1110,20
15,2,1.8021315700399274,1095,20
15,1,1.7010568256556304,963,20
15,0,3.363950107994457,964,20
15,5,3.5796240740363787,1108,20
16,6,0.35775318490868147,673,20
16,0,1.0324717180789749,964,20
16,3,2.4547405149979777,1094,20
16,5,2.4317361831188564,1108,20
17,6,0.35952984529945115,673,20
17,2,1.9506423768242385,1095,20
17,3,2.595598490390574,1094,20
17,1,2.477778272961608,963,20
18,2,1.583729643946226,1095,20
18,6,0.33430727824155004,673,20
18,1,1.2539807487602301,963,20
18,0,1.1265971580782204,964,20
19,1,2.2728431227472465,963,20
19,5,1.920976444218065,1108,20
19,4,2.4675675895731093,1110,20
