round,client_id,update_norm,n_samples,local_epochs
1,5,3.665039901958831,1108,14
1,3,4.0191581027332886,1094,20
1,2,2.8975696689375554,1095,9
1,1,3.9218654681609877,963,20
1,6,1.9333860248848056,673,1
1,0,2.839254783115875,964,10
1,4,4.397484487544002,1110,20
2,2,3.0453555985965224,1095,15
2,4,3.9132564926544813,1110,20
2,5,4.036632209167795,1108,20
2,0,1.3692095015032053,964,1
2,6,0.2350949890117571,673,15
2,1,2.8405707383416656,963,12
2,3,3.5555392896610094,1094,20
3,4,2.2563106353010047,1110,9
3,3,1.2406125620329012,1094,3
3,5,2.695693648538197,1108,12
3,0,3.2485663887816596,964,20
3,2,3.4275973903306443,1095,20
3,1,3.5056959484718564,963,20
3,6,0.5286977245197121,673,12
4,5,1.1329259707867854,1108,2
4,6,0.40562980087444894,673,6
4,4,3.8653998683614708,1110,20
4,0,2.466554871267741,964,13
4,3,3.5089049189683883,1094,20
4,2,3.4144322172858446,1095,20
4,1,3.6199603157505766,963,19
5,3,3.216517055921246,1094,15
5,4,3.583392207706399,1110,16
5,2,3.8330514169307395,1095,20
5,0,3.3996244135216647,964,19
5,5,1.287182949360162,1108,3
5,1,3.9047940183294236,963,20
5,6,0.5666184613398296,673,20
6,4,4.3580722543273716,1110,19
6,0,3.5484299570266677,964,20
6,3,3.2840464461009975,1094,13
6,1,4.07495473845857,963,20
6,2,1.6357772729556261,1095,5
6,6,0.4354655054736027,673,20
6,5,3.461394880582769,1108,16
7,3,3.944232070901468,1094,15
7,2,4.5362709212228856,1095,20
7,5,3.2078355539312984,1108,12
7,1,2.2201054728413943,963,8
7,0,3.6892175961982487,964,20
7,4,1.2577930977307554,1110,2
7,6,0.461970330284389,673,20
8,3,4.502855689188413,1094,19
8,5,4.471699486833481,1108,18
8,2,4.123875479721356,1095,17
8,0,3.5897842817988592,964,17
8,6,0.29453391950358476,673,20
8,4,4.4974974584894385,1110,20
8,1,3.9814125045520097,963,20
9,0,3.1513915404813546,964,16
9,4,1.265796846498554,1110,1
9,6,0.4777742314030908,673,20
9,2,4.117731500590757,1095,16
9,1,5.123955174221867,963,20
9,5,2.950624090230861,1108,9
9,3,4.679366266409018,1094,20
10,0,2.775163251884785,964,10
10,4,4.396212921965057,1110,20
