round,client_id,update_norm,n_samples,local_epochs
1,2,2.2086601679607085,1095,7
1,5,3.4218535969000192,1108,20
1,0,2.3513588897144437,964,6
1,4,1.743549588853938,1110,4
1,6,1.3881324424536217,673,18
1,3,2.9422314364980378,1094,20
1,1,3.0510084919968885,963,20
2,1,2.225160203694927,963,9
2,3,1.4781693819269954,1094,3
2,2,2.4387120980592725,1095,18
2,6,0.3111170208955352,673,7
2,0,2.937368935064416,964,20
2,4,2.9771253286849957,1110,20
2,5,2.948826307731887,1108,20
3,1,2.4656947317794544,963,17
3,5,2.690859491582189,1108,16
3,2,2.821789042549428,1095,20
3,6,0.39493981106813036,673,18
3,0,3.013680860160226,964,18
3,3,2.7581495076847773,1094,20
3,4,2.8637276840461947,1110,20
4,0,2.9858480833264243,964,20
4,6,0.4349941844552193,673,2
4,5,1.16203883616187,1108,2
4,4,2.8014496813102676,1110,20
4,1,2.304527787184164,963,13
4,2,3.0456132599525323,1095,20
4,3,2.5778802693580505,1094,16
5,3,3.0832552238849473,1094,20
5,6,0.404164270140614,673,20
5,1,2.4432891381415036,963,15
5,2,2.949177844257073,1095,17
5,4,0.9301712662882582,1110,1
5,5,3.3365081363951523,1108,20
5,0,2.7280979052196854,964,16
6,6,0.27860402877786494,673,20
6,5,3.425581666483949,1108,19
6,4,3.3212013849343753,1110,20
6,2,2.039359417738055,1095,8
6,3,1.722143540249001,1094,6
6,0,1.936764656615703,964,8
6,1,3.1410419921362815,963,20
7,0,2.730640724636687,964,17
7,6,0.34418644011397026,673,20
7,5,1.402108185438735,1108,3
7,3,3.59978203108083,1094,20
7,4,3.590012417803543,1110,20
7,2,2.1814258035746246,1095,8
7,1,1.0957252687342451,963,2
8,5,3.0421617106787187,1108,13
8,6,0.37745266609721556,673,15
8,4,3.7223987217713876,1110,20
8,3,2.5203746465137424,1094,10
8,0,2.8083555319199,964,15
8,2,3.6832696566320986,1095,20
8,1,3.1425352195223795,963,20
9,2,2.5310075178450275,1095,9
9,0,2.2570561675772094,964,10
9,1,3.6267997797594425,963,20
9,6,0.37290638193512027,673,18
9,4,3.6874761387165687,1110,20
9,3,2.6053650388231047,1094,8
9,5,3.7060992531262595,1108,20
10,1,2.4002921086877747,963,20
10,2,3.6521558212464797,1095,20
10,0,2.153979360844854,964,4
10,5,3.5550495180162787,1108,20
10,3,1.7039261516995914,1094,4
10,4,3.0989705038778226,1110,13
10,6,0.45689614076663515,673,6
11,5,3.3987383303175718,1108,20
11,2,3.571077129295933,1095,20
11,6,0.3513963820503917,673,12
11,4,1.7338146572780535,1110,3
11,3,3.0194230893787766,1094,11
11,0,3.0854317458933775,964,20
11,1,2.214137459827023,963,8
12,2,2.34281943072612,1095,20
12,5,1.6500442453442001,1108,20
12,6,0.43520275315778617,673,2
12,1,3.366458629220741,963,11
12,4,3.171879362092115,1110,16
12,3,3.3773536968524875,1094,20
12,0,3.2142600129947687,964,15
13,0,2.421318722614122,964,10
13,3,3.2296826490900337,1094,14
13,2,2.9370159217315703,1095,12
13,1,2.9671817230541344,963,20
13,6,0.45270495907507485,673,20
13,5,2.7907456773421924,1108,9
13,4,2.422300904746782,1110,20
14,6,0.37130647276706036,673,16
14,3,3.0385841235003372,1094,20
14,2,2.806044901518562,1095,10
14,1,1.457056288606677,963,2
14,0,2.120127031930933,964,20
14,5,2.443742637759764,1108,7
14,4,3.143830075923131,1110,20
15,2,1.7757443877590724,1095,20
15,4,1.5674673488191933,1110,2
15,3,2.524234367975143,1094,8
15,0,1.4095172742977975,964,20
15,1,2.0000634707220115,963,13
15,5,2.5587438016467505,1108,12
15,6,0.45381013863882164,673,20
16,5,2.2687957673528185,1108,6
16,0,2.894977387082533,964,10
16,4,2.94132058056929,1110,20
16,6,0.3621560181398365,673,20
16,1,2.7190861671400857,963,20
16,3,2.719475050207063,1094,11
16,2,2.6967847565752914,1095,9
17,1,1.4433341001000282,963,17
17,5,2.179239581490921,1108,20
17,2,1.766182535825097,1095,20
17,6,0.42342027025850626,673,11
17,3,2.8256670071035,1094,9
17,4,2.0807036031383546,1110,4
17,0,1.6749963377696613,964,20
18,2,2.5530694491635155,1095,18
18,4,2.7739149609338623,1110,15
18,6,0.32767356858680663,673,20
18,0,1.8925030229271513,964,20
18,1,1.8394586046671295,963,20
18,3,1.4240088110967342,1094,1
18,5,2.006078660780732,1108,5
19,2,2.575721604541087,1095,20
19,5,1.7728628604915775,1108,20
19,0,2.6122618077211346,964,12
19,1,1.6053088430106786,963,2
19,4,1.3935084195869567,1110,20
19,6,0.4270959824080303,673,17
19,3,2.5266424315815734,1094,10
20,3,2.0073901334977124,1094,13
20,4,1.54936516922874,1110,20
20,6,0.47283807156950913,673,20
20,1,1.4924071762023208,963,2
20,2,1.3789816213717694,1095,20
20,0,1.239930810793902,964,16
20,5,2.423828122193014,1108,6
21,5,1.4223343964866244,1108,20
21,3,1.876164855710472,1094,20
21,1,1.9011775190501359,963,18
21,4,1.073593673199365,1110,15
21,2,2.365264107104584,1095,16
21,6,0.5245865815210413,673,14
21,0,1.3969494338959376,964,20
22,0,1.0645599228125213,964,20
22,1,2.4334426281992783,963,18
22,6,0.4791244721773734,673,10
22,2,1.903538440166335,1095,6
22,5,1.53608874189267,1108,20
22,3,1.4073157197823392,1094,20
22,4,1.4490214182735321,1110,16
23,0,1.1748535132619968,964,20
23,6,0.5200582999582232,673,17
23,4,1.6567299057515403,1110,20
23,3,2.359998206977388,1094,14
23,2,1.1338422505465402,1095,19
23,5,1.8583606223734732,1108,20
23,1,2.152712618755668,963,6
24,2,1.9077958482862145,1095,1
24,5,1.5328771508474142,1108,9
24,6,0.4127410709455048,673,20
24,1,2.1186298713311076,963,9
24,3,1.0599953656588976,1094,20
24,4,1.384556218193413,1110,20
24,0,1.3118171961370144,964,17
25,1,0.9917282053116064,963,20
25,5,1.1458484826209612,1108,15
25,2,1.5614486968951728,1095,6
25,6,0.6220687382428494,673,11
25,0,1.7711214653942127,964,2
25,3,1.6934768879040025,1094,20
25,4,2.7426557221123953,1110,20
26,6,0.42545211713556563,673,12
26,0,2.1289185607127386,964,20
26,4,1.3697859263528946,1110,20
26,5,1.6694755718150145,1108,16
26,2,1.2941014541497622,1095,20
26,3,1.5499858525681174,1094,6
26,1,1.3870076786018215,963,16
27,0,1.4623556194143643,964,2
27,6,0.4642024227356015,673,18
27,4,1.4621334841391025,1110,10
27,1,1.4349510149966176,963,20
27,2,1.5220372967354483,1095,20
27,5,1.3942841414786218,1108,15
27,3,1.109921085662467,1094,20
28,1,1.271684790345346,963,20
28,5,2.425005124287328,1108,6
28,0,1.976134441812942,964,4
28,2,2.322765368697172,1095,7
28,6,0.4376363953251952,673,20
28,4,1.4564116976027848,1110,7
28,3,1.057791301850838,1094,20
29,6,0.47687772682403,673,17
29,0,1.1087044521304514,964,20
29,4,1.066959998584903,1110,20
29,1,1.054262183659951,963,20
29,5,1.8186101431193638,1108,17
29,3,1.5643634399959487,1094,2
29,2,2.616096068093087,1095,4
30,0,1.08111386961465,964,17
30,2,1.1861791201032845,1095,20
30,6,0.36788178052601384,673,15
30,4,1.2876259235933083,1110,20
30,3,1.5338374373903634,1094,19
30,5,0.9282241372675861,1108,20
30,1,1.338621444147063,963,9
31,4,0.9218434583035005,1110,19
31,0,1.0320741353045413,964,20
31,2,1.8881797792188826,1095,9
31,3,1.449399723362349,1094,10
31,6,0.7533979537177177,673,4
31,1,1.2986212847816956,963,20
31,5,1.518624852893883,1108,20
32,3,1.5513286913990203,1094,2
32,2,0.8064022438656071,1095,20
32,6,0.6808172368857328,673,4
32,5,1.0232473937238808,1108,20
32,1,1.3493934195284616,963,13
32,4,1.6332412754544334,1110,20
32,0,1.9537316036718098,964,19
33,1,1.1252534711073185,963,18
33,5,1.1897280169924542,1108,15
33,3,1.1961007682510816,1094,20
33,4,1.3988747822590888,1110,13
33,6,0.3584766562147369,673,20
33,2,0.973179996672152,1095,20
33,0,1.5302030603466235,964,9
34,2,0.964311169553153,1095,20
34,5,1.1633615715060612,1108,18
34,3,1.4425687833180878,1094,20
34,1,1.617483446894803,963,3
34,0,1.2446010056420718,964,20
34,4,1.3760121971629444,1110,13
34,6,0.45966164786946584,673,17
35,4,1.5960621832636148,1110,20
35,1,1.8182542134243698,963,7
35,0,1.8895649696824837,964,20
35,6,0.433707273724489,673,20
35,5,1.3711183657252022,1108,16
35,2,1.6912824370044595,1095,3
35,3,1.4734982724130323,1094,1
36,6,0.6569341719767235,673,2
36,2,1.3084178025000799,1095,9
36,4,1.069090865999224,1110,20
36,0,1.309193288925064,964,20
36,5,1.1172685285286617,1108,20
36,1,1.580403794956068,963,10
36,3,1.3315262344879255,1094,8
37,3,1.460937597009158,1094,1
37,0,1.551061421400709,964,2
37,6,0.41587591996845336,673,20
37,2,1.758007657562749,1095,6
37,5,1.6568812298323663,1108,11
37,1,0.818043188411613,963,20
37,4,1.4100693863564318,1110,20
38,2,1.834722835360105,1095,6
38,6,0.42309037450260045,673,20
38,1,1.1484634904204603,963,13
38,5,1.1367105441525713,1108,20
38,0,1.029740443620805,964,10
38,3,1.7805411075140807,1094,20
38,4,1.4774359523823422,1110,15
39,5,2.1215036789378297,1108,13
39,3,0.971702307495781,1094,20
