round,client_id,update_norm,n_samples,local_epochs,tau
1,5,1.4331997806405103,1108,1,35
1,4,4.214457745812735,1110,20,700
1,3,2.071241169907539,1094,4,140
1,2,2.2069760961750826,1095,5,175
1,1,3.736331850782123,963,20,620
1,0,3.431782777715905,964,16,496
1,6,2.0465244598094934,673,20,440
2,5,2.9233478688039303,1108,16,560
2,0,4.112426167531759,964,10,310
2,3,4.275474952422294,1094,10,350
2,1,4.759299229076666,963,20,620
2,2,5.214067504888943,1095,20,700
2,6,0.034359177821588927,673,20,440
2,4,2.7270199642443305,1110,8,280
3,6,0.9695794091487916,673,20,440
3,5,1.4418428276899975,1108,3,105
3,4,1.2123689293285034,1110,1,35
3,3,3.0769621977578376,1094,20,700
3,2,1.5473850303724492,1095,6,210
3,1,2.309306300725209,963,10,310
3,0,3.3620799545776165,964,20,620
4,0,4.490027483625819,964,8,248
4,4,1.0997032465899725,1110,2,70
4,3,5.039921443615272,1094,20,700
4,5,3.737084141384268,1108,20,700
4,1,3.861620919349391,963,3,93
4,2,4.190750347429872,1095,5,175
4,6,2.3617284489085684,673,20,440
5,3,3.224548506473121,1094,20,700
5,1,2.573026715423237,963,16,496
5,5,3.9099106130260886,1108,20,700
5,0,2.7165471499717415,964,20,620
5,6,0.5584545588311587,673,3,66
5,2,2.5464484310594555,1095,12,420
5,4,2.0511606802399904,1110,3,105
6,4,1.6690820520755543,1110,3,105
6,0,3.3129740974614714,964,20,620
6,5,3.6441247813969633,1108,20,700
6,3,2.6091678440587436,1094,9,315
6,6,0.257247029233007,673,15,330
6,2,3.6698858216586006,1095,20,700
6,1,3.2273357409915047,963,18,558
7,2,3.601389941846642,1095,20,700
7,4,1.7947403771771635,1110,7,245
7,6,1.1475911060396653,673,11,242
7,5,3.6366856465382393,1108,20,700
7,3,1.5230912482632513,1094,4,140
7,1,3.2290031634751903,963,18,558
7,0,2.972813618607915,964,20,620
8,0,2.9756854085444324,964,20,620
8,3,3.2246532766248865,1094,20,700
8,2,1.664287666899362,1095,6,210
8,5,3.718189339419291,1108,20,700
8,6,0.33950926462110664,673,16,352
8,1,1.6621071553423392,963,3,93
8,4,1.9174155511426825,1110,6,210
9,3,3.620530250183202,1094,20,700
9,5,2.253269207802128,1108,6,210
9,6,0.49576713003884954,673,10,220
9,4,3.420604877061522,1110,20,700
9,0,2.7844518258279543,964,20,620
9,2,1.4303183922047065,1095,1,35
9,1,1.4855148127916795,963,7,217
10,4,4.147693960007547,1110,1,35
10,5,5.763899979393298,1108,20,700
10,6,3.5803025138566222,673,20,440
10,0,4.8645086552373025,964,20,620
10,1,4.407555012575111,963,7,217
10,3,2.9635559616036447,1094,13,455
10,2,2.9574776648808365,1095,14,490
11,5,3.9334355478884575,1108,20,700
11,6,0.5919639547084652,673,20,440
11,3,2.817074223293674,1094,1,35
11,4,3.3823910906661903,1110,19,665
11,1,3.0010513581678797,963,14,434
11,0,3.3626284571958958,964,20,620
11,2,4.040381150138791,1095,17,595
12,6,1.9136051383761246,673,11,242
12,4,6.634259191564413,1110,20,700
12,3,2.900356522644174,1094,16,560
12,1,5.344678474297179,963,20,620
12,5,5.694355669097632,1108,7,245
12,0,5.158206313021905,964,20,620
12,2,1.4236716469659723,1095,1,35
13,0,1.830488901720793,964,20,620
13,1,1.5147670564933093,963,11,341
13,6,1.0016013975545879,673,2,44
13,3,1.5921320052496983,1094,6,210
13,4,1.9835618269708368,1110,20,700
13,5,1.7882969755126987,1108,20,700
13,2,1.9856341962795712,1095,11,385
14,4,3.338065745718204,1110,4,140
14,5,4.459074759430962,1108,20,700
14,2,3.27581317104439,1095,18,630
14,3,3.4981413616760126,1094,19,665
14,6,0.3064049427363868,673,20,440
14,0,3.576260024859795,964,20,620
14,1,2.438152077387897,963,4,124
15,0,3.9615667163417294,964,20,620
15,1,3.490822745686997,963,14,434
15,4,3.7321173275872,1110,13,455
15,2,2.0574134171880454,1095,14,490
15,6,2.2224184111177694,673,20,440
15,3,2.7025717003027734,1094,20,700
15,5,1.7022243179948935,1108,3,105
16,4,1.8470823992914651,1110,10,350
16,1,1.930437401695541,963,6,186
16,5,2.3566525933270266,1108,17,595
16,3,2.215105602182129,1094,8,280
16,2,3.5471588645466756,1095,20,700
16,6,1.2913809082177163,673,20,440
16,0,3.6295932048635406,964,20,620
17,0,3.2355727636329448,964,19,589
17,6,1.0214499620910453,673,15,330
17,3,3.041459987104354,1094,19,665
17,5,2.8289165392659053,1108,20,700
17,4,1.757123232147858,1110,6,210
17,2,3.306907064548501,1095,20,700
17,1,3.4307325413448826,963,20,620
18,3,2.1862679151255304,1094,5,175
18,5,1.9661056178994336,1108,20,700
18,1,4.078254202357916,963,20,620
18,2,2.8201396664057965,1095,14,490
18,4,1.722614161352493,1110,15,525
18,0,4.040552420919136,964,20,620
18,6,1.1413821631715886,673,5,110
19,4,2.177069423875439,1110,2,70
19,3,2.925017709065669,1094,20,700
19,6,0.8683763887803373,673,20,440
19,0,2.458914476829356,964,11,341
19,2,2.8416876045381323,1095,18,630
19,1,3.213104337260179,963,20,620
19,5,3.1760589532044294,1108,18,630
20,1,4.1964845964197215,963,20,620
20,5,2.0588736963609438,1108,12,420
20,3,4.077363652482932,1094,20,700
20,6,1.5135017832236979,673,18,396
20,2,3.9150286453317116,1095,14,490
20,0,2.3751912272489535,964,3,93
20,4,2.6103259642702006,1110,20,700
21,6,0.751049316559784,673,13,286
21,1,3.503412039391566,963,20,620
21,0,2.6757723152716286,964,13,403
21,4,3.3158353026231575,1110,13,455
21,5,4.051086850146992,1108,20,700
21,2,3.566190833155191,1095,20,700
21,3,3.298129225608205,1094,17,595
22,4,1.9589800039284297,1110,6,210
22,6,1.1653067315934182,673,16,352
22,0,3.1877220462147555,964,20,620
22,1,3.264805574981153,963,20,620
22,2,3.0301586866311254,1095,14,490
22,3,3.0886130290525755,1094,16,560
22,5,3.8235705271570635,1108,20,700
23,3,1.153788096850774,1094,1,35
23,2,3.680419959532602,1095,20,700
23,5,3.3437897069077698,1108,18,630
23,1,3.3479476928470224,963,20,620
23,6,0.7723663483405351,673,20,440
23,0,1.8543256454490131,964,8,248
23,4,2.4712155391819475,1110,13,455
24,1,4.1607526340926055,963,20,620
24,2,3.4359785355442414,1095,20,700
24,4,4.3860681699439406,1110,15,525
24,6,2.470303838699254,673,20,440
24,5,4.23797598420321,1108,11,385
24,3,1.0863920554690183,1094,3,105
24,0,3.82333232976774,964,17,527
25,1,3.2191373651302033,963,20,620
25,5,1.6379448143812707,1108,4,140
25,4,3.8131855055704538,1110,20,700
25,6,0.5698982755517195,673,10,220
25,2,2.062081436744896,1095,7,245
25,3,2.311309579906053,1094,10,350
25,0,3.237706905953921,964,20,620
26,0,1.7714948080955506,964,7,217
26,6,0.7456649362940032,673,4,88
26,4,3.933261331729262,1110,20,700
26,3,3.382618761724099,1094,20,700
26,5,2.0257360762183287,1108,6,210
26,1,3.0828615757726068,963,20,620
26,2,2.6840176273858614,1095,14,490
27,4,3.4800840182539368,1110,18,630
27,2,3.419768243766108,1095,20,700
27,1,1.793505246232692,963,2,62
27,3,2.558821374966563,1094,10,350
27,0,2.8531320777083544,964,19,589
27,6,0.39311463386268586,673,20,440
27,5,3.857836277994149,1108,20,700
28,2,3.7055033362456884,1095,18,630
28,0,2.8290054079568505,964,20,620
28,3,3.498821894565614,1094,16,560
28,6,1.0940321316534982,673,1,22
28,1,2.795301265872324,963,20,620
28,5,2.826559833672686,1108,8,280
28,4,3.883735525627782,1110,20,700
29,1,3.3756739903753514,963,5,155
29,0,2.963755121645757,964,3,93
29,3,4.478894532832475,1094,20,700
29,6,0.1721909188577558,673,12,264
29,5,5.075387304245567,1108,20,700
29,2,4.2991888679990415,1095,14,490
29,4,4.983117674733646,1110,20,700
30,3,3.104502923763672,1094,13,455
30,0,2.8574762243616907,964,13,403
30,5,4.091987165387563,1108,20,700
30,6,1.3850639166303935,673,19,418
30,2,2.477054565137801,1095,3,105
30,4,4.075830104569663,1110,20,700
30,1,3.628756554608011,963,20,620
31,1,3.4262587294393523,963,20,620
31,4,2.336819910014046,1110,5,175
31,6,0.9906978756816209,673,20,440
31,3,1.7902119470010018,1094,7,245
31,5,4.277347077385074,1108,20,700
31,2,2.118993716044878,1095,8,280
31,0,2.8213797717959137,964,15,465
32,4,3.5100902440619723,1110,16,560
32,2,3.812950893016692,1095,20,700
32,3,3.642916072056666,1094,20,700
32,6,0.49779366422627225,673,10,220
32,1,3.2445357542799216,963,20,620
32,0,2.8325552139649863,964,13,403
32,5,3.135633476761538,1108,13,455
33,5,2.0798754023106505,1108,6,210
33,3,3.8821038012754068,1094,20,700
33,6,0.5450110605353942,673,20,440
33,2,3.482669665833272,1095,16,560
33,1,1.5152237272978724,963,5,155
33,0,3.080055243305232,964,20,620
33,4,2.0419534627300977,1110,6,210
34,0,1.534565339101753,964,5,155
34,6,0.6492585619433519,673,20,440
34,4,3.4209719666861482,1110,17,595
34,5,2.9216027555831747,1108,14,490
34,1,3.0468930853846374,963,20,620
34,3,2.257640108311975,1094,3,105
34,2,4.282066489788847,1095,20,700
35,5,3.5519815757818525,1108,12,420
35,4,3.8802578811684856,1110,15,525
35,1,3.170096836671457,963,20,620
35,6,0.8689602656617315,673,14,308
35,2,4.008490054643406,1095,20,700
35,0,3.19611866648086,964,20,620
35,3,0.8649308839310147,1094,2,70
36,0,2.0452208512141565,964,7,217
36,5,4.29795515129274,1108,20,700
36,6,0.20523426380354753,673,1,22
36,1,1.8967610332168665,963,4,124
36,3,1.9178981673389452,1094,7,245
36,4,4.366069886286468,1110,20,700
36,2,3.9925284334399795,1095,20,700
37,5,4.477631647842919,1108,20,700
37,0,2.8963967561132367,964,19,589
37,6,0.311248442155932,673,20,440
37,2,4.534831939919902,1095,18,630
37,1,2.889056434985008,963,14,434
37,4,2.9093611205925516,1110,4,140
37,3,4.532248855197389,1094,20,700
38,1,4.67124163527448,963,20,620
38,3,3.5881646700109555,1094,15,525
38,6,0.891724266104862,673,20,440
38,4,3.6991858706446483,1110,16,560
38,0,3.888051320651019,964,20,620
38,5,1.8545046195057873,1108,5,175
38,2,2.946149649567092,1095,10,350
39,0,3.5919366698959787,964,20,620
39,6,0.6084376956578024,673,16,352
39,3,3.6353861813640336,1094,16,560
39,5,4.067888561768394,1108,20,700
39,4,1.4647857296064521,1110,1,35
39,2,3.928677526836245,1095,20,700
39,1,2.3429331631141013,963,7,217
40,4,4.066599165659752,1110,20,700
40,0,4.529070724172786,964,20,620
40,2,3.7326123911856013,1095,1,35
40,1,4.712777319911567,963,20,620
40,5,4.032058564795503,1108,16,560
40,6,3.4128562587797906,673,18,396
40,3,4.47434189720586,1094,5,175
41,5,5.795811613899028,1108,20,700
41,0,4.425463425940447,964,20,620
41,4,5.148211813861816,1110,11,385
41,2,1.9542830766227532,1095,10,350
