round,client_id,update_norm,n_samples,local_epochs,tau
1,3,4.114827924689072,1094,20,700
1,5,2.181658836006129,1108,6,210
1,4,3.929945078740556,1110,20,700
1,0,2.2422584947370225,964,5,155
1,6,1.990050672151257,673,14,308
1,2,2.745389403518204,1095,9,315
1,1,3.9604320399555357,963,20,620
2,1,2.0836402817482296,963,6,186
2,6,0.08671101734796441,673,4,88
2,0,3.182856893583627,964,20,620
2,4,3.7110730537783025,1110,19,665
2,2,2.768370221866624,1095,4,140
2,5,4.079563253877834,1108,20,700
2,3,3.419253000421769,1094,20,700
3,1,1.836293619267352,963,4,124
3,3,3.2029794400520486,1094,20,700
3,5,3.8445429260128976,1108,20,700
3,4,3.030639273287926,1110,14,490
3,2,3.1323042788654916,1095,20,700
3,0,2.989218323468186,964,15,465
3,6,1.04309379597215,673,7,154
4,0,2.6591536870197783,964,16,496
4,5,2.8953682185556113,1108,12,420
4,4,2.323269174876497,1110,2,70
4,2,2.537934791212512,1095,6,210
4,1,3.1129998443884546,963,20,620
4,6,0.3089833042225927,673,20,440
4,3,3.443053654761258,1094,20,700
5,0,3.2541188499604656,964,16,496
5,1,3.7746031207208457,963,20,620
5,5,0.7551935237993863,1108,4,140
5,2,2.768009543598446,1095,18,630
5,3,2.5233202767917158,1094,20,700
5,6,0.9318086784234348,673,20,440
5,4,2.0348990265810416,1110,10,350
6,6,0.8536306158376068,673,20,440
6,1,1.514047121153076,963,3,93
6,2,3.3111052232216807,1095,18,630
6,3,3.442240457669592,1094,20,700
6,4,2.743481921572742,1110,14,490
6,0,3.424037773764391,964,20,620
6,5,0.8448531207852432,1108,1,35
7,4,3.2400654690822757,1110,20,700
7,3,4.704524691545097,1094,20,700
7,5,3.3106417904970242,1108,20,700
7,2,3.519595601325901,1095,3,105
7,1,3.3569816794030563,963,14,434
7,0,3.3769973074980295,964,14,434
7,6,0.3580884973986948,673,5,110
8,6,0.5895222022235191,673,1,22
8,0,2.765878494068003,964,19,589
8,2,3.094376323367455,1095,20,700
8,3,3.020256765233696,1094,18,630
8,1,2.991073344903764,963,20,620
8,5,2.2391288817951214,1108,3,105
8,4,3.761101741527519,1110,20,700
9,4,5.142398823099834,1110,20,700
9,5,4.13873431819078,1108,13,455
9,2,4.651089735470841,1095,4,140
9,6,4.398040123009442e-06,673,2,44
9,0,4.991481017032763,964,20,620
9,1,4.62896146568851,963,20,620
9,3,5.134640005863833,1094,16,560
10,4,3.357007015603705,1110,20,700
10,0,2.1441097653191936,964,8,248
10,2,3.0601720275570323,1095,18,630
10,1,2.3052208408123347,963,10,310
10,6,0.7686797205505677,673,20,440
10,3,1.4646686652007737,1094,5,175
10,5,3.584412769953105,1108,20,700
11,2,2.742778352171045,1095,14,490
11,5,2.198967637340743,1108,6,210
11,0,2.7648593287771495,964,20,620
11,6,0.523342766887338,673,20,440
11,3,2.2784726110363867,1094,9,315
11,4,3.4766454317864475,1110,20,700
11,1,1.865206240939328,963,11,341
12,2,3.472899519869286,1095,20,700
12,4,3.237213215461089,1110,20,700
12,6,0.5280038991599427,673,20,440
12,1,2.982005661624529,963,15,465
12,3,3.062882788130085,1094,16,560
12,0,2.839862579294091,964,14,434
12,5,2.2520394567124344,1108,11,385
13,6,0.48371104309350094,673,15,330
13,4,1.1001900994643876,1110,1,35
13,3,1.1401293162275326,1094,1,35
13,0,3.355633270944215,964,20,620
13,2,3.7549889078161587,1095,19,665
13,1,3.805252356241207,963,20,620
13,5,3.337534898519119,1108,20,700
14,3,3.834208071905461,1094,20,700
14,2,3.2822491833968197,1095,15,525
14,6,2.761923272881598,673,20,440
14,5,4.3630872122301065,1108,17,595
14,4,3.54250477500844,1110,11,385
14,0,4.541267355668617,964,9,279
14,1,5.098320343985079,963,20,620
15,1,3.6017429706465367,963,20,620
15,4,2.489292724972452,1110,13,455
15,5,3.687715960632679,1108,20,700
15,0,2.708136220605766,964,14,434
15,2,2.4358973810800095,1095,7,245
15,3,2.8249141980001355,1094,9,315
15,6,0.5680643251346393,673,20,440
16,1,1.4347747852158625,963,2,62
16,0,3.4778179218372176,964,20,620
16,6,0.42714660554806927,673,10,220
16,3,1.4035232849006787,1094,4,140
16,5,3.714609228118333,1108,20,700
16,2,2.839216897633963,1095,12,420
16,4,3.52755388042198,1110,20,700
17,2,4.3186224698536835,1095,20,700
