round,client_id,update_norm,n_samples,local_epochs,tau
1,5,4.187109608287057,1108,20,700
1,4,4.230341894818374,1110,20,700
1,3,3.1009841335661976,1094,11,385
1,2,2.8670831421260408,1095,9,315
1,6,2.0191413985469766,673,3,66
1,0,2.2427121987523977,964,5,155
1,1,3.739057383507011,963,20,620
2,5,3.232588173548692,1108,14,490
2,3,3.7303163991135406,1094,20,700
2,1,3.627426656136057,963,20,620
2,0,1.8103710013668666,964,4,124
2,6,0.29876344163297786,673,10,220
2,2,3.2916263834104877,1095,15,525
2,4,4.153901720888652,1110,20,700
3,6,0.41264406227648465,673,5,110
3,0,2.3944339109544015,964,9,279
3,4,4.254498262767125,1110,20,700
3,3,2.09738982694636,1094,5,175
3,1,3.30566317901318,963,20,620
3,5,4.229188418749197,1108,20,700
3,2,1.5840962053703571,1095,2,70
4,6,0.5216352184026847,673,9,198
4,1,3.7251880637361503,963,12,372
4,0,3.0494032192698524,964,15,465
4,5,4.230859721092523,1108,20,700
4,4,3.901767878925979,1110,17,595
4,2,3.4668345571629233,1095,20,700
4,3,3.4376900015908376,1094,20,700
5,0,1.6868170397305016,964,4,124
5,3,2.2080645545851065,1094,10,350
5,6,0.5232094412118994,673,20,440
5,1,3.2583015601063057,963,16,496
5,5,4.085188646347573,1108,20,700
5,4,4.045230264809911,1110,20,700
5,2,1.133228584638232,1095,3,105
6,4,2.8822172575572655,1110,10,350
6,2,3.5717927287764293,1095,20,700
6,5,4.109525928173888,1108,20,700
6,1,1.9586653550100954,963,7,217
6,3,1.2775084619027461,1094,4,140
6,6,0.5762643374374238,673,20,440
6,0,3.3354777695635374,964,18,558
7,5,2.6343754623456803,1108,10,350
7,4,3.174069603357197,1110,14,490
7,2,3.7845364326924953,1095,20,700
7,6,0.5199493708453937,673,20,440
7,0,2.3555388944812345,964,11,341
7,1,2.65907256326206,963,13,403
7,3,3.6124198874377296,1094,20,700
8,4,3.894120577572911,1110,20,700
8,0,2.67211325392338,964,8,248
8,2,2.1862082823487934,1095,9,315
8,5,3.880879561631417,1108,20,700
8,1,1.8908140185958215,963,8,248
8,3,3.5629882931674097,1094,20,700
8,6,0.44231059388698707,673,18,396
9,1,2.5656260436206177,963,14,434
9,0,3.4907975457777627,964,20,620
9,4,3.8659561061738,1110,20,700
9,6,0.4872251823599506,673,20,440
9,3,1.745580734365226,1094,6,210
9,5,2.4562653236188012,1108,9,315
9,2,3.3278668234248996,1095,16,560
10,4,3.767860944004106,1110,18,630
10,5,3.072916435134002,1108,14,490
10,0,3.821216537797886,964,20,620
10,2,2.218812726132015,1095,9,315
10,6,0.4743325629451346,673,20,440
10,3,1.4963969076627066,1094,5,175
10,1,3.724526794213718,963,20,620
11,6,0.4716867337119463,673,4,88
11,4,3.96687757379072,1110,20,700
11,5,3.800807493225827,1108,18,630
11,2,3.9801021279163677,1095,19,665
11,1,3.6811915571997647,963,20,620
11,3,0.8384482778250122,1094,1,35
11,0,3.6620094904391367,964,20,620
12,2,4.122016617241938,1095,20,700
12,5,4.19735404332309,1108,18,630
12,1,2.2193283585670063,963,6,186
12,4,1.8891420948546607,1110,1,35
12,6,0.6547458742587696,673,20,440
12,0,1.7516819571319713,964,2,62
12,3,4.134638165775908,1094,20,700
13,1,3.4787240842580482,963,19,589
13,0,3.728601720390211,964,19,589
13,2,4.3868986133450125,1095,20,700
13,5,4.0689421724308135,1108,20,700
13,6,0.3431472440184397,673,7,154
13,3,4.361943418400252,1094,20,700
13,4,2.601351573943361,1110,11,385
14,4,4.1729691300858684,1110,20,700
14,2,4.47697728108683,1095,20,700
14,6,0.3204771006513549,673,19,418
14,0,1.6758168954744301,964,6,186
14,3,3.7064826634043326,1094,16,560
14,5,4.083950684268401,1108,20,700
14,1,2.465975357736584,963,11,341
15,1,3.6139998998467617,963,18,558
15,6,0.3226283084510062,673,14,308
15,0,4.1061712084449,964,20,620
15,2,4.610471100380053,1095,20,700
15,4,4.209487313456574,1110,20,700
15,5,3.656057989936856,1108,15,525
15,3,3.457561130068692,1094,14,490
16,2,4.4761991612367815,1095,20,700
16,4,1.1197600196452442,1110,2,70
16,5,3.728742584240997,1108,16,560
16,1,2.333155765455122,963,9,279
16,6,0.374180130874331,673,20,440
16,3,1.6810959815865079,1094,3,105
16,0,3.863896388795809,964,20,620
17,0,1.3045396221563452,964,3,93
17,3,1.979393453462031,1094,6,210
17,2,3.372532892906384,1095,13,455
17,1,3.681367933572945,963,20,620
17,6,0.42960720226446847,673,20,440
17,4,2.6438642842204843,1110,10,350
17,5,4.4761395870873555,1108,20,700
18,3,4.527554786289654,1094,20,700
18,5,1.1146226581488592,1108,1,35
18,4,4.693827255109479,1110,20,700
18,2,2.2887837570643326,1095,7,245
18,0,2.16286133283505,964,9,279
18,6,0.4332501267083383,673,20,440
18,1,1.8809792302989685,963,7,217
19,0,4.06842737135685,964,20,620
19,1,4.154829325017947,963,20,620
19,5,4.788108020040045,1108,20,700
19,2,3.2528862511395253,1095,9,315
19,4,3.2172125557822815,1110,12,420
19,3,3.6913908979593386,1094,12,420
19,6,0.5914631129910262,673,7,154
20,0,2.411153537292268,964,9,279
20,6,0.39662217994838306,673,20,440
20,4,4.6546494478936475,1110,20,700
20,3,4.77144559381542,1094,20,700
20,5,2.9752199604916982,1108,10,350
20,2,4.615869885384059,1095,19,665
20,1,1.7653123022961186,963,5,155
21,1,2.110409536876215,963,7,217
21,3,4.872046648158948,1094,20,700
21,5,4.613038291277028,1108,20,700
21,2,2.7603410676691267,1095,8,280
21,6,0.3669583084881322,673,20,440
21,0,1.555864887298107,964,5,155
21,4,3.468891815720272,1110,13,455
22,2,4.671074480770571,1095,20,700
22,1,2.876308594221213,963,11,341
22,0,0.8409104939313897,964,1,31
22,4,4.700283833265572,1110,20,700
22,5,3.3581935891508183,1108,12,420
22,6,0.3691076385298994,673,20,440
22,3,2.1002434559482963,1094,5,175
23,6,0.5926313272742892,673,16,352
23,4,4.68786477647356,1110,20,700
23,5,4.888655761487806,1108,20,700
23,2,2.0970915797609955,1095,4,140
23,0,0.45627462971790944,964,1,31
23,1,2.0186910243598883,963,7,217
23,3,4.806858945728055,1094,20,700
24,4,4.58988560590286,1110,20,700
24,1,4.303691720113369,963,20,620
24,5,2.393755881229998,1108,5,175
24,0,4.1753874560709345,964,20,620
24,2,4.472551876589588,1095,19,665
24,6,0.5255434742024049,673,16,352
24,3,3.789439841600967,1094,14,490
25,4,4.302826768058856,1110,18,630
25,3,3.4292048602662293,1094,11,385
25,0,3.6112451098479674,964,20,620
25,6,0.3882299526085136,673,20,440
25,2,4.39467959315719,1095,18,630
25,1,1.3546587004208204,963,3,93
25,5,4.590360227471029,1108,20,700
26,0,3.257056459119327,964,14,434
26,1,1.6363189574498322,963,5,155
26,5,4.491558304490407,1108,20,700
26,6,0.49133511219024356,673,9,198
26,2,1.7229175838029402,1095,3,105
26,4,4.338660906692013,1110,20,700
26,3,4.523073957608144,1094,20,700
27,2,4.486404275511021,1095,20,700
27,1,1.0941693564626005,963,2,62
27,3,4.329562380489633,1094,20,700
27,0,1.8711259527053834,964,5,155
27,5,4.632238673205234,1108,20,700
27,6,0.4108369360610257,673,10,220
27,4,3.712062892472102,1110,13,455
28,2,2.9257933279261037,1095,8,280
28,0,3.608038613359769,964,20,620
28,4,3.328117737280311,1110,10,350
28,5,4.67876419064013,1108,20,700
28,6,0.4943016945726565,673,16,352
28,3,4.437681577449966,1094,20,700
28,1,1.9530409161711628,963,7,217
29,0,3.2721204609175105,964,20,620
29,3,3.981821948441748,1094,15,525
29,6,0.3817596662714573,673,19,418
29,4,4.399383388271599,1110,20,700
29,1,4.208384873137694,963,20,620
29,5,3.5674051337233905,1108,12,420
29,2,4.272626904267963,1095,17,595
30,3,4.553612285019828,1094,20,700
30,6,0.41946678419064237,673,20,440
30,1,4.635586866313768,963,17,527
30,5,3.653289160837871,1108,13,455
30,2,3.170282672693999,1095,10,350
30,4,3.8060889980328563,1110,20,700
30,0,3.437583608194614,964,15,465
31,6,0.3066739608819327,673,10,220
31,0,3.0454327074231595,964,11,341
31,5,3.8127186941161475,1108,20,700
31,2,3.9896824460840006,1095,20,700
31,1,3.658597092389761,963,19,589
31,3,3.895898606230944,1094,20,700
31,4,3.8319490829780403,1110,17,595
32,1,3.6900972876637548,963,20,620
32,5,2.982383443734979,1108,9,315
32,0,2.5171316993086363,964,10,310
32,2,3.724884687257479,1095,20,700
32,3,2.4502550393580753,1094,6,210
32,4,4.2984376485837466,1110,20,700
32,6,0.3540405960715212,673,13,286
33,4,4.185920208317591,1110,20,700
33,2,4.207371559271204,1095,17,595
33,0,3.42542433629416,964,20,620
33,1,2.31508414853831,963,20,620
33,3,4.360871145386468,1094,19,665
33,6,0.3858067537734267,673,11,242
33,5,2.669793021001752,1108,7,245
34,1,2.9239667212439824,963,9,279
34,6,0.3123110873134193,673,15,330
34,4,2.2864602825943625,1110,5,175
34,0,2.7555994238500614,964,20,620
34,2,4.165320637250281,1095,20,700
34,3,3.435133396719585,1094,11,385
34,5,3.3895827130342244,1108,20,700
35,6,0.43542591458814134,673,5,110
35,3,2.3364110376370095,1094,5,175
35,0,3.8173976352294186,964,20,620
35,5,3.937261503024071,1108,20,700
35,2,3.6638092689176096,1095,20,700
35,1,2.9640741581758236,963,16,496
35,4,3.414768319569076,1110,12,420
36,6,0.2750863336276549,673,4,88
36,2,3.969925050664661,1095,20,700
36,1,2.1752110867570456,963,5,155
36,5,3.409817547157737,1108,12,420
36,3,2.7897782346885895,1094,20,700
36,0,3.0864538834054853,964,14,434
36,4,3.508989493656602,1110,20,700
37,5,3.575773810474894,1108,20,700
37,2,2.1712129596097,1095,5,175
37,3,4.09548098963832,1094,20,700
37,4,2.8330731921439414,1110,20,700
37,6,0.26303961806689413,673,3,66
37,0,2.815075174881171,964,12,372
37,1,2.3985251717239233,963,9,279
38,1,3.9157742673905003,963,20,620
38,4,3.392637275639351,1110,13,455
38,2,3.5651888136681658,1095,20,700
38,0,1.2743363907015999,964,1,31
38,6,0.24664428501897592,673,19,418
38,3,3.330195400451705,1094,20,700
38,5,1.5232747963175344,1108,1,35
