round,cid,tau,a_i,a_eff,p_i,raw_update_norm,contribution_norm,amp_vs_fedavg
1,3,700,6910.000000000002,4297.282718287086,0.15612958470101326,4.073629294339008,0.3955328777774739,0.6218933022123133
1,1,620,6110.000000000002,4297.282718287086,0.1374339945768517,3.977333933595056,0.38444918251540644,0.7033195938276734
1,2,315,3060.0000000000014,4297.282718287086,0.156272299129442,2.7418579064130593,0.6017269268529917,1.4043407576101583
1,4,700,6910.000000000002,4297.282718287086,0.1584130155558727,4.080832783576879,0.4020272953997331,0.6218933022123133
1,0,155,1460.0000072749747,4297.282718287086,0.13757670900528043,2.2492210394684276,0.9107897252255228,2.9433443129276236
1,6,308,2990.000000000002,4297.282718287086,0.09604681033252462,1.990056413061224,0.27470785195282155,1.4372183004304626
1,5,210,2010.0000000221403,4297.282718287086,0.15812758669901528,2.207712017354362,0.7463592747353603,2.1379516011143043
2,1,186,1770.0000002775555,4575.152809380751,0.1374339945768517,2.0508631069192074,0.7285564037225557,2.5848320952900092
2,6,88,790.008464149783,4575.152809380751,0.09604681033252462,0.103235234117805,0.057422851308081974,5.791270621770601
2,5,700,6910.000000000002,4575.152809380751,0.15812758669901528,3.9892966631123716,0.41766831791211756,0.6621060505616135
2,4,665,6560.000000000001,4575.152809380751,0.1584130155558727,3.7655227526465103,0.416023537016537,0.6974318306982851
2,3,700,6910.000000000002,4575.152809380751,0.15612958470101326,2.753994187158513,0.28469233890322615,0.6621060505616135
2,0,620,6110.000000000002,4575.152809380751,0.13757670900528043,3.1698658844388246,0.3265503833906254,0.74879751381027
2,2,140,1310.0000353340838,4575.152809380751,0.156272299129442,2.6502692291010255,1.4464595479092222,3.4924829663947063
3,6,154,1450.0000080833054,4937.992034974814,0.09604681033252462,0.5378724548710542,0.17593191551104898,3.4055117292738086
3,3,700,6910.000000000002,4937.992034974814,0.15612958470101326,3.0797332184002424,0.34361383342571566,0.7146153451483086
3,2,700,6910.000000000002,4937.992034974814,0.156272299129442,3.0127813244070127,0.33645109801159667,0.7146153451483086
3,1,124,1150.0001906837483,4937.992034974814,0.1374339945768517,1.2625812280178241,0.7450852573737579,4.293905405388553
3,5,700,6910.000000000002,4937.992034974814,0.15812758669901528,3.351456069763713,0.37871587628604214,0.7146153451483086
3,0,465,4560.000000000002,4937.992034974814,0.13757670900528043,2.8987974200985027,0.43186531460017646,1.082892990126055
3,4,490,4810.000000000001,4937.992034974814,0.1584130155558727,2.5918254451538902,0.4215042124100611,1.0266095706808342
4,0,496,4870.000000000001,4063.1900378537457,0.13757670900528043,2.64760363040595,0.3039037493519046,0.8343306032553891
4,4,70,610.0563920873398,4063.1900378537457,0.1584130155558727,1.471453304552948,1.5525103316353013,6.660351552011986
4,5,420,4110.000000000002,4063.1900378537457,0.15812758669901528,2.875665589987833,0.4495431006741124,0.9886107148062637
4,6,440,4310.000000000002,4063.1900378537457,0.09604681033252462,0.7024808441177414,0.06360734928963463,0.9427355076226784
4,3,700,6910.000000000002,4063.1900378537457,0.15612958470101326,3.2626255179225994,0.2995308236693542,0.5880159244361425
4,2,210,2010.0000000221403,4063.1900378537457,0.156272299129442,2.1437627201303004,0.6772200283019335,2.021487580999497
4,1,620,6110.000000000002,4063.1900378537457,0.1374339945768517,3.002603364448316,0.2744214541400753,0.66500655284022
5,1,620,6110.000000000002,4720.3239673398275,0.1374339945768517,3.314150224455178,0.3518819224879307,0.7725571141309044
5,5,140,1310.0000353340838,4720.3239673398275,0.15812758669901528,1.355235198706894,0.7721875846245911,3.6033006412370234
5,6,440,4310.000000000002,4720.3239673398275,0.09604681033252462,0.8012450073568033,0.08428354992816489,1.095202776644971
5,3,700,6910.000000000002,4720.3239673398275,0.15612958470101326,3.3592027301921967,0.35827390561426764,0.6831149012069213
5,4,350,3410.000000000001,4720.3239673398275,0.1584130155558727,2.0783036845112615,0.45574015551621333,1.3842592279588932
5,2,630,6210.000000000002,4720.3239673398275,0.156272299129442,3.332796912836123,0.3958868335437395,0.7601165808920815
5,0,496,4870.000000000001,4720.3239673398275,0.13757670900528043,3.051293596600253,0.40688507446755345,0.96926570171249
6,1,93,840.0049979958054,4222.743108283081,0.1374339945768517,1.966709206370002,1.3587736370766959,5.027045218014485
6,4,490,4810.000000000001,4222.743108283081,0.1584130155558727,2.879636196858733,0.40047745346898306,0.8779091701212225
6,3,700,6910.000000000002,4222.743108283081,0.15612958470101326,3.492445953494399,0.3332203475003298,0.6111060938181012
6,0,620,6110.000000000002,4222.743108283081,0.13757670900528043,3.06343556615257,0.29127762051726613,0.6911199849890474
6,6,440,4310.000000000002,4222.743108283081,0.09604681033252462,0.24149896203869314,0.02272561300910269,0.9797547815041947
6,2,630,6210.000000000002,4222.743108283081,0.156272299129442,3.0990831095800533,0.3293201362258251,0.6799908386929274
6,5,35,262.252839954494,4222.743108283081,0.15812758669901528,2.1904990123158745,5.5773149087046265,16.101801257960865
7,2,105,960.0014115816389,4681.975468337964,0.156272299129442,2.506547795748116,1.91036016768483,4.877050608315494
7,1,434,4250.000000000002,4681.975468337964,0.1374339945768517,2.9589435395875685,0.44799281811156527,1.1016412866677558
7,3,700,6910.000000000002,4681.975468337964,0.15612958470101326,4.010797064986791,0.42429408698856574,0.6775651907869701
7,6,110,1010.0008335248422,4681.975468337964,0.09604681033252462,1.0229055626869512,0.45543446078742045,4.635615449937949
7,4,700,6910.000000000002,4681.975468337964,0.1584130155558727,3.4096560788542867,0.3659759299930657,0.6775651907869701
7,5,700,6910.000000000002,4681.975468337964,0.15812758669901528,3.6010220118213034,0.38581979455491655,0.6775651907869701
7,0,434,4250.000000000002,4681.975468337964,0.13757670900528043,2.861619999223594,0.4337076499692455,1.1016412866677558
8,0,589,5800.000000000002,4946.846913284857,0.13757670900528043,3.4970313458167004,0.4103410059113309,0.8529046402215268
8,3,630,6210.000000000002,4946.846913284857,0.15612958470101326,3.0023895320418204,0.3734127239135712,0.7965937058429718
8,2,700,6910.000000000002,4946.846913284857,0.156272299129442,3.293248732333874,0.36843167318966896,0.7158968036591686
8,6,22,138.8629381196525,4946.846913284857,0.09604681033252462,0.7495941462021818,2.5647867054068088,35.623953952510796
8,4,700,6910.000000000002,4946.846913284857,0.1584130155558727,3.490924042757464,0.3958965197759359,0.7158968036591686
8,1,620,6110.000000000002,4946.846913284857,0.1374339945768517,3.4322178533667094,0.3819058194735657,0.8096312460368011
8,5,105,960.0014115816389,4946.846913284857,0.15812758669901528,1.900726357534156,1.5487589859634732,5.152957957775018
9,5,455,4460.000000000002,4578.889315061932,0.15812758669901528,5.590100263331516,0.9075123148923488,1.0266567970990876
9,1,620,6110.000000000002,4578.889315061932,0.1374339945768517,7.295632747961919,0.7514084402227925,0.7494090532016253
9,2,140,1310.0000353340838,4578.889315061932,0.156272299129442,6.342160677584956,3.464240864979883,3.495335260730888
9,4,700,6910.000000000002,4578.889315061932,0.1584130155558727,6.390233189899221,0.6707947670712968,0.6626467894445631
9,0,620,6110.000000000002,4578.889315061932,0.13757670900528043,7.684300245959602,0.7922608165627666,0.7494090532016253
9,3,560,5510.000000000002,4578.889315061932,0.15612958470101326,7.393353196408503,0.9592575035320958,0.8310143947480818
9,6,44,350.8727963568088,4578.889315061932,0.09604681033252462,0.005121537553245039,0.0064193899154604585,13.049998069401704
10,2,630,6210.000000000002,4573.368060649066,0.156272299129442,2.8425663042131646,0.3271426441245087,0.7364521836793985
10,5,700,6910.000000000002,4573.368060649066,0.15812758669901528,3.468144639914017,0.3629634978189182,0.6618477656510948
10,0,248,2390.0000000004047,4573.368060649066,0.13757670900528043,2.3537150090413728,0.6196365776814017,1.913543121610164
10,3,175,1660.0000008844675,4573.368060649066,0.15612958470101326,1.6693506559669817,0.7180601786288554,2.7550409989230857
10,4,700,6910.000000000002,4573.368060649066,0.1584130155558727,3.403544733373956,0.3568456699808171,0.6618477656510948
10,6,440,4310.000000000002,4573.368060649066,0.09604681033252462,1.7132772689393294,0.17461014937864736,1.0611062785728687
10,1,310,3010.0000000000014,4573.368060649066,0.1374339945768517,2.5196257999711578,0.526138249055906,1.5193913822754366
11,6,440,4310.000000000002,4352.732981307912,0.09604681033252462,1.0849956985243863,0.10524360577835559,1.0099148448510233
11,1,341,3320.0000000000014,4352.732981307912,0.1374339945768517,1.7174581258193033,0.30945982043012926,1.3110641509963585
11,5,210,2010.0000000221403,4352.732981307912,0.15812758669901528,2.756084574168479,0.9437699648921418,2.1655387966467496
11,3,315,3060.0000000000014,4352.732981307912,0.15612958470101326,2.1531088468232555,0.4781804204929192,1.4224617585973562
11,0,620,6110.000000000002,4352.732981307912,0.13757670900528043,2.321652879844645,0.22754275883208072,0.7123949232909838
11,4,700,6910.000000000002,4352.732981307912,0.1584130155558727,4.046911268029718,0.4038299472936682,0.6299179423021579
11,2,490,4810.000000000001,4352.732981307912,0.156272299129442,2.377496924457951,0.33621641670686425,0.9049340917480065
12,0,434,4250.000000000002,5254.671043242473,0.13757670900528043,2.289695458015721,0.38947469169217913,1.2363931866452873
12,5,385,3760.0000000000014,5254.671043242473,0.15812758669901528,3.0321874992847833,0.6700718665070605,1.3975188944793806
12,1,465,4560.000000000002,5254.671043242473,0.1374339945768517,2.289106640082691,0.36252744087381067,1.1523401410619454
12,2,700,6910.000000000002,5254.671043242473,0.156272299129442,3.1388899840961333,0.3730143862040871,0.7604444346226443
12,4,700,6910.000000000002,5254.671043242473,0.1584130155558727,3.855677351873451,0.4644714579941975,0.7604444346226443
12,3,560,5510.000000000002,5254.671043242473,0.15612958470101326,2.860040320546632,0.4258447472683199,0.9536608063960929
12,6,440,4310.000000000002,5254.671043242473,0.09604681033252462,1.3426288891371645,0.15721978475513612,1.2191812165295757
13,1,620,6110.000000000002,4188.923256637607,0.1374339945768517,2.8932602912307153,0.27261068238633157,0.685584821053618
13,6,330,3210.000000000001,4188.923256637607,0.09604681033252462,0.7882767457373621,0.09880047516400703,1.3049605160864814
13,2,665,6560.000000000001,4188.923256637607,0.156272299129442,2.9625264933750177,0.2956261238439591,0.6385553744874399
13,0,620,6110.000000000002,4188.923256637607,0.13757670900528043,2.95314787062061,0.27854239384401724,0.685584821053618
