round,client_id,update_norm,n_samples,local_epochs,tau
1,2,2.892072717888406,1095,9,315
1,3,3.979646506038921,1094,20,700
1,1,3.8682039975728237,963,20,620
1,6,1.9333959485574177,673,1,22
1,4,4.428210897864985,1110,20,700
1,0,2.8473553443540447,964,10,310
1,5,3.562298804831598,1108,14,490
2,2,10.69818221156581,1095,15,525
2,3,12.349600051618628,1094,20,700
2,6,0.0,673,15,330
2,5,11.36416885949202,1108,20,700
2,1,10.218523332156366,963,12,372
2,0,10.46852183480379,964,1,31
2,4,11.689630441408623,1110,20,700
3,2,6.335009574567149,1095,20,700
3,0,1.763676848161683,964,20,620
3,5,5.867976404868589,1108,12,420
3,4,5.309962241992963,1110,9,315
3,3,4.933645357175935,1094,3,105
3,1,1.5303343199776487,963,20,620
3,6,2.1730734851833207,673,12,264
4,6,0.8918660572357137,673,6,132
4,2,2.7866418281490017,1095,20,700
4,5,1.0368897004492998,1108,2,70
4,3,2.7839547429752147,1094,20,700
4,0,3.0429101386946553,964,13,403
4,1,3.492084761790423,963,19,589
4,4,2.883585248815742,1110,20,700
5,0,5.6535992261248476,964,19,589
5,2,5.2678188462821085,1095,20,700
5,3,4.6362981571722885,1094,15,525
5,4,2.9019128112682613,1110,16,560
5,6,0.9482247257542401,673,20,440
5,1,5.099593219646624,963,20,620
5,5,0.852837680270641,1108,3,105
6,6,2.662080622513889,673,20,440
6,3,2.0073166212019857,1094,13,455
6,2,1.141286032944007,1095,5,175
6,4,4.348530128597909,1110,19,665
6,0,4.219940846752766,964,20,620
6,1,4.224113362337441,963,20,620
6,5,4.0432752801423275,1108,16,560
7,5,3.123346948336711,1108,12,420
7,4,1.5063068252178058,1110,2,70
7,6,2.4637599690075707,673,20,440
7,0,3.8993005483895673,964,20,620
7,3,2.708093370479075,1094,15,525
7,1,2.8281172281904747,963,8,248
7,2,3.047037040172077,1095,20,700
8,1,3.951200225007183,963,20,620
8,5,2.745911131207002,1108,18,630
8,6,2.9918747782535005,673,20,440
8,4,2.943238984927843,1110,20,700
8,2,4.650008455426945,1095,17,595
8,3,4.780357524833881,1094,19,665
8,0,3.7789069693146975,964,17,527
9,4,0.6381981183782338,1110,1,35
9,6,2.443527040689343,673,20,440
9,2,5.079254598563691,1095,16,560
9,5,1.7812903156842395,1108,9,315
9,0,3.3088263434875023,964,16,496
9,3,5.2906899013964805,1094,20,700
9,1,3.5472887732772524,963,20,620
10,1,3.9548498930332006,963,20,620
10,5,1.786423616898824,1108,12,420
10,2,5.458926762796746,1095,20,700
10,6,0.44467508022371405,673,1,22
10,4,2.279607682237229,1110,20,700
10,0,3.08980715331955,964,10,310
10,3,2.2406191226527086,1094,2,70
11,3,2.3604193894288716,1094,10,350
11,5,4.031987636871216,1108,19,665
11,0,3.4376485625113804,964,12,372
11,4,4.055803266758259,1110,20,700
11,6,1.9902257008253859,673,16,352
11,2,3.0106111280032857,1095,20,700
11,1,4.052004010508078,963,20,620
12,3,1.3439424407835143,1094,11,385
12,6,2.2197611793294922,673,17,374
12,0,4.873071435370357,964,20,620
12,2,1.9096106866989366,1095,20,700
12,4,4.990848603263219,1110,6,210
12,5,6.050806393087832,1108,20,700
12,1,4.6814494010866365,963,17,527
13,3,2.1247440065550873,1094,20,700
13,4,5.157173498845193,1110,18,630
13,0,1.374879021933672,964,2,62
13,2,1.889146241778062,1095,16,560
13,6,2.0816104971223286,673,20,440
13,1,1.3441655943150632,963,2,62
13,5,5.267449322395582,1108,20,700
14,2,4.586004919558619,1095,16,560
14,3,2.665173776501711,1094,3,105
14,0,2.349076516559235,964,20,620
14,5,4.40551539518467,1108,20,700
14,4,3.158159586158855,1110,7,245
14,6,2.5735462301096703,673,8,176
14,1,2.3472762615742577,963,20,620
15,4,3.2894169320630464,1110,16,560
15,1,3.1396651673042784,963,20,620
15,2,5.658237906819934,1095,20,700
15,0,2.9685495973402505,964,17,527
15,3,5.249525579331291,1094,14,490
15,5,1.0684739227557074,1108,2,70
15,6,3.675584026320062,673,20,440
16,4,1.112136990379676,1110,6,210
16,5,1.7392897280586164,1108,12,420
16,2,5.243425475465933,1095,20,700
16,0,4.526493559352053,964,20,620
16,1,2.959504516490257,963,5,155
16,3,4.265565208397875,1094,7,245
16,6,2.387467218866835,673,20,440
17,6,1.090534143649121,673,14,308
17,0,5.077222322666401,964,20,620
17,4,2.910060689417376,1110,20,700
17,2,3.7603310591651007,1095,17,595
17,5,2.851732100903873,1108,19,665
17,1,4.8111436696414716,963,15,465
17,3,3.881674506564605,1094,20,700
18,2,1.8560073111974298,1095,3,105
18,0,2.356973248204801,964,3,93
18,3,2.4470400631317366,1094,20,700
18,1,3.6808322571018266,963,6,186
18,4,3.551258274582406,1110,7,245
18,6,1.3956042611663528,673,20,440
18,5,4.2806053085052325,1108,20,700
19,1,3.791077114193297,963,11,341
19,0,4.475204388891486,964,19,589
19,2,2.652397771361203,1095,20,700
19,5,5.678987449414816,1108,20,700
19,6,2.724092783077785,673,5,110
19,4,5.680968565338357,1110,20,700
19,3,0.5548326371360303,1094,1,35
20,0,3.022576425616889,964,18,558
20,3,4.120206852579704,1094,20,700
20,1,3.194643770447551,963,17,527
20,6,1.7967733622421234,673,20,440
20,4,4.478873601196479,1110,6,210
20,5,5.2092539504172555,1108,8,280
20,2,3.908425877346501,1095,20,700
21,0,2.764266717782183,964,20,620
21,4,2.18824324342159,1110,3,105
21,2,5.359868398453883,1095,20,700
21,5,2.5717455458329406,1108,7,245
21,1,2.428901467017934,963,13,403
21,3,5.360801206751721,1094,20,700
21,6,1.0103168096154345,673,8,176
22,1,4.658460272627105,963,13,403
22,5,2.149306036222711,1108,20,700
22,2,7.303549643153621,1095,20,700
22,4,2.113523731344748,1110,19,665
22,6,2.976777133283574,673,20,440
22,0,5.073196184175056,964,19,589
22,3,4.097655124904431,1094,3,105
23,2,4.948339115824494,1095,19,665
23,5,0.7362152735983818,1108,5,175
23,6,3.11101611388001,673,20,440
23,1,3.8652165587207725,963,9,279
23,3,4.999669014633241,1094,20,700
23,0,3.991019673230237,964,10,310
23,4,2.1904412743679114,1110,20,700
24,0,0.6870126858919268,964,1,31
24,5,3.6455616123923176,1108,7,245
24,4,4.785885937507856,1110,20,700
24,6,2.1672074718873033,673,6,132
24,3,2.4409967795821617,1094,20,700
24,1,4.248401767650772,963,20,620
24,2,0.4744215952647541,1095,2,70
25,1,1.161231998083474,963,2,62
25,6,2.4361956241232328,673,20,440
25,2,1.5542006341035226,1095,9,315
25,0,0.5352639340761219,964,1,31
25,4,6.439468359013589,1110,20,700
25,3,2.395085801116647,1094,20,700
25,5,5.6405446592325985,1108,9,315
26,0,0.8916392407998772,964,5,155
26,4,6.901675622663233,1110,18,630
26,2,2.648333455063808,1095,3,105
26,3,4.406364168074106,1094,20,700
26,5,6.065254527631556,1108,8,280
26,1,1.7237612513844371,963,20,620
26,6,2.467977713624529,673,20,440
27,6,1.8272777414901218,673,7,154
27,2,4.329444817675116,1095,16,560
27,0,1.821264281663987,964,20,620
27,3,4.282790614925734,1094,15,525
27,4,5.705322367857934,1110,20,700
27,5,5.708498445147681,1108,20,700
27,1,1.635327382560879,963,17,527
28,4,2.749907712162241,1110,12,420
28,2,3.614110704160589,1095,15,525
28,0,3.5095054331456272,964,20,620
28,6,2.002766004174553,673,20,440
28,3,2.3840186046786136,1094,3,105
28,5,3.2409741585935583,1108,20,700
28,1,2.5460106685155672,963,8,248
29,2,2.861157746586512,1095,11,385
29,1,5.901466359331451,963,20,620
29,5,2.0253580312047617,1108,11,385
29,6,3.0167970207350527,673,20,440
29,3,2.8575597033826075,1094,11,385
29,0,4.474894596339267,964,8,248
29,4,2.7266193660251647,1110,20,700
30,6,2.386641914806901,673,8,176
30,1,4.917335737466639,963,8,248
30,2,1.2847113758014208,1095,3,105
30,5,3.276667470393026,1108,20,700
30,0,6.447305090224918,964,20,620
30,3,3.0087962601276237,1094,20,700
30,4,2.8521760943474006,1110,14,490
31,2,1.3036288146960522,1095,5,175
31,6,0.5074023579371627,673,2,44
31,0,5.104244939387732,964,20,620
31,4,3.65133139224349,1110,13,455
31,1,5.132822245579946,963,20,620
31,3,2.215303945289767,1094,20,700
31,5,3.9131846509342423,1108,17,595
32,1,2.8991034574478713,963,9,279
32,0,3.4320784275145586,964,20,620
32,5,4.952131731345618,1108,20,700
32,6,0.7344031872819141,673,10,220
32,2,3.1888848213775214,1095,20,700
32,4,4.646412310376968,1110,14,490
32,3,2.1957014525428926,1094,2,70
33,5,3.8577747494143746,1108,4,140
33,2,3.658897253224997,1095,20,700
33,6,3.0999218316871326,673,20,440
33,3,3.4727546841597503,1094,17,595
33,0,1.1974268219842716,964,5,155
33,1,2.56056528721067,963,20,620
33,4,5.130860470572612,1110,11,385
34,1,0.673555010264509,963,1,31
34,3,4.667955057224636,1094,20,700
34,4,2.6896705185119263,1110,4,140
34,6,3.3288418071593524,673,9,198
34,2,4.673986370735989,1095,20,700
34,0,3.1519074615138645,964,20,620
34,5,3.598799735296577,1108,9,315
35,6,1.7145157427289854,673,9,198
35,3,5.369505583195184,1094,20,700
35,4,1.4455617042839068,1110,11,385
35,1,4.339635360834523,963,15,465
35,2,5.150674855784667,1095,16,560
35,0,4.657944587902627,964,20,620
35,5,1.9656136087756946,1108,20,700
36,1,6.235478630688503,963,20,620
36,0,6.221813974681121,964,20,620
36,5,2.761483920438454,1108,14,490
36,2,5.550607604397825,1095,10,350
36,6,1.0180699792088794,673,20,440
36,4,2.5261636414404665,1110,10,350
36,3,5.532336784311757,1094,10,350
37,4,3.126785992048674,1110,19,665
37,0,6.0315819692604,964,19,589
37,2,4.428435936296584,1095,20,700
37,3,3.4898983755693296,1094,3,105
37,6,0.741916877397029,673,20,440
37,5,2.8504681090076494,1108,10,350
37,1,6.076788580567174,963,20,620
38,3,2.2711034730820816,1094,20,700
38,2,2.2190553001074083,1095,19,665
38,6,3.5984503114156086,673,9,198
38,5,5.256316357032193,1108,20,700
38,1,6.27536364378121,963,20,620
38,4,4.669549692882495,1110,11,385
38,0,5.786680075013327,964,14,434
39,1,3.6581959765384964,963,4,124
39,0,4.891506726891546,964,11,341
39,4,6.312797835611791,1110,20,700
39,6,4.015513766144518,673,5,110
39,5,6.310153229072381,1108,20,700
39,3,3.2287353462706454,1094,20,700
39,2,3.169525187502153,1095,19,665
40,0,1.7505075232905032,964,20,620
40,4,5.004223120485095,1110,15,525
40,2,4.894910869977059,1095,10,350
40,1,1.738509882734426,963,20,620
40,5,5.280994557651097,1108,20,700
40,3,5.191857163382342,1094,14,490
40,6,1.8615095349786934,673,17,374
41,6,0.564704312077773,673,20,440
41,2,7.578042850623608,1095,7,245
41,3,2.998686203433154,1094,2,70
41,0,3.0737831822277037,964,20,620
41,1,3.080498929334862,963,20,620
41,4,5.349189112743312,1110,14,490
41,5,5.41034454857759,1108,16,560
42,2,6.344134826213821,1095,20,700
42,1,2.328977343988847,963,17,527
42,6,1.537898903942144,673,16,352
42,0,1.727112402553889,964,6,186
42,3,5.948864633248374,1094,13,455
42,5,3.6789853996701014,1108,20,700
42,4,3.6919050885406275,1110,20,700
43,0,4.325103036105913,964,19,589
43,3,4.16490874307323,1094,16,560
43,4,2.6837159106352915,1110,10,350
43,5,3.552929279018806,1108,20,700
43,6,4.084916832062795,673,19,418
43,1,4.389921897346794,963,20,620
43,2,4.426353863542904,1095,20,700
44,3,2.630326009655815,1094,9,315
44,2,2.430863394756535,1095,7,245
44,4,4.845525099067729,1110,20,700
44,6,4.152041607293101,673,8,176
44,5,4.719984792698296,1108,18,630
44,0,6.27086017701477,964,20,620
44,1,6.256751540173955,963,20,620
45,1,6.03342176035552,963,20,620
45,3,1.4577824968623678,1094,14,490
45,4,4.7899746837297466,1110,20,700
45,0,4.5331718936717795,964,7,217
45,2,0.992922097127885,1095,8,280
45,6,0.4041510701767635,673,1,22
45,5,4.77023834825562,1108,20,700
46,5,5.472782263856913,1108,20,700
46,2,4.343759870788456,1095,9,315
46,1,5.361183499804728,963,14,434
46,6,0.1632230133546533,673,20,440
46,4,5.437995437105541,1110,17,595
46,0,5.544906402015259,964,20,620
46,3,4.3038542256628665,1094,5,175
47,0,3.7659655760991737,964,20,620
47,5,4.977570474052914,1108,20,700
47,3,4.217356391834855,1094,11,385
47,4,4.506153062077829,1110,7,245
47,2,4.514156204818647,1095,19,665
47,1,3.7844295611564247,963,20,620
47,6,0.3320493425922718,673,11,242
48,3,1.9766561665151932,1094,2,70
48,1,2.8867666061130386,963,20,620
48,0,2.4618271659614903,964,14,434
48,2,4.43875264861352,1095,14,490
48,4,4.1023934665855695,1110,20,700
48,5,4.095911188325095,1108,20,700
48,6,2.6754983043160907,673,9,198
49,0,4.908626323053694,964,20,620
49,5,4.098155971708441,1108,11,385
49,1,4.706118615538276,963,17,527
49,3,4.274975640083976,1094,20,700
49,2,3.946125615214494,1095,15,525
49,6,5.099956982293717,673,20,440
49,4,4.450440024217296,1110,15,525
50,2,2.950294601434342,1095,20,700
50,5,3.7275179028070102,1108,15,525
50,4,4.108385724344628,1110,20,700
50,0,4.874558823749413,964,15,465
50,1,5.277654503172802,963,20,620
50,3,2.3629726829154314,1094,12,420
50,6,3.025489792727081,673,8,176
51,2,3.3923337742516457,1095,18,630
51,6,0.758908944784697,673,20,440
51,3,3.38169795960892,1094,18,630
51,1,4.701972178208232,963,11,341
51,0,4.426821183599594,964,8,248
51,4,4.0686540813897825,1110,20,700
51,5,4.040832028963448,1108,20,700
52,1,4.4334275901014175,963,20,620
52,6,0.2721858053944169,673,20,440
52,4,3.9633002348654243,1110,3,105
52,3,4.696046889263989,1094,16,560
52,5,4.194311545436686,1108,6,210
52,2,4.784412732868026,1095,19,665
52,0,4.408767251923519,964,20,620
53,5,2.799022284798851,1108,20,700
53,0,3.540093156870425,964,20,620
53,3,5.5947574875637835,1094,19,665
53,6,1.2841585562039604,673,2,44
53,1,3.5269372482908334,963,20,620
53,4,2.0950373744140305,1110,11,385
53,2,4.8684620320369385,1095,10,350
54,1,3.967936592176866,963,20,620
54,4,3.0619180656099894,1110,15,525
54,6,3.8362964458509623,673,12,264
54,2,4.606916042700011,1095,8,280
54,5,3.3203832674914375,1108,19,665
54,0,3.960418400806775,964,20,620
54,3,5.679779436338481,1094,20,700
55,2,2.988107318462684,1095,15,525
55,6,2.609878183232168,673,20,440
55,1,0.98296085504457,963,2,62
55,5,3.7449153934666377,1108,20,700
55,3,0.7528568927420733,1094,1,35
55,4,3.748473110188925,1110,20,700
55,0,1.7045273456569379,964,4,124
56,1,4.640978496983101,963,20,620
56,5,5.961111798925519,1108,18,630
56,6,1.5727125311152168,673,4,88
56,2,1.7594649069444739,1095,20,700
56,4,6.06401167213583,1110,20,700
56,0,4.592930774780266,964,19,589
56,3,1.296600319560278,1094,13,455
57,0,4.498911480318601,964,20,620
57,4,6.011383971785923,1110,12,420
57,6,1.1325917721595233,673,11,242
57,1,4.503660811480795,963,20,620
57,3,1.610463729689197,1094,5,175
57,2,2.2219250268519435,1095,20,700
57,5,4.848874110695667,1108,4,140
58,6,1.1025647960816012,673,11,242
58,5,2.645562947498085,1108,3,105
58,4,3.9998205084544622,1110,20,700
58,2,3.125073419962535,1095,20,700
58,1,3.2464564052890883,963,14,434
58,3,2.4615003562842985,1094,8,280
58,0,3.6161182463346386,964,20,620
59,6,3.433763969032675,673,6,132
59,1,5.207771825178923,963,20,620
59,3,5.875319825519162,1094,16,560
59,5,2.6086311358955765,1108,19,665
59,4,1.3976310025968997,1110,2,70
59,2,6.105669212534109,1095,20,700
59,0,5.210229557859065,964,20,620
60,0,4.438455975491675,964,20,620
60,3,6.002156450948992,1094,20,700
60,6,2.5436464082569583,673,13,286
60,2,5.290909020559843,1095,10,350
60,4,0.590365585830471,1110,4,140
60,5,1.0586967984208493,1108,8,280
60,1,4.464067624845984,963,20,620
61,1,3.0917017414152785,963,8,248
61,6,0.4148647329549221,673,7,154
61,4,3.278682627526793,1110,18,630
61,3,4.919731457820077,1094,20,700
61,2,4.923560131889301,1095,20,700
61,5,3.357598213908036,1108,20,700
61,0,2.840184960898741,964,5,155
62,4,5.195714243619177,1110,19,665
62,2,3.901424087517442,1095,20,700
62,3,3.2681326269823834,1094,9,315
62,1,2.762131413508578,963,20,620
62,6,0.234569809207033,673,2,44
62,5,5.225234283156947,1108,20,700
62,0,2.395438060800333,964,12,372
63,2,1.2394661777510094,1095,3,105
63,4,6.515156483408075,1110,20,700
63,1,3.0662794301551117,963,20,620
63,0,3.065180793517072,964,20,620
63,3,2.9080290825730697,1094,19,665
63,5,5.817104823069103,1108,10,350
63,6,1.5550604639663643,673,5,110
64,2,1.3460270041108147,1095,9,315
64,5,3.593046786672671,1108,3,105
64,0,4.160115746668194,964,20,620
64,3,2.2203423992792084,1094,20,700
64,6,2.144525312683082,673,5,110
64,1,4.1580489771345785,963,20,620
64,4,4.8478798953387345,1110,6,210
65,4,2.5737403761969917,1110,20,700
65,5,1.5301796346324112,1108,8,280
65,2,3.825051979782118,1095,20,700
65,3,3.7119807215163885,1094,18,630
65,1,3.6118646213191785,963,8,248
65,0,4.8097323789769195,964,20,620
65,6,2.611389665867057,673,17,374
66,1,4.889891262627329,963,8,248
66,2,6.464540785460108,1095,20,700
66,6,3.3033776333579072,673,20,440
66,5,1.321212414994181,1108,9,315
66,4,1.0992735519296273,1110,7,245
66,0,5.185074818043932,964,10,310
66,3,6.47513494632532,1094,20,700
67,6,2.0206121465292277,673,13,286
67,0,3.397345848167739,964,6,186
67,2,1.1165176710776759,1095,1,35
67,1,4.75242542413343,963,20,620
67,4,2.1342613282636402,1110,20,700
67,3,6.86454381866922,1094,20,700
67,5,1.9591737176533979,1108,17,595
68,0,1.0804270479517923,964,7,217
68,2,3.8498392139083815,1095,9,315
68,1,1.8164944136080956,963,17,527
68,4,4.846157370696007,1110,20,700
68,6,2.242053445248565,673,14,308
68,3,4.6312061165868394,1094,20,700
68,5,4.840163373769758,1108,20,700
