round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr
1,4717.5638647067235,438.7282717282717,2.0859862042363946,0.14464524971343437,2,0.2000247539008303,1.0
2,5263.432282003712,466.51519908662766,1.7798817167923162,0.005344410540629877,2,0.21737755046664106,1.0
3,5366.80034251463,502.7992007992008,1.6630164006184092,0.1354130834117678,4,0.18575236101428322,1.0
4,4631.113172541745,415.31811046096755,1.290171129556964,0.14078354775134022,5,0.19132779988182677,1.0
5,5004.953617810762,481.0323961752533,1.3435018880401788,0.13408412688692117,4,0.18411288921941302,1.0
6,4985.024975024977,431.2386185243328,1.0886882275610814,0.08828664178646561,3,0.20529579957404426,1.0
7,5219.658912516056,477.1975167689453,1.3536691105365666,0.12548892415868396,3,0.18111500466891314,1.0
8,5572.189239332098,503.59954331382903,1.4259074610760967,0.011335602179280781,3,0.18519255554232902,1.0
9,5125.184815184816,466.88054802340514,1.423582982995375,0.0210904669564767,5,0.19254941310220577,1.0
10,4912.554588268876,466.3368060510917,1.338083017230825,0.16409817805149352,1,0.19025482810070543,1.0
11,4534.479805908379,444.273298130441,1.2650108317060782,0.16913262713405378,3,0.21212159603802574,1.0
12,5254.671043242473,534.4671043242472,1.3957535153938918,0.2011731981447425,5,0.2011731981447425,1.0
13,5084.661053232483,427.82146425003566,0.9358897201426793,0.12214516875524442,2,0.21443006227720804,1.0
14,5089.028114742403,512.2621664050235,1.2074324853709149,0.17830971919438218,4,0.22193413759058353,1.0
15,4609.1380048522915,457.4127301270158,1.1150354479456301,0.24231786886998324,3,0.25728736531187635,1.0
16,4881.856714713858,424.01969459112314,0.8881619056317538,0.17474204044460637,2,0.21015756777200068,1.0
17,5160.589410589412,507.8846867418296,0.9756924615568687,0.23531578480693796,3,0.23531578480693796,1.0
18,4904.593977451122,476.02854288568574,1.0146991071680016,0.17022320214285025,4,0.2512260845896702,1.0
19,4989.182246325105,484.1669758812616,0.9620566368633743,0.18571814725497568,2,0.2669368872638323,1.0
20,5170.048522905667,488.74182959897246,0.9439229079768973,0.1887912974551771,1,0.26738458963384615,1.0
21,5073.34522620237,501.12801484230056,0.78834497433975,0.02271210064409445,1,0.24434186761963622,1.0
22,5553.577850720709,507.5737120022834,0.6585799593874025,0.23567738056200352,5,0.23567738056200352,1.0
23,4677.643784786644,458.54830883402315,0.8018054052810492,0.23849839882895216,5,0.24370544704428457,1.0
24,5055.420293991723,479.895818467247,0.7156461628732528,0.24048384342987947,5,0.24048384342987947,1.0
