round,client_id,update_norm,n_samples,local_epochs,tau
1,1,3.9770114216028256,963,20,620
1,3,2.627951773825233,1094,7,245
1,4,4.1139301835142525,1110,20,700
1,5,3.8430281844890626,1108,18,630
1,0,3.9115318819331057,964,20,620
1,6,1.7662987252089792,673,1,22
1,2,3.582201231837718,1095,15,525
2,5,3.2130283833500966,1108,12,420
2,1,3.5857261605215873,963,20,620
2,6,0.1462189414267762,673,15,330
2,2,3.4942281804099964,1095,20,700
2,0,3.4932778747652926,964,20,620
2,3,1.9900741620267557,1094,1,35
2,4,2.5054238937181514,1110,6,210
3,4,3.039141727426727,1110,15,525
3,3,3.7059182626581233,1094,20,700
3,1,3.5783232314255895,963,20,620
3,6,0.9592522243661125,673,10,220
3,5,3.841059359480426,1108,20,700
3,2,2.8013265053666476,1095,14,490
3,0,1.912688509923283,964,6,186
4,4,2.534220879175682,1110,8,280
4,6,0.2602326434435905,673,10,220
4,2,3.3745044375965443,1095,20,700
4,3,3.5898726938548386,1094,20,700
4,0,2.889513397842911,964,16,496
4,5,2.058781520439836,1108,2,70
4,1,3.3388881135243533,963,20,620
5,1,3.3022038585161724,963,16,496
5,3,4.020278236065275,1094,20,700
5,4,3.589727604080623,1110,20,700
5,5,0.9574732302485257,1108,2,70
5,0,3.1548573788728618,964,17,527
5,2,3.836176173831425,1095,20,700
5,6,0.7190801797090988,673,9,198
6,0,1.2549709125308444,964,3,93
6,4,3.5631208850960925,1110,18,630
6,3,1.6749340363155338,1094,4,140
6,1,3.5587589509810695,963,20,620
6,5,1.5505479416565644,1108,4,140
6,2,4.063428776357997,1095,20,700
6,6,0.44432033223482187,673,20,440
7,6,0.4898557794327601,673,20,440
7,4,2.9815077050930614,1110,13,455
7,5,1.4615149705884498,1108,4,140
7,0,3.678275593977236,964,20,620
7,2,4.348248613193287,1095,20,700
7,1,3.2190951510701433,963,17,527
7,3,3.328841926710687,1094,15,525
8,0,1.9630799384454178,964,7,217
8,4,3.8678398643214997,1110,17,595
8,2,4.304430108557578,1095,20,700
8,5,4.076784014608395,1108,19,665
8,3,4.437884008613343,1094,20,700
8,1,3.048155590233394,963,15,465
8,6,0.35727588175448105,673,20,440
9,6,2.6860062494312964,673,3,66
9,5,4.408572473689394,1108,20,700
9,4,4.004127696849488,1110,17,595
9,2,3.6900426091324947,1095,14,490
9,1,4.060729844488524,963,20,620
9,3,4.6305222022122745,1094,20,700
9,0,3.8353244886229856,964,17,527
10,3,1.644641378049295,1094,1,35
10,5,2.2490751276417345,1108,5,175
10,2,4.380131474985348,1095,20,700
10,4,3.483277995499358,1110,13,455
10,0,3.809813012405528,964,20,620
10,1,2.561571806240655,963,8,248
10,6,0.1506143549469929,673,20,440
11,0,2.1288062868217037,964,7,217
11,2,4.038916961729671,1095,20,700
11,3,2.873385372859083,1094,8,280
11,5,4.3448726624017855,1108,20,700
11,4,4.429506877875419,1110,20,700
11,6,0.7016719701325104,673,3,66
11,1,2.312582159464096,963,6,186
12,6,0.282126668144515,673,20,440
12,2,1.7218384864907732,1095,3,105
12,5,4.171681644785045,1108,17,595
12,0,2.821985870473933,964,12,372
12,4,4.377504128195439,1110,20,700
12,1,4.183684716236417,963,19,589
12,3,3.7658891504599317,1094,20,700
13,1,3.23641548072513,963,20,620
13,0,2.7397131258171488,964,16,496
13,4,3.2937489515725993,1110,20,700
13,6,0.5391452243794925,673,8,176
13,2,1.879160888541586,1095,4,140
13,3,4.132977810724294,1094,19,665
13,5,3.979440612508392,1108,20,700
14,5,3.905435681079558,1108,18,630
14,0,4.072273168030797,964,20,620
14,2,2.896617121360676,1095,20,700
14,1,3.167344684541986,963,20,620
14,4,2.133248512925557,1110,3,105
14,6,0.2712818411526218,673,2,44
14,3,3.0939298066003937,1094,15,525
15,4,3.109029859451323,1110,20,700
15,1,2.799519258266028,963,14,434
15,2,4.142718509614074,1095,20,700
15,3,3.1387434053872445,1094,11,385
15,6,0.5068149066578624,673,20,440
15,0,3.306277879733514,964,15,465
15,5,3.0278603718235653,1108,13,455
16,5,2.8808918230754146,1108,20,700
16,3,2.3174918732240295,1094,7,245
16,6,0.40322614287118974,673,20,440
16,4,3.812528719590232,1110,17,595
16,2,1.410051990735038,1095,1,35
16,0,2.379153809100125,964,20,620
16,1,2.6415321575974997,963,12,372
17,1,1.7927608215494966,963,3,93
17,4,3.3940724920815066,1110,20,700
17,3,2.756129389670584,1094,17,595
17,0,2.8956882035336786,964,20,620
17,2,3.4296012779035756,1095,18,630
17,5,1.9496785621580808,1108,4,140
17,6,0.4703440795248975,673,20,440
18,2,3.0215335827633374,1095,12,420
18,1,1.241636495451251,963,1,31
18,3,2.477485630160999,1094,13,455
18,0,2.541366012557745,964,20,620
18,6,0.4205155843192727,673,2,44
18,5,2.9060134738095553,1108,20,700
18,4,2.4042361215849506,1110,20,700
19,6,0.429350758126202,673,20,440
19,3,2.2769791778002215,1094,8,280
19,0,2.3199419382945545,964,20,620
19,4,2.766658502454396,1110,20,700
19,5,2.9298233549137556,1108,11,385
19,1,2.898071188174703,963,18,558
19,2,2.5378002498628507,1095,12,420
20,6,0.40057682319699206,673,1,22
20,0,2.0090672455291902,964,20,620
20,2,2.9724857726869844,1095,19,665
20,3,2.628958654622125,1094,7,245
20,1,1.7109104093183807,963,14,434
20,5,3.2919449933892335,1108,20,700
20,4,3.0196321525135823,1110,20,700
21,1,1.7469888927676975,963,5,155
21,5,2.1238154201091533,1108,4,140
21,0,2.5399333314766004,964,11,341
21,3,2.617469337490551,1094,20,700
21,6,0.35272837383275873,673,20,440
21,2,2.560573417643695,1095,13,455
21,4,2.882005774438023,1110,20,700
22,4,2.717344306439736,1110,10,350
22,1,2.0543642806014324,963,15,465
22,2,2.1184291087934977,1095,20,700
22,3,2.2841650789300276,1094,20,700
22,5,1.9174434943015979,1108,5,175
22,6,0.4496412647746623,673,16,352
22,0,2.3847400534468566,964,20,620
23,6,0.4125268119218047,673,20,440
23,3,2.9295271612097027,1094,13,455
23,2,2.0906478757711255,1095,18,630
23,1,1.8618655405794928,963,18,558
23,4,1.3009797519308741,1110,1,35
23,5,2.2407277200758298,1108,20,700
23,0,1.893322912442527,964,20,620
24,5,2.3154115400983035,1108,17,595
24,3,1.506626700568928,1094,20,700
24,4,2.1548145461180006,1110,15,525
24,1,1.9329607820202135,963,10,310
24,2,1.9908539128153298,1095,20,700
24,0,1.7605742823151627,964,20,620
24,6,0.2874932689078556,673,1,22
25,4,2.3024395869604173,1110,5,175
25,0,1.983806888652991,964,10,310
25,1,1.1459445800342485,963,2,62
25,5,1.7286634155532328,1108,20,700
25,2,2.4816110273218452,1095,20,700
25,6,0.34548731243953945,673,20,440
25,3,1.768968620691484,1094,12,420
26,2,2.0907897856996684,1095,19,665
26,5,2.4243141340426675,1108,13,455
26,6,0.3253207235532958,673,20,440
26,1,1.9750250497617283,963,20,620
26,0,3.145609646390839,964,13,403
26,4,2.584613111641027,1110,20,700
26,3,1.6157324778397473,1094,8,280
27,1,2.2098699668663313,963,20,620
27,2,1.724704669280611,1095,20,700
27,0,1.348197380582122,964,1,31
27,4,2.813109736320337,1110,14,490
27,6,0.42461600736299454,673,9,198
27,3,1.7483202643658835,1094,20,700
27,5,2.306452978228112,1108,15,525
28,1,2.2711580605678745,963,8,248
28,0,2.531425974930363,964,8,248
28,2,3.271520108347576,1095,20,700
28,5,1.8004952678685036,1108,17,595
28,6,0.27691599927844424,673,20,440
28,4,1.5266873149158102,1110,20,700
28,3,2.20401745890376,1094,5,175
29,0,2.0843054841375808,964,20,620
29,5,1.8856627791117075,1108,18,630
29,1,1.4449383955272768,963,4,124
29,3,1.58537421077904,1094,4,140
29,4,2.1630521646874508,1110,15,525
29,2,1.68319999497383,1095,20,700
29,6,0.4906493521159211,673,20,440
30,3,1.9504043240489368,1094,3,105
30,4,1.855771352282467,1110,20,700
30,2,2.28155188113016,1095,18,630
30,5,1.6315483861728326,1108,20,700
30,6,0.2548089457348998,673,1,22
30,0,1.4266583720314678,964,20,620
30,1,1.287535685477172,963,3,93
31,0,1.7429870276781187,964,20,620
31,3,1.7912006180933053,1094,20,700
31,5,1.8177650449306582,1108,14,490
31,1,1.6231086274611952,963,19,589
31,6,0.33340967971741214,673,13,286
31,4,1.7785620206977408,1110,8,280
31,2,1.6396291698664462,1095,20,700
32,6,0.2555028711612125,673,14,308
32,1,1.8772201778635103,963,17,527
32,0,1.8984579677617792,964,20,620
32,2,2.6310948885321066,1095,15,525
32,4,1.0994344647986618,1110,1,35
32,3,2.496651067051313,1094,20,700
32,5,1.6450440176775236,1108,20,700
33,6,0.34641619260772116,673,10,220
33,4,1.74324704681627,1110,20,700
33,0,1.8538652204585735,964,20,620
33,3,1.6123159034381465,1094,8,280
33,5,1.6811930431979434,1108,9,315
33,2,2.0695122924136533,1095,20,700
33,1,1.477578458476265,963,17,527
34,1,1.5606760574115877,963,20,620
34,5,1.3891040101687757,1108,6,210
34,3,1.8511695473210692,1094,9,315
34,2,2.56563185093511,1095,20,700
34,4,1.6895077198265287,1110,5,175
34,6,0.27541081459995065,673,20,440
34,0,2.6051313107633725,964,15,465
35,1,2.9638238191923794,963,19,589
35,2,2.0419009759058766,1095,4,140
35,4,2.064411911576998,1110,9,315
35,5,2.455430689694615,1108,20,700
35,0,1.7646250474108804,964,15,465
35,3,2.1606603344977016,1094,20,700
35,6,0.3835435192353033,673,20,440
36,4,1.657721027126413,1110,7,245
36,0,2.949936031036032,964,20,620
36,6,0.3743154565351655,673,1,22
36,3,2.7692985132634655,1094,19,665
36,1,3.3224780912713077,963,14,434
36,2,1.697321985384242,1095,20,700
36,5,2.818641152899483,1108,20,700
37,3,1.9768030659277536,1094,12,420
37,5,1.975964525876928,1108,20,700
37,0,1.5518801158694782,964,20,620
37,1,1.6476571197762122,963,14,434
37,2,2.081202976217351,1095,20,700
37,6,0.2812831735241822,673,12,264
37,4,1.5044148952026224,1110,18,630
38,1,1.4379592967634038,963,7,217
38,5,2.0288986779364473,1108,4,140
38,6,0.3117334361373344,673,9,198
38,3,2.65549968815051,1094,20,700
38,0,1.2325762323265979,964,20,620
38,2,1.5728899643594807,1095,14,490
38,4,2.115919808022909,1110,20,700
39,2,2.534826662272418,1095,20,700
39,0,1.7137639776057818,964,12,372
39,5,1.4211153799078078,1108,9,315
39,4,1.4659206560502513,1110,20,700
39,6,0.4238685307717203,673,6,132
39,1,1.3986914299015276,963,18,558
39,3,2.2277624865633374,1094,20,700
40,5,1.4398343280420611,1108,6,210
40,2,2.5959926044749646,1095,20,700
40,6,0.3177250380331946,673,18,396
40,4,2.138990292122933,1110,20,700
40,3,1.6584555488617843,1094,20,700
40,1,1.6501940974747789,963,13,403
40,0,1.6117019762725286,964,7,217
41,4,1.5592510277818172,1110,10,350
41,3,2.1755889639239534,1094,6,210
41,6,0.3813556470314963,673,15,330
41,1,1.0124109754134292,963,20,620
41,5,1.4490971783303281,1108,20,700
41,0,2.2864642586621833,964,8,248
41,2,2.3332244004295317,1095,20,700
42,5,1.789975916482817,1108,18,630
42,4,2.1648581743740634,1110,17,595
42,3,2.803811844520573,1094,20,700
42,2,1.89985317537449,1095,20,700
42,1,1.594305498187462,963,11,341
42,6,0.4043702707605766,673,20,440
42,0,1.5223979137752748,964,1,31
43,2,2.559784295239274,1095,14,490
43,5,1.5901291700060918,1108,1,35
43,6,0.2232328316674105,673,8,176
43,0,0.8732786936702482,964,20,620
43,1,0.9307235482088005,963,20,620
43,3,2.288580187512611,1094,20,700
43,4,1.7314864636160567,1110,11,385
44,5,1.6133958533588342,1108,6,210
44,2,1.7102274994178785,1095,20,700
44,1,2.163789620159542,963,12,372
44,3,1.648563619701615,1094,20,700
44,4,1.1921810515648836,1110,20,700
44,0,1.8057333210947575,964,6,186
44,6,0.4471621797184482,673,7,154
45,5,1.771459728088062,1108,20,700
45,0,0.6631773635727387,964,20,620
45,6,0.27600247166903197,673,20,440
45,3,2.032968647364622,1094,8,280
45,1,0.7463858501007964,963,9,279
45,4,2.0752339482502764,1110,4,140
45,2,1.8216899618712272,1095,10,350
46,2,2.0320904108543294,1095,8,280
46,0,2.018883365716183,964,11,341
46,1,1.7447500324940424,963,14,434
46,4,1.1683037803474319,1110,20,700
46,5,1.4047657236053084,1108,20,700
46,6,0.2754781330365257,673,8,176
46,3,1.8720064169632364,1094,20,700
47,2,1.8697722501972496,1095,12,420
47,5,1.871660765179241,1108,16,560
47,4,1.9203079714743156,1110,20,700
47,0,0.9229644455211893,964,19,589
