experiment_label,condition_label,algorithm,n,mean_norm_c0,mean_norm_c1,mean_influence,sd_influence,mean_macro,mean_rare
Asymmetric per-client LR (D1),fedavg,fedavg,3,0.25188684108206333,0.8701623508788124,3.455068377731036,0.06523128737617427,0.4573348964310526,0.22998906864494664
Asymmetric per-client LR (D1),fedavg lr=2:1,fedavg,3,0.18887518541351922,0.5947737198499703,3.1515059705455255,0.12346029186305844,0.42494254431638206,0.16358887752440124
Asymmetric per-client LR (D1),fedavg lr=5:1,fedavg,3,0.15903131814335073,0.4043448889696622,2.545983131420005,0.11274518468162413,0.3747052450815493,0.03583933061781163
Asymmetric per-client LR (D1),fednova,fednova,3,0.4993249136597518,0.2594183676693176,0.5179243124626857,0.04059657627421037,0.5092459418049938,0.35909521319058585
Asymmetric per-client LR (D1),fednova lr=2:1,fednova,3,0.5322599678317447,0.3013313261572443,0.5661715159059537,0.005972650251733301,0.525545813700503,0.4058872733177638
Asymmetric per-client LR (D1),fednova lr=5:1,fednova,3,0.48280255457920074,0.23588449061323938,0.4886762007900571,0.011035389821449795,0.5035489839097651,0.35854392136684626
Asymmetric per-client LR (D1),fedprox μ=0.01,fedprox,3,0.19748540939091294,0.73140137866982,3.7046375027451166,0.07399811874695271,0.4913393746774534,0.31509085669648557
Asymmetric per-client LR (D1),fedprox μ=0.01 lr=2:1,fedprox,3,0.16646414343788946,0.5322330957397028,3.198592875015637,0.0861417556009361,0.46159175176655953,0.2503046837524531
Asymmetric per-client LR (D1),fedprox μ=0.01 lr=5:1,fedprox,3,0.13507187633676457,0.36698616591265604,2.719488076011612,0.09376934129310327,0.3924171987046656,0.06875117820552173
Asymmetric per-client μ,fedavg,fedavg,3,0.2411932143285708,0.8679018819804435,3.5998143767404365,0.07292957888160857,0.4684978236574154,0.2745614959143277
Asymmetric per-client μ,fedprox μ=0.01,fedprox,3,0.2030811324553827,0.7240687391929305,3.573056580682358,0.20926587786845385,0.47945889400618563,0.30332551871491353
Asymmetric per-client μ,"fedprox μ=0.01 μ_PC=(0,0.01)",fedprox,3,0.22855746125325582,0.7744926999047582,3.3895790098458143,0.09901069783579029,0.4635861109540231,0.2686185719862595
Asymmetric per-client μ,"fedprox μ=0.01 μ_PC=(0.01,0)",fedprox,3,0.21616610056363303,0.8005925955805692,3.70349151863894,0.038586738990737564,0.4954147797210043,0.32069039335931654
Engineered 90/10 baseline,fedavg,fedavg,3,0.24907707584678387,0.8692127791533238,3.4900568448878686,0.051782913983645276,0.48958550502570475,0.33067112422058836
Engineered 90/10 baseline,fedprox μ=0.01,fedprox,3,0.19956667630469338,0.7240074082396842,3.628133779273457,0.04095849924713777,0.4846391417875798,0.29559223088166525
FedProx × loss type (B2),fedavg,fedavg,3,0.24527166680801116,0.868278495035121,3.540683178065437,0.051335895026625486,0.4765833633424618,0.28534917980169894
FedProx × loss type (B2),fedavg loss=weighted_ce,fedavg,3,0.3243134906025908,0.9913815329743438,3.0571645498571716,0.01830051589323806,0.50526323788671,0.3672010595515031
FedProx × loss type (B2),fedprox μ=0.01,fedprox,3,0.20007818013165854,0.7261064112456186,3.6293189306207476,0.019059814604114038,0.4782028659248201,0.2906060270854311
FedProx × loss type (B2),fedprox μ=0.01 loss=weighted_ce,fedprox,3,0.2596173710223549,0.8210360299921509,3.1639528307715845,0.0924097278459773,0.503157092149913,0.3459500270889963
Heterogeneity-ladder L4,fedavg,fedavg,1,1.0865041728349583,2.928160520298262,2.695029244717916,0.0,0.5179682047532733,0.3879491270930339
Heterogeneity-ladder L4,fednova,fednova,1,2.376580522288563,1.8510640118673534,0.7788770439323655,0.0,0.5061880785004599,0.3732105850470269
Heterogeneity-ladder L4,fedprox μ=0.01,fedprox,1,0.44310296578661335,1.6089072195591625,3.6310007916624274,0.0,0.4922805538101406,0.31232892017205743
Li 2020 §5.2 (drop+straggler),fedavg,fedavg,3,0.24691732535119107,0.8696207868274776,3.522492271587669,0.03779172245389424,0.4850609733475597,0.3164875932228813
Li 2020 §5.2 (drop+straggler),fedprox μ=0.01 +sh-fixed,fedprox,3,0.20826247674614584,0.7452500930328197,3.579103165216008,0.05366837322006607,0.4790783082898693,0.29050887079374066
Node-pinned symmetric,fedavg,fedavg,3,0.25180688441922827,0.8748664444533544,3.4795181377413584,0.15825183979503732,0.49196920851356113,0.32177804298764967
Node-pinned symmetric,fedprox μ=0.01,fedprox,3,0.19809561987247237,0.723018572369638,3.6497650534318815,0.009631357160423902,0.49721461989919075,0.327726849481877
Perfect-storm (Li recipe),fedprox μ=0.01 +sh-rand,fedprox,3,0.22796036841030246,0.7503306280134949,3.292900648039914,0.06383397350754179,0.4913091825067384,0.32708440562885105
Perfect-storm (Li recipe),fedprox μ=1.0 +sh-rand,fedprox,3,0.2090697299316582,0.3099327947862482,1.4828750095178596,0.04200264985132453,0.3653595678546764,0.04327089640595327
