experiment,condition_role,algorithm,mu,seed,file,best_val,final_round,last_K_mean,n_rounds
perfect_storm_L4,treatment,fedprox,1.0,42,history_fedprox_mu1.0_E20_sh-random_stragglers_s42.csv,0.3878695181331447,0.3878695181331447,0.3526879249939904,150
perfect_storm_L4,baseline,fedavg,0.0,456,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s456.csv,0.0304475994501706,0.0304475994501706,0.030447599450170604,150
perfect_storm_L4,baseline,fedavg,0.0,123,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s123.csv,0.1147989734816082,0.1147989734816082,0.1147989734816082,150
perfect_storm_L4,baseline,fedavg,0.0,42,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s42.csv,0.1143883046935111,0.1143883046935111,0.11438830469351109,150
perfect_storm_L4,treatment,fedprox,1.0,123,history_fedprox_mu1.0_E20_sh-random_stragglers_s123.csv,0.3651421642904579,0.3191909379356367,0.3379094695931968,150
perfect_storm_L4,treatment,fedprox,1.0,456,history_fedprox_mu1.0_E20_sh-random_stragglers_s456.csv,0.386000473713699,0.3481473114435306,0.31991145110822716,150
li2020_asymmetric_L4,baseline,fedavg,0.0,42,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s42.csv,0.3510353165906328,0.345024976670861,0.34467467411470265,150
li2020_asymmetric_L4,treatment,fedprox,0.01,456,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s456.csv,0.5122323115887858,0.4623198995240162,0.48357244545688693,150
li2020_asymmetric_L4,baseline,fedavg,0.0,456,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s456.csv,0.371550803013643,0.3694225044388278,0.36767488478133786,150
li2020_asymmetric_L4,treatment,fedprox,0.01,42,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s42.csv,0.4754885452500729,0.4459612717424162,0.44607850173594965,150
li2020_asymmetric_L4,treatment,fedprox,0.01,123,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s123.csv,0.5242683809604527,0.4434839177588088,0.46656831295014395,150
li2020_asymmetric_L4,baseline,fedavg,0.0,123,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s123.csv,0.3758036548240688,0.3720668941448162,0.3709950713749345,150
node_pinned_L4,treatment,fedprox,0.01,123,history_fedprox_mu0.01_E20_s123.csv,0.5418748054707506,0.5239643986589912,0.5127271428117369,150
node_pinned_L4,treatment,fedprox,0.01,456,history_fedprox_mu0.01_E20_s456.csv,0.499346421901028,0.474397458116364,0.48138246553102426,150
node_pinned_L4,baseline,fedavg,0.0,456,history_fedavg_mu0.0_E20_s456.csv,0.5332887167317891,0.4859165417799907,0.47134606589963984,150
node_pinned_L4,baseline,fedavg,0.0,123,history_fedavg_mu0.0_E20_s123.csv,0.5073396016625832,0.4020654367403469,0.4076239105354375,150
node_pinned_L4,treatment,fedprox,0.01,42,history_fedprox_mu0.01_E20_s42.csv,0.4936662637825317,0.4368849810478947,0.44676153896722387,150
node_pinned_L4,baseline,fedavg,0.0,42,history_fedavg_mu0.0_E20_s42.csv,0.4484224562984134,0.4442339801653555,0.41556489371817734,150
extended_rounds_L3,treatment,fedprox,0.01,123,history_fedprox_mu0.01_E20_s123.csv,0.5912444968731042,0.540210758355646,0.5537374167206561,250
extended_rounds_L3,treatment,fedprox,0.01,456,history_fedprox_mu0.01_E20_s456.csv,0.5894729837364622,0.5577539876174373,0.5747046124323351,250
extended_rounds_L3,baseline,fedavg,0.0,456,history_fedavg_mu0.0_E20_s456.csv,0.5420975372351948,0.5292894524157715,0.5166492034159385,250
extended_rounds_L3,baseline,fedavg,0.0,123,history_fedavg_mu0.0_E20_s123.csv,0.6125260639019127,0.5970916083495548,0.5818524206959245,250
extended_rounds_L3,treatment,fedprox,0.01,42,history_fedprox_mu0.01_E20_s42.csv,0.5500984168037049,0.5027774377084184,0.5153699774152474,250
extended_rounds_L3,baseline,fedavg,0.0,42,history_fedavg_mu0.0_E20_s42.csv,0.5420897589627606,0.5155047797317595,0.49926511420329706,250
asymmetric_mu_L4_vs_FedAvg,treatment,fedprox,0.01,456,history_fedprox_mu0.01_E20_muPC-c0m0.01-c1m0.0_s456.csv,0.524111856453301,0.4496851196068814,0.4878054466017985,150
asymmetric_mu_L4_vs_FedAvg,baseline,fedavg,0.0,456,history_fedavg_mu0.0_E20_s456.csv,0.4792311826305755,0.4437261965179113,0.4557411405403979,150
asymmetric_mu_L4_vs_FedAvg,treatment,fedprox,0.01,123,history_fedprox_mu0.01_E20_muPC-c0m0.01-c1m0.0_s123.csv,0.5255213704043445,0.5236779386295013,0.4889695258347665,150
asymmetric_mu_L4_vs_FedAvg,baseline,fedavg,0.0,123,history_fedavg_mu0.0_E20_s123.csv,0.496504834891394,0.4638464406227912,0.4422727337153824,150
asymmetric_mu_L4_vs_FedAvg,treatment,fedprox,0.01,42,history_fedprox_mu0.01_E20_muPC-c0m0.01-c1m0.0_s42.csv,0.5093891327413418,0.5083049309169761,0.4808778131424435,150
asymmetric_mu_L4_vs_FedAvg,baseline,fedavg,0.0,42,history_fedavg_mu0.0_E20_s42.csv,0.4548998255405829,0.4247543669571312,0.41387916719493373,150
two_client_90_10_rare_stress,treatment,fedprox,0.01,123,history_fedprox_mu0.01_E20_s123.csv,0.5418748054707506,0.5239643986589912,0.5127271428117369,150
two_client_90_10_rare_stress,treatment,fedprox,0.01,456,history_fedprox_mu0.01_E20_s456.csv,0.499346421901028,0.474397458116364,0.48138246553102426,150
two_client_90_10_rare_stress,baseline,fedavg,0.0,456,history_fedavg_mu0.0_E20_s456.csv,0.5162002616888574,0.4817968071327951,0.4803185252108354,150
two_client_90_10_rare_stress,baseline,fedavg,0.0,123,history_fedavg_mu0.0_E20_s123.csv,0.4847111673812805,0.4282225894469929,0.4273187932768908,150
two_client_90_10_rare_stress,treatment,fedprox,0.01,42,history_fedprox_mu0.01_E20_s42.csv,0.5037097988119953,0.4567210717848456,0.4507748711249257,150
two_client_90_10_rare_stress,baseline,fedavg,0.0,42,history_fedavg_mu0.0_E20_s42.csv,0.4756367637589629,0.3570440481734189,0.42071669009024504,150
