experiment,seed,baseline_label,treatment_label,delta_best_val,delta_final_round,delta_last_K_mean,sign_best_val,sign_final_round,sign_last_K_mean,flips_between_protocols,max_abs_protocol_diff
asymmetric_mu_L4_vs_FedAvg,42,FedAvg,FedProx anchor-large,0.054489307200758896,0.08355056395984495,0.06699864594750976,1,1,1,False,0.02906125675908605
asymmetric_mu_L4_vs_FedAvg,123,FedAvg,FedProx anchor-large,0.029016535512950525,0.059831498006710115,0.0466967921193841,1,1,1,False,0.03081496249375959
asymmetric_mu_L4_vs_FedAvg,456,FedAvg,FedProx anchor-large,0.044880673822725536,0.005958923088970114,0.032064306061400594,1,1,1,False,0.03892175073375542
extended_rounds_L3,42,FedAvg @ 250r,FedProx μ=0.01 @ 250r,0.008008657840944289,-0.012727342023341026,0.016104863211950315,1,-1,1,True,0.02883220523529134
extended_rounds_L3,123,FedAvg @ 250r,FedProx μ=0.01 @ 250r,-0.021281567028808457,-0.056880849993908744,-0.028115003975268338,-1,-1,-1,False,0.03559928296510029
extended_rounds_L3,456,FedAvg @ 250r,FedProx μ=0.01 @ 250r,0.04737544650126735,0.028464535201665808,0.05805540901639661,1,1,1,False,0.0295908738147308
li2020_asymmetric_L4,42,FedAvg + drop + straggler,FedProx + γ-inexact + straggler,0.12445322865944008,0.10093629507155516,0.101403827621247,1,1,1,False,0.023516933587884925
li2020_asymmetric_L4,123,FedAvg + drop + straggler,FedProx + γ-inexact + straggler,0.1484647261363839,0.0714170236139926,0.09557324157520947,1,1,1,False,0.07704770252239129
li2020_asymmetric_L4,456,FedAvg + drop + straggler,FedProx + γ-inexact + straggler,0.14068150857514278,0.0928973950851884,0.11589756067554907,1,1,1,False,0.04778411348995437
node_pinned_L4,42,FedAvg (symmetric),FedProx μ=0.01 (symmetric),0.045243807484118326,-0.007348999117460786,0.03119664524904653,1,-1,1,True,0.05259280660157911
node_pinned_L4,123,FedAvg (symmetric),FedProx μ=0.01 (symmetric),0.023412913426475557,0.10709256157085278,0.1032576481327438,1,1,1,False,0.08367964814437723
node_pinned_L4,456,FedAvg (symmetric),FedProx μ=0.01 (symmetric),-0.04983497033794132,-0.04786572353247692,-0.011387633506486583,-1,-1,-1,False,0.03844733683145474
perfect_storm_L4,42,FedAvg + drop,FedProx μ=1.0 + γ-inexact,0.2734812134396336,0.2734812134396336,0.2382996203004793,1,1,1,False,0.03518159313915431
perfect_storm_L4,123,FedAvg + drop,FedProx μ=1.0 + γ-inexact,0.2503431908088497,0.2043919644540285,0.2231104961115886,1,1,1,False,0.04595122635482121
perfect_storm_L4,456,FedAvg + drop,FedProx μ=1.0 + γ-inexact,0.3555528742635284,0.31769971199336,0.28946385165805655,1,1,1,False,0.06608902260547184
two_client_90_10_rare_stress,42,FedAvg (baseline),FedProx μ=0.01 (baseline),0.02807303505303238,0.09967702361142672,0.030058181034680664,1,1,1,False,0.07160398855839434
two_client_90_10_rare_stress,123,FedAvg (baseline),FedProx μ=0.01 (baseline),0.057163638089470115,0.09574180921199837,0.0854083495348461,1,1,1,False,0.03857817112252826
two_client_90_10_rare_stress,456,FedAvg (baseline),FedProx μ=0.01 (baseline),-0.01685383978782934,-0.007399349016431078,0.0010639403201888609,-1,-1,1,True,0.0179177801080182
