source,partition,algorithm,mu,seed,unequal_E,drop_stragglers,file,std_last_K,mean_last_K,range_last_K,n_rounds
symmetric L4 (node_pinned),L4,fedprox,0.01,123,False,False,history_fedprox_mu0.01_E20_s123.csv,0.0241057704716549,0.5127271428117369,0.08055992762181002,150
symmetric L4 (node_pinned),L4,fedprox,0.01,456,False,False,history_fedprox_mu0.01_E20_s456.csv,0.01824275569989839,0.48138246553102426,0.04891448924996311,150
symmetric L4 (node_pinned),L4,fedavg,0.0,456,False,False,history_fedavg_mu0.0_E20_s456.csv,0.019346469781363312,0.47134606589963984,0.06300874501557979,150
symmetric L4 (node_pinned),L4,fedavg,0.0,123,False,False,history_fedavg_mu0.0_E20_s123.csv,0.037306009469611615,0.4076239105354375,0.13093294147122897,150
symmetric L4 (node_pinned),L4,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.026901936930966958,0.44676153896722387,0.07601019032986761,150
symmetric L4 (node_pinned),L4,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.024801921310755867,0.41556489371817734,0.0824248776506416,150
symmetric L4 (90/10 baseline),L4,fedprox,0.01,123,False,False,history_fedprox_mu0.01_E20_s123.csv,0.0241057704716549,0.5127271428117369,0.08055992762181002,150
symmetric L4 (90/10 baseline),L4,fedprox,0.01,456,False,False,history_fedprox_mu0.01_E20_s456.csv,0.01824275569989839,0.48138246553102426,0.04891448924996311,150
symmetric L4 (90/10 baseline),L4,fedavg,0.0,456,False,False,history_fedavg_mu0.0_E20_s456.csv,0.019597051769105697,0.4803185252108354,0.05702015834978624,150
symmetric L4 (90/10 baseline),L4,fedavg,0.0,123,False,False,history_fedavg_mu0.0_E20_s123.csv,0.037699658218930565,0.4273187932768908,0.12449349098002921,150
symmetric L4 (90/10 baseline),L4,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.022040700736545744,0.4507748711249257,0.0848060681403422,150
symmetric L4 (90/10 baseline),L4,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.04049061132351577,0.42071669009024504,0.11859271558554402,150
extended L3 (250r),L3,fedprox,0.01,123,False,False,history_fedprox_mu0.01_E20_s123.csv,0.012741578044936093,0.5537374167206561,0.04647587469890668,250
extended L3 (250r),L3,fedprox,0.01,456,False,False,history_fedprox_mu0.01_E20_s456.csv,0.013267725368399548,0.5747046124323351,0.031216583705784617,250
extended L3 (250r),L3,fedavg,0.0,456,False,False,history_fedavg_mu0.0_E20_s456.csv,0.009109442887532586,0.5166492034159385,0.02749485120888362,250
extended L3 (250r),L3,fedavg,0.0,123,False,False,history_fedavg_mu0.0_E20_s123.csv,0.015219776302726312,0.5818524206959245,0.046563699747081855,250
extended L3 (250r),L3,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.014275282988870305,0.5153699774152474,0.041211400424762235,250
extended L3 (250r),L3,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.022363614646894313,0.49926511420329706,0.07751993145055897,250
L4 asymmetric μ,L4,fedprox,0.01,123,False,False,history_fedprox_mu0.01_E20_s123.csv,0.017549873532534302,0.5050224197875395,0.05854591937144338,150
L4 asymmetric μ,L4,fedprox,0.01,456,False,False,history_fedprox_mu0.01_E20_s456.csv,0.025127350319972677,0.4801978793886728,0.07842025283184634,150
L4 asymmetric μ,L4,fedprox,0.01,123,False,False,history_fedprox_mu0.01_E20_muPC-c0m0.0-c1m0.01_s123.csv,0.009447478359050179,0.42669650867352155,0.03543772935705847,150
L4 asymmetric μ,L4,fedprox,0.01,456,False,False,history_fedprox_mu0.01_E20_muPC-c0m0.01-c1m0.0_s456.csv,0.02618092816598353,0.4878054466017985,0.07442673684641965,150
L4 asymmetric μ,L4,fedavg,0.0,456,False,False,history_fedavg_mu0.0_E20_s456.csv,0.017725276407653104,0.4557411405403979,0.06054960596849701,150
L4 asymmetric μ,L4,fedprox,0.01,123,False,False,history_fedprox_mu0.01_E20_muPC-c0m0.01-c1m0.0_s123.csv,0.018302748465312612,0.4889695258347665,0.06229981875634649,150
