round,client_id,update_norm,n_samples,local_epochs
<<<<<<< HEAD
1,0,8.897727572632428,6049,20
1,1,4.045206704982543,958,20
2,0,7.955128757251817,6049,20
2,1,4.7352996442638675,958,20
3,1,4.6543924730534325,958,20
3,0,8.9097798414131,6049,20
4,1,6.106500416110833,958,20
4,0,8.224754520157342,6049,20
5,0,3.535969333725199,6049,20
5,1,4.726602583884187,958,20
6,0,0.49707547921306455,6049,20
6,1,5.240057339961246,958,20
7,0,0.5320142664931314,6049,20
7,1,5.680568258945265,958,20
8,1,3.6212849306154125,958,20
8,0,6.439418132734067,6049,20
9,1,5.91874963475621,958,20
9,0,0.5418725725032579,6049,20
10,0,0.6981056183395928,6049,20
10,1,3.7776488916545192,958,20
11,0,1.126913987710687,6049,20
11,1,4.539527196470861,958,20
12,1,3.851739854348879,958,20
12,0,2.30112673053659,6049,20
13,1,4.118512805300482,958,20
13,0,2.108538288634676,6049,20
14,1,4.432011200952241,958,20
14,0,0.6328397867131447,6049,20
15,0,2.0217768469304978,6049,20
15,1,3.106316040971494,958,20
16,1,3.6528546640797623,958,20
16,0,0.3537974429245849,6049,20
17,0,0.5166977808264805,6049,20
17,1,3.2676807878329277,958,20
18,1,3.2660563616609095,958,20
18,0,0.515690757952325,6049,20
19,0,0.6542287852247165,6049,20
19,1,3.2955338964900176,958,20
20,0,0.4352664277883086,6049,20
20,1,3.561247584375246,958,20
21,1,2.9458116916359183,958,20
21,0,0.977935346426839,6049,20
22,1,3.402312540561146,958,20
22,0,0.3715409167070858,6049,20
23,1,2.625715243373976,958,20
23,0,2.588608710284645,6049,20
24,0,0.3174424790413628,6049,20
24,1,3.5424437102823307,958,20
25,1,2.333250211631418,958,20
25,0,1.322981407625122,6049,20
26,0,0.3242293435707335,6049,20
26,1,3.8331543618592723,958,20
27,0,1.4212560639945702,6049,20
27,1,2.110311087815583,958,20
28,1,3.934210576774356,958,20
28,0,0.289185258262899,6049,20
29,1,2.184842444472788,958,20
29,0,0.7421394846201352,6049,20
30,1,3.9584578499942595,958,20
30,0,0.26148316036876346,6049,20
31,0,2.044827027178769,6049,20
31,1,2.13060369291909,958,20
32,0,0.25337581180397095,6049,20
32,1,3.8006728585886047,958,20
33,0,0.564461766660062,6049,20
33,1,2.5910232870156027,958,20
34,1,3.4005966552064573,958,20
34,0,0.8016843370589964,6049,20
35,1,2.4373461648736288,958,20
35,0,0.5907484852729039,6049,20
36,0,0.3508979987479445,6049,20
36,1,3.3480382197597804,958,20
37,0,0.624981569609102,6049,20
37,1,2.2549897514552546,958,20
38,1,3.4538617870227997,958,20
38,0,0.287250251895982,6049,20
39,0,1.0026541460770333,6049,20
39,1,2.0819600377717715,958,20
40,1,3.6474492023757397,958,20
40,0,0.24861452760300204,6049,20
41,0,2.4297058354716086,6049,20
41,1,1.9543890386655174,958,20
42,1,4.002762994601165,958,20
42,0,0.22742888152597415,6049,20
43,0,2.2599388996059475,6049,20
43,1,2.0317043251952915,958,20
44,0,0.2591182606419246,6049,20
44,1,3.546529626761236,958,20
45,0,0.6035186744852032,6049,20
45,1,2.301086431969857,958,20
46,0,0.3021556892357175,6049,20
46,1,3.176578718319393,958,20
47,0,0.6033474630403026,6049,20
47,1,2.130262364013232,958,20
48,0,0.2627040457711185,6049,20
48,1,3.378577746201924,958,20
49,1,1.9077016777009719,958,20
