round,client_id,update_norm,n_samples,local_epochs
1,1,3.2635334352310768,958,20
1,0,3.915704013450992,6049,20
2,1,3.340530473883029,958,20
2,0,3.175773053377238,6049,20
3,1,3.268284499232848,958,20
3,0,3.302797410803698,6049,20
4,1,3.4234526839494355,958,20
4,0,3.4532576851589147,6049,20
5,1,3.4364641065591366,958,20
5,0,3.4849356433579253,6049,20
6,1,3.2901164146850452,958,20
6,0,3.3442792921217874,6049,20
7,1,3.133916488800441,958,20
7,0,3.44624587933803,6049,20
8,0,2.9526276005721273,6049,20
8,1,3.372534795644187,958,20
9,1,2.9393043219626156,958,20
9,0,1.0335495930215788,6049,20
10,0,0.3054773556476004,6049,20
10,1,2.765903255122215,958,20
11,0,0.2694071098711153,6049,20
11,1,2.2906020866778634,958,20
12,1,2.22015388391188,958,20
12,0,0.25245587929002605,6049,20
13,0,0.24779113819458165,6049,20
13,1,2.0309783973799163,958,20
14,1,2.198633728701846,958,20
14,0,0.4452918716815274,6049,20
15,0,0.23929332397590042,6049,20
15,1,1.9124796773203856,958,20
16,0,0.8604148840407265,6049,20
16,1,1.746430743376753,958,20
17,0,0.29198630539228293,6049,20
17,1,1.9238169049308056,958,20
18,1,1.5401048174572787,958,20
18,0,0.3686815288887441,6049,20
19,0,0.3954568268574447,6049,20
19,1,1.852807364538189,958,20
20,1,1.74525997291455,958,20
20,0,0.2556643302996226,6049,20
21,0,0.22190499169117783,6049,20
21,1,1.6569810105083416,958,20
22,0,0.22582667079639354,6049,20
22,1,1.6931175366764901,958,20
23,0,0.2707407426741404,6049,20
23,1,1.2843302373123302,958,20
24,0,0.16236040912674188,6049,20
24,1,1.948488201523388,958,20
25,0,1.0377696582009615,6049,20
25,1,1.3079581685421269,958,20
26,0,0.16792333355645686,6049,20
26,1,1.6823786186768959,958,20
27,0,0.23825095667914378,6049,20
27,1,1.4325468886953538,958,20
28,0,0.18205423029236562,6049,20
28,1,1.7246165918555392,958,20
29,0,0.24078663485784357,6049,20
29,1,1.4136332266755243,958,20
30,1,1.5577909542080735,958,20
30,0,0.17034190107227226,6049,20
31,0,0.21320431143893492,6049,20
31,1,1.5453037463190786,958,20
32,0,0.21355053602523097,6049,20
32,1,1.2918328673032289,958,20
33,0,0.16974231585030028,6049,20
33,1,1.888002746462461,958,20
34,0,0.2977796250104021,6049,20
34,1,1.0444929974868278,958,20
35,0,0.14118245380951483,6049,20
35,1,2.4973044674850704,958,20
36,1,0.9426507160600471,958,20
36,0,0.348047561029466,6049,20
37,0,0.13524535605678348,6049,20
37,1,1.9821905906347232,958,20
38,1,1.081194682479936,958,20
38,0,0.6784607113020559,6049,20
39,0,0.14623051518101618,6049,20
39,1,2.0262761805387095,958,20
40,1,1.1086035430604166,958,20
40,0,0.2662319321905842,6049,20
41,1,1.8553291726852057,958,20
41,0,0.15359717805956727,6049,20
42,1,0.9254303667740963,958,20
42,0,0.26129069088854157,6049,20
43,1,1.8640102623550208,958,20
43,0,0.13528988987385196,6049,20
44,0,0.3732846961633051,6049,20
44,1,0.9356821626684733,958,20
45,1,1.928446443239504,958,20
45,0,0.1403097910629882,6049,20
46,1,1.0366491166351492,958,20
46,0,0.2565104503370418,6049,20
47,0,0.18602636922540952,6049,20
47,1,2.303322059559703,958,20
48,1,0.8544048124359634,958,20
48,0,0.3029669801006584,6049,20
49,1,2.31257022663206,958,20
49,0,0.12752625995517172,6049,20
50,1,0.8154851511220635,958,20
50,0,0.29433204280604486,6049,20
51,0,0.11649287588226895,6049,20
51,1,2.7145604894594797,958,20
52,0,0.34159449514872536,6049,20
52,1,0.9964848814223329,958,20
53,0,0.12264263326016796,6049,20
53,1,2.0910519524023474,958,20
54,1,0.9122758918184742,958,20
54,0,0.2910234041535564,6049,20
55,1,1.9191706641891149,958,20
55,0,0.1281024142689623,6049,20
56,1,0.9358464048026345,958,20
56,0,0.2593690121251757,6049,20
57,0,0.1205484424934934,6049,20
57,1,2.3989504789969,958,20
58,1,0.4864832631073081,958,20
58,0,0.3099366693004695,6049,20
59,0,0.10329376184839162,6049,20
59,1,2.2850340598353474,958,20
60,0,0.6929615853957817,6049,20
60,1,0.587192955386588,958,20
61,0,0.11196266875846145,6049,20
61,1,2.64811502525315,958,20
62,0,0.3446744636175216,6049,20
62,1,0.4451048778391313,958,20
63,1,2.241766181813529,958,20
63,0,0.10165610627038968,6049,20
64,0,0.29181552121002713,6049,20
64,1,1.1874553958447245,958,20
65,0,0.20213599724858178,6049,20
65,1,2.6759682636439086,958,20
66,0,0.34355775602007577,6049,20
66,1,0.8150270235593456,958,20
67,1,2.268011843230065,958,20
67,0,0.11327458191693239,6049,20
68,0,0.319279779230986,6049,20
68,1,0.6566457414854645,958,20
69,1,2.3265459043715335,958,20
69,0,0.10699414837292125,6049,20
70,0,0.32323836633180203,6049,20
70,1,0.6812990893539851,958,20
71,0,0.10778634334018641,6049,20
71,1,2.755479697634988,958,20
72,0,0.35927623266773895,6049,20
72,1,0.7235045343423128,958,20
73,0,0.11731430505363365,6049,20
73,1,1.8677833412825058,958,20
74,1,0.839930472181752,958,20
74,0,0.2894316516805299,6049,20
75,1,2.148624378343027,958,20
75,0,0.17946748984985036,6049,20
76,1,0.5574821305048088,958,20
76,0,0.2770716023682359,6049,20
77,0,0.10354534691944316,6049,20
77,1,2.716237341026026,958,20
78,1,0.5862872197126472,958,20
78,0,0.34725746552455233,6049,20
79,0,0.10216166753317518,6049,20
79,1,2.0406602981729973,958,20
80,1,0.8468535720151282,958,20
80,0,0.26852549564300376,6049,20
81,0,0.11071064534747255,6049,20
81,1,2.172031865989616,958,20
82,1,0.46360914120412194,958,20
82,0,0.28076477324057486,6049,20
83,0,0.10096212588706072,6049,20
83,1,2.7423914829016693,958,20
84,1,0.32763118792084533,958,20
84,0,0.4009286809376632,6049,20
85,0,0.09379350839795057,6049,20
85,1,2.4701741921002056,958,20
86,0,0.31658507209691894,6049,20
86,1,0.6953974463806191,958,20
87,1,2.7632966678875217,958,20
87,0,0.2167299310354538,6049,20
88,0,0.35496308718361236,6049,20
88,1,0.686709412573604,958,20
89,1,2.0176466023317032,958,20
89,0,0.10414828972693976,6049,20
90,0,2.806638982331223,6049,20
90,1,0.8831885654240351,958,20
91,1,2.9938966235914917,958,20
91,0,0.17049432327811473,6049,20
92,1,0.7334717682706863,958,20
92,0,0.3514664565883404,6049,20
93,1,2.1536997146822494,958,20
93,0,0.12751248909991098,6049,20
94,1,0.8141520589086986,958,20
94,0,0.27856816062176715,6049,20
95,0,0.12345302135981422,6049,20
95,1,2.188539209906297,958,20
96,0,0.27918887788966396,6049,20
96,1,0.780360734282116,958,20
97,1,2.3547407019235007,958,20
97,0,0.11814535617984188,6049,20
98,0,0.2988615567823991,6049,20
98,1,0.47135224856746455,958,20
99,1,2.3457407342613394,958,20
99,0,0.09976178075650344,6049,20
100,1,0.5116569836877668,958,20
100,0,0.2904747994449086,6049,20
101,1,2.1809223457438307,958,20
101,0,0.1039718318660047,6049,20
102,1,0.6507688675558999,958,20
102,0,0.28909702622673655,6049,20
103,0,0.10708077261418715,6049,20
103,1,2.4963211693338563,958,20
104,0,0.31822237855587937,6049,20
104,1,0.4903103219457288,958,20
105,1,2.5199594943249317,958,20
105,0,0.09755833127230681,6049,20
