seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss
42,fedprox,0.01,20,1,1.4069335075579992,0.6739780658025922,0.15659340659340662,0.13753817008789884,0.0,0.15384615384615385,0.0,0.0,0.0,0.8089210367691381,0.0,0.5464889732040111
42,fedprox,0.01,20,2,1.0870080573608725,0.7457627118644068,0.37470917061081,0.34236286298480617,0.4444444444444444,0.556390977443609,0.5108225108225108,0.0,0.0,0.8848821081830791,0.0,0.43369004602028677
42,fedprox,0.01,20,3,1.1930687353237794,0.7318045862412762,0.31708619249602854,0.2951946651682344,0.2608695652173913,0.5298013245033113,0.41025641025641024,0.0,0.0,0.8654353562005277,0.0,0.3598354401744758
42,fedprox,0.01,20,4,1.263646987416333,0.7248255234297108,0.3555359940605842,0.3186644408785439,0.27450980392156865,0.5740740740740741,0.4985507246376812,0.0,0.0,0.8835164835164835,0.0,0.30065353006076945
42,fedprox,0.01,20,5,1.1028663350245056,0.7497507477567298,0.3770093294683458,0.33943710707147584,0.4117647058823529,0.5507246376811594,0.5225225225225225,0.0,0.0,0.8910478834142956,0.0,0.24541404504129274
42,fedprox,0.01,20,6,1.1980289219027145,0.715852442671984,0.3978161183079216,0.3297783042991762,0.3956043956043956,0.556390977443609,0.4781144781144781,0.0,0.0,0.8783382789317508,0.0,0.23923637969362122
42,fedprox,0.01,20,7,1.3599910152517074,0.7298105682951147,0.3969101936315051,0.3386664445541038,0.45714285714285713,0.5298013245033113,0.5,0.0,0.0,0.8837209302325582,0.0,0.16021770993376458
42,fedprox,0.01,20,8,1.301191957973887,0.7467597208374875,0.4082087311595508,0.34794050429867485,0.43564356435643564,0.5614035087719298,0.5419847328244275,0.0,0.0,0.896551724137931,0.0,0.22329080379714633
42,fedprox,0.01,20,9,1.3608078327278792,0.7497507477567298,0.39863633634125434,0.34528339746091197,0.42105263157894735,0.5714285714285714,0.5304347826086957,0.0,0.0,0.8940677966101694,0.0,0.07717623260543642
42,fedprox,0.01,20,10,1.1697589315303183,0.7497507477567298,0.41600192747733733,0.3749982284394257,0.4533333333333333,0.5633802816901409,0.5432098765432098,0.0,0.1702127659574468,0.8948513415518492,0.0,0.019922318448245425
42,fedprox,0.01,20,11,1.1335794512082191,0.7517447657028913,0.4339172789992462,0.39912084303667683,0.4810126582278481,0.5735294117647058,0.5638766519823789,0.0,0.2840909090909091,0.8913362701908958,0.0,0.014768477530871422
42,fedprox,0.01,20,12,1.1066223753176088,0.7457627118644068,0.43837095558407035,0.40427584688778456,0.4473684210526316,0.5652173913043478,0.5688888888888889,0.0,0.3619047619047619,0.8865514650638617,0.0,0.013078638507287127
42,fedprox,0.01,20,13,1.1202633713677541,0.7427716849451645,0.42930804979985304,0.39975207194270784,0.4383561643835616,0.5693430656934306,0.5701357466063348,0.0,0.33816425120772947,0.8822652757078987,0.0,0.013539311357795047
42,fedprox,0.01,20,14,1.092043512780312,0.7308075772681955,0.44101740506892734,0.4172729352858498,0.43243243243243246,0.5735294117647058,0.5596330275229358,0.0,0.3474576271186441,0.8745247148288974,0.13333333333333333,0.05449911190735892
42,fedprox,0.01,20,15,1.1469514598161843,0.7198404785643071,0.44674863293130274,0.4182641524259572,0.4473684210526316,0.562962962962963,0.5777777777777777,0.0,0.3426294820717131,0.8637770897832817,0.13333333333333333,0.011015978029772736
42,fedprox,0.01,20,16,1.1361742919368496,0.7337986041874377,0.44264801489625855,0.41769596927195535,0.45569620253164556,0.5522388059701493,0.5488372093023256,0.0,0.354978354978355,0.8787878787878788,0.13333333333333333,0.08020576301477884
42,fedprox,0.01,20,17,1.1901821762115388,0.6989032901296112,0.44737429585204763,0.41129749726711806,0.45,0.5588235294117647,0.5402843601895735,0.0,0.35374149659863946,0.8512330946698489,0.125,0.03828455628015261
42,fedprox,0.01,20,18,1.11932240240833,0.7397806580259222,0.44286302658668,0.419153744627499,0.4675324675324675,0.5522388059701493,0.5581395348837209,0.0,0.3577981651376147,0.8807201800450113,0.11764705882352941,0.04235716685715609
42,fedprox,0.01,20,19,1.1815539593710858,0.7088733798604188,0.45088166575286015,0.41525439654869645,0.45569620253164556,0.5735294117647058,0.5208333333333334,0.0,0.38666666666666666,0.8589440504334122,0.1111111111111111,0.04334347258050811
42,fedprox,0.01,20,20,1.2115223366146906,0.7018943170488534,0.4598161000971306,0.4195003155261617,0.49382716049382713,0.5625,0.547085201793722,0.0,0.3771043771043771,0.8507223113964687,0.10526315789473684,0.03201771038641407
42,fedprox,0.01,20,21,1.1214433494855018,0.7238285144566301,0.44285919051727024,0.41492269139356336,0.44155844155844154,0.5692307692307692,0.5454545454545454,0.0,0.3665338645418327,0.8705701078582434,0.1111111111111111,0.009805885983833751
42,fedprox,0.01,20,22,1.1732920458167049,0.7088733798604188,0.4539914123052297,0.4205729929708327,0.475,0.5714285714285714,0.5675675675675675,0.0,0.3655913978494624,0.8533123028391167,0.1111111111111111,0.026092142885230696
42,fedprox,0.01,20,23,1.1677213324863438,0.7497507477567298,0.4312441477546865,0.414370415123993,0.44155844155844154,0.578125,0.5727272727272728,0.0,0.2983425414364641,0.8848396501457726,0.125,0.029534722989189258
42,fedprox,0.01,20,24,1.4939999406858313,0.650049850448654,0.4658254946311153,0.4076577727224323,0.47058823529411764,0.5625,0.538860103626943,0.0,0.39901477832512317,0.7993079584775087,0.08333333333333333,0.00888847314339762
42,fedprox,0.01,20,25,1.1268592295594373,0.7507477567298105,0.44721965061543517,0.4260973161453931,0.5,0.578125,0.5688888888888889,0.0,0.3384615384615385,0.886094674556213,0.1111111111111111,0.2325935242286871
42,fedprox,0.01,20,26,1.1787494293832828,0.7148554336989033,0.46175097662217107,0.4270335341693897,0.5,0.582089552238806,0.5673076923076923,0.0,0.37630662020905925,0.8582677165354331,0.10526315789473684,0.008663881189563101
42,fedprox,0.01,20,27,1.1487584422497545,0.7397806580259222,0.4492959231835111,0.42536736607260456,0.47368421052631576,0.5692307692307692,0.5592417061611374,0.0,0.38333333333333336,0.8809704321455648,0.1111111111111111,0.026884373568663147
42,fedprox,0.01,20,28,1.3119891256777383,0.6889332003988036,0.4876284632724914,0.4514765866648955,0.49382716049382713,0.5873015873015873,0.5454545454545454,0.125,0.4,0.8348397699260477,0.17391304347826086,0.006734750551212212
42,fedprox,0.01,20,29,1.1436657860414576,0.7427716849451645,0.4505266375289794,0.4275509841910624,0.5135135135135135,0.5864661654135338,0.5488372093023256,0.0,0.35185185185185186,0.881077038145101,0.1111111111111111,0.023398263919884452
42,fedprox,0.01,20,30,1.2208401066950287,0.7098703888334995,0.46345241356950956,0.4251408834615033,0.48717948717948717,0.5846153846153846,0.5380710659898477,0.0,0.41533546325878595,0.8555466879489226,0.09523809523809523,0.005966985626341048
42,fedprox,0.01,20,31,1.2304529873942094,0.7088733798604188,0.47398883897712935,0.43580266759644887,0.475,0.5873015873015873,0.5412844036697247,0.0,0.4105960264900662,0.8546184738955823,0.18181818181818182,0.02059753457199224
42,fedprox,0.01,20,32,1.135267061108012,0.7397806580259222,0.44695572904003816,0.4236859110082861,0.475,0.5826771653543307,0.5523809523809524,0.0,0.36607142857142855,0.8785607196401799,0.1111111111111111,0.019501437865933956
42,fedprox,0.01,20,33,1.7419048553687388,0.5962113659022931,0.509232705602729,0.44447394888754194,0.5,0.5737704918032787,0.5297297297297298,0.17391304347826086,0.3605150214592275,0.7380952380952381,0.23529411764705882,0.008136962813641556
42,fedprox,0.01,20,34,1.20654465818215,0.7607178464606181,0.4337451248458275,0.421409584041755,0.4675324675324675,0.5984251968503937,0.5673076923076923,0.0,0.30303030303030304,0.8885714285714286,0.125,0.028459209766966795
42,fedprox,0.01,20,35,2.788550372851097,0.4795613160518445,0.5111560865659226,0.40011691998563037,0.5054945054945055,0.591304347826087,0.38095238095238093,0.13793103448275862,0.3211920529801324,0.5997931747673216,0.2641509433962264,0.010796871725928421
42,fedprox,0.01,20,36,1.2171513942754637,0.7567298105682951,0.4397476660942704,0.42259526713951273,0.48,0.5864661654135338,0.5674418604651162,0.0,0.31213872832369943,0.8871201157742402,0.125,0.02766284560369248
42,fedprox,0.01,20,37,1.8730587778633399,0.5912263210368893,0.5170867046745268,0.4446929861707674,0.4819277108433735,0.5862068965517241,0.46987951807228917,0.16,0.36885245901639346,0.7382920110192838,0.3076923076923077,0.007221801695883006
42,fedprox,0.01,20,38,1.1711324177615545,0.7497507477567298,0.45249813060117505,0.4388186395490297,0.48,0.5954198473282443,0.5588235294117647,0.0,0.3431372549019608,0.8838235294117647,0.21052631578947367,0.046446529485110605
42,fedprox,0.01,20,39,1.804087173189979,0.6011964107676969,0.5205062359629105,0.44458878722526973,0.46153846153846156,0.6324786324786325,0.39473684210526316,0.23076923076923078,0.37267080745341613,0.7590579710144928,0.2608695652173913,0.008804156735658266
42,fedprox,0.01,20,40,1.1515238654696691,0.7547357926221336,0.5034446491120964,0.506992256245744,0.48717948717948717,0.6050420168067226,0.5631067961165048,0.26666666666666666,0.3434343434343434,0.8835164835164835,0.4,0.02183519701449386
42,fedprox,0.01,20,41,1.8526356966640514,0.6051844466600199,0.5434524892370326,0.46781769844071835,0.4827586206896552,0.6126126126126126,0.5057471264367817,0.25,0.38413361169102295,0.7467889908256881,0.2926829268292683,0.006913033785984482
42,fedprox,0.01,20,42,1.1985118007018107,0.7517447657028913,0.4499521313338643,0.436970648021609,0.4533333333333333,0.5954198473282443,0.5701357466063348,0.0,0.3191489361702128,0.8854625550660793,0.23529411764705882,0.02303776551072438
